version,1.7.0
info,balls_per_over,6
info,team,Jersey
info,team,Germany
info,gender,male
info,season,2023
info,date,2023/07/25
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,15
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Germany
info,toss_decision,field
info,player_of_match,NA Greenwood
info,umpire,DH Mclean
info,umpire,N Bathi
info,reserve_umpire,R Black
info,match_referee,Phil Whitticase
info,winner,Jersey
info,winner_runs,51
info,player,Jersey,H Carlyon
info,player,Jersey,NA Greenwood
info,player,Jersey,JW Jenner
info,player,Jersey,C Brennan
info,player,Jersey,AM Tribe
info,player,Jersey,B Ward
info,player,Jersey,J Sumerauer
info,player,Jersey,JAD Lawrenson
info,player,Jersey,DG Blampied
info,player,Jersey,CW Perchard
info,player,Jersey,EJB Miles
info,player,Germany,MJ Richardson
info,player,Germany,J van Heerden
info,player,Germany,Muslim Yar
info,player,Germany,Sahir Naqash
info,player,Germany,Faisal Mubashir
info,player,Germany,H Singh
info,player,Germany,DA Blignaut
info,player,Germany,D Klein
info,player,Germany,V Ganesan
info,player,Germany,Ghulam Ahmadi
info,player,Germany,SVE Bharathi
info,registry,people,AM Tribe,86f84b37
info,registry,people,B Ward,9e0bd203
info,registry,people,C Brennan,80f9fd4f
info,registry,people,CW Perchard,9f998ed8
info,registry,people,D Klein,aeab0d4f
info,registry,people,DA Blignaut,cfcf189f
info,registry,people,DG Blampied,d8976cb7
info,registry,people,DH Mclean,281d4749
info,registry,people,EJB Miles,6b46ce43
info,registry,people,Faisal Mubashir,ad5342dc
info,registry,people,Ghulam Ahmadi,2dfe0612
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,H Singh,8209da53
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,J van Heerden,01549705
info,registry,people,JAD Lawrenson,c810b349
info,registry,people,JW Jenner,32a8161e
info,registry,people,MJ Richardson,22176fe7
info,registry,people,Muslim Yar,37d8d19a
info,registry,people,N Bathi,96a0edf9
info,registry,people,NA Greenwood,7ca68967
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Black,156c8fb1
info,registry,people,SVE Bharathi,6a63c29c
info,registry,people,Sahir Naqash,352e589f
info,registry,people,V Ganesan,baa7dd37
ball,1,0.1,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,0.2,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,0.3,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,0.4,Jersey,H Carlyon,NA Greenwood,D Klein,3,0,,,,,,"",""
ball,1,0.5,Jersey,NA Greenwood,H Carlyon,D Klein,0,1,1,,,,,"",""
ball,1,0.6,Jersey,NA Greenwood,H Carlyon,D Klein,1,0,,,,,,"",""
ball,1,0.7,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,1.1,Jersey,NA Greenwood,H Carlyon,Ghulam Ahmadi,0,0,,,,,,"",""
ball,1,1.2,Jersey,NA Greenwood,H Carlyon,Ghulam Ahmadi,4,0,,,,,,"",""
ball,1,1.3,Jersey,NA Greenwood,H Carlyon,Ghulam Ahmadi,4,0,,,,,,"",""
ball,1,1.4,Jersey,NA Greenwood,H Carlyon,Ghulam Ahmadi,0,0,,,,,,"",""
ball,1,1.5,Jersey,NA Greenwood,H Carlyon,Ghulam Ahmadi,0,0,,,,,,"",""
ball,1,1.6,Jersey,NA Greenwood,H Carlyon,Ghulam Ahmadi,4,0,,,,,,"",""
ball,1,2.1,Jersey,H Carlyon,NA Greenwood,D Klein,4,0,,,,,,"",""
ball,1,2.2,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,2.3,Jersey,H Carlyon,NA Greenwood,D Klein,2,0,,,,,,"",""
ball,1,2.4,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,2.5,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,2.6,Jersey,H Carlyon,NA Greenwood,D Klein,0,0,,,,,,"",""
ball,1,3.1,Jersey,NA Greenwood,H Carlyon,Muslim Yar,0,0,,,,,,"",""
ball,1,3.2,Jersey,NA Greenwood,H Carlyon,Muslim Yar,4,0,,,,,,"",""
ball,1,3.3,Jersey,NA Greenwood,H Carlyon,Muslim Yar,4,0,,,,,,"",""
ball,1,3.4,Jersey,NA Greenwood,H Carlyon,Muslim Yar,1,0,,,,,,"",""
ball,1,3.5,Jersey,H Carlyon,NA Greenwood,Muslim Yar,0,0,,,,,,"",""
