version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,male
info,season,2023/24
info,date,2024/01/19
info,event,Pakistan tour of New Zealand
info,match_number,4
info,venue,"Hagley Oval, Christchurch"
info,city,Christchurch
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,DJ Mitchell
info,umpire,SB Haig
info,umpire,WR Knights
info,reserve_umpire,Kim Cotton
info,tv_umpire,CM Brown
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_wickets,7
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Sahibzada Farhan
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Mohammad Wasim
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Zaman Khan
info,player,New Zealand,FH Allen
info,player,New Zealand,TL Seifert
info,player,New Zealand,WA Young
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,MJ Henry
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,registry,people,AF Milne,350bb1b1
info,registry,people,Babar Azam,8a75e999
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,SB Haig,811655b3
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,WA Young,8afe73e2
info,registry,people,WR Knights,63cbf8d8
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,Pakistan,Saim Ayub,Mohammad Rizwan,TG Southee,0,0,,,,,,"",""
ball,1,0.2,Pakistan,Saim Ayub,Mohammad Rizwan,TG Southee,0,0,,,,,,"",""
ball,1,0.3,Pakistan,Saim Ayub,Mohammad Rizwan,TG Southee,1,0,,,,,,"",""
ball,1,0.4,Pakistan,Mohammad Rizwan,Saim Ayub,TG Southee,2,0,,,,,,"",""
ball,1,0.5,Pakistan,Mohammad Rizwan,Saim Ayub,TG Southee,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Mohammad Rizwan,Saim Ayub,TG Southee,1,0,,,,,,"",""
ball,1,1.1,Pakistan,Mohammad Rizwan,Saim Ayub,MJ Henry,0,0,,,,,,"",""
ball,1,1.2,Pakistan,Mohammad Rizwan,Saim Ayub,MJ Henry,1,0,,,,,,"",""
ball,1,1.3,Pakistan,Saim Ayub,Mohammad Rizwan,MJ Henry,0,0,,,,,,"",""
ball,1,1.4,Pakistan,Saim Ayub,Mohammad Rizwan,MJ Henry,0,0,,,,,,"",""
ball,1,1.5,Pakistan,Saim Ayub,Mohammad Rizwan,MJ Henry,0,0,,,,,,caught,Saim Ayub
ball,1,1.6,Pakistan,Babar Azam,Mohammad Rizwan,MJ Henry,0,0,,,,,,"",""
ball,1,2.1,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,0,0,,,,,,"",""
ball,1,2.2,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,4,0,,,,,,"",""
ball,1,2.3,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,4,0,,,,,,"",""
ball,1,2.4,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,1,0,,,,,,"",""
ball,1,2.5,Pakistan,Babar Azam,Mohammad Rizwan,AF Milne,1,0,,,,,,"",""
ball,1,2.6,Pakistan,Mohammad Rizwan,Babar Azam,AF Milne,1,0,,,,,,"",""
ball,1,3.1,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,3.2,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,4,0,,,,,,"",""
ball,1,3.3,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,0,0,,,,,,"",""
ball,1,3.4,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,2,0,,,,,,"",""
ball,1,3.5,Pakistan,Mohammad Rizwan,Babar Azam,MJ Henry,2,0,,,,,,"",""
