version,1.7.0
info,balls_per_over,6
info,team,Netherlands
info,team,Namibia
info,gender,male
info,season,2023/24
info,date,2024/02/29
info,event,Nepal Tri-Nation T20I Series
info,match_number,3
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Netherlands
info,toss_decision,bat
info,player_of_match,M Levitt
info,umpire,DN Subedi
info,umpire,VK Jha
info,reserve_umpire,BB Pradhan
info,match_referee,V Narayan Kutty
info,winner,Netherlands
info,winner_runs,59
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,SA Engelbrecht
info,player,Netherlands,SA Edwards
info,player,Netherlands,AT Nidamanuru
info,player,Netherlands,W Barresi
info,player,Netherlands,A Dutt
info,player,Netherlands,RE van der Merwe
info,player,Netherlands,VJ Kingma
info,player,Netherlands,FJ Klaassen
info,player,Netherlands,T van der Gugten
info,player,Namibia,M van Lingen
info,player,Namibia,MB Kruger
info,player,Namibia,JP Kotze
info,player,Namibia,JJ Smit
info,player,Namibia,JN Frylinck
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,R Trumpelmann
info,player,Namibia,ZE Green
info,player,Namibia,BM Scholtz
info,player,Namibia,B Shikongo
info,player,Namibia,PD Blignaut
info,registry,people,A Dutt,803dbf1d
info,registry,people,AT Nidamanuru,a319edf8
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BB Pradhan,8603d942
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,DN Subedi,fb0a571f
info,registry,people,FJ Klaassen,c042b412
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,M Levitt,6a71ba3a
info,registry,people,M van Lingen,7eb36269
info,registry,people,MB Kruger,c51add25
info,registry,people,MP O'Dowd,b699df47
info,registry,people,PD Blignaut,20ab5aad
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Engelbrecht,81a0e294
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,VK Jha,5d46eb72
info,registry,people,W Barresi,0d677597
info,registry,people,ZE Green,8716233e
ball,1,0.1,Netherlands,M Levitt,MP O'Dowd,R Trumpelmann,0,0,,,,,,"",""
ball,1,0.2,Netherlands,M Levitt,MP O'Dowd,R Trumpelmann,6,0,,,,,,"",""
ball,1,0.3,Netherlands,M Levitt,MP O'Dowd,R Trumpelmann,0,0,,,,,,"",""
ball,1,0.4,Netherlands,M Levitt,MP O'Dowd,R Trumpelmann,0,0,,,,,,"",""
ball,1,0.5,Netherlands,M Levitt,MP O'Dowd,R Trumpelmann,1,0,,,,,,"",""
ball,1,0.6,Netherlands,MP O'Dowd,M Levitt,R Trumpelmann,0,0,,,,,,"",""
ball,1,1.1,Netherlands,M Levitt,MP O'Dowd,B Shikongo,0,0,,,,,,"",""
ball,1,1.2,Netherlands,M Levitt,MP O'Dowd,B Shikongo,0,0,,,,,,"",""
ball,1,1.3,Netherlands,M Levitt,MP O'Dowd,B Shikongo,0,0,,,,,,"",""
ball,1,1.4,Netherlands,M Levitt,MP O'Dowd,B Shikongo,1,0,,,,,,"",""
ball,1,1.5,Netherlands,MP O'Dowd,M Levitt,B Shikongo,1,0,,,,,,"",""
ball,1,1.6,Netherlands,M Levitt,MP O'Dowd,B Shikongo,1,0,,,,,,"",""
ball,1,2.1,Netherlands,M Levitt,MP O'Dowd,R Trumpelmann,0,1,,,,1,,"",""
ball,1,2.2,Netherlands,MP O'Dowd,M Levitt,R Trumpelmann,0,0,,,,,,"",""
ball,1,2.3,Netherlands,MP O'Dowd,M Levitt,R Trumpelmann,4,0,,,,,,"",""
ball,1,2.4,Netherlands,MP O'Dowd,M Levitt,R Trumpelmann,0,0,,,,,,"",""
ball,1,2.5,Netherlands,MP O'Dowd,M Levitt,R Trumpelmann,0,0,,,,,,caught,MP O'Dowd
ball,1,2.6,Netherlands,SA Engelbrecht,M Levitt,R Trumpelmann,0,0,,,,,,"",""
ball,1,3.1,Netherlands,M Levitt,SA Engelbrecht,B Shikongo,1,0,,,,,,"",""
ball,1,3.2,Netherlands,SA Engelbrecht,M Levitt,B Shikongo,0,0,,,,,,"",""
ball,1,3.3,Netherlands,SA Engelbrecht,M Levitt,B Shikongo,0,0,,,,,,"",""
ball,1,3.4,Netherlands,SA Engelbrecht,M Levitt,B Shikongo,1,0,,,,,,"",""
ball,1,3.5,Netherlands,M Levitt,SA Engelbrecht,B Shikongo,1,0,,,,,,"",""
