version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,Sri Lanka
info,gender,female
info,season,2024
info,date,2024/04/27
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,8
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,WK Dilhari
info,umpire,N Janani
info,umpire,Shivani Mishra
info,tv_umpire,S Dambanevana
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_wickets,10
info,player,Scotland,DEM Carter
info,player,Scotland,S Horley
info,player,Scotland,KE Bryce
info,player,Scotland,SJ Bryce
info,player,Scotland,A Lister
info,player,Scotland,PA Chatterji
info,player,Scotland,L Jack
info,player,Scotland,K Fraser
info,player,Scotland,R Slater
info,player,Scotland,C Abel
info,player,Scotland,AH Maqsood
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,H Karunaratne
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,KDU Prabodhani
info,registry,people,A Lister,090c0213
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AH Maqsood,f61e2829
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,C Abel,d92d3563
info,registry,people,DEM Carter,c3394c16
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Karunaratne,f8e27d4a
info,registry,people,K Fraser,a0a65375
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Janani,d06a665d
info,registry,people,NND de Silva,f0b4294e
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Slater,8a452195
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Horley,8cd72e0b
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Scotland,DEM Carter,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,0.2,Scotland,DEM Carter,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,0.3,Scotland,DEM Carter,S Horley,SIP Fernando,0,0,,,,,,caught,DEM Carter
ball,1,0.4,Scotland,KE Bryce,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,0.5,Scotland,KE Bryce,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,0.6,Scotland,KE Bryce,S Horley,SIP Fernando,1,0,,,,,,"",""
ball,1,1.1,Scotland,KE Bryce,S Horley,KDU Prabodhani,0,0,,,,,,"",""
ball,1,1.2,Scotland,KE Bryce,S Horley,KDU Prabodhani,0,0,,,,,,"",""
ball,1,1.3,Scotland,KE Bryce,S Horley,KDU Prabodhani,0,0,,,,,,"",""
ball,1,1.4,Scotland,KE Bryce,S Horley,KDU Prabodhani,4,0,,,,,,"",""
ball,1,1.5,Scotland,KE Bryce,S Horley,KDU Prabodhani,0,0,,,,,,"",""
ball,1,1.6,Scotland,KE Bryce,S Horley,KDU Prabodhani,4,0,,,,,,"",""
ball,1,2.1,Scotland,S Horley,KE Bryce,SIP Fernando,1,0,,,,,,"",""
ball,1,2.2,Scotland,KE Bryce,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,2.3,Scotland,KE Bryce,S Horley,SIP Fernando,0,2,,,,2,,"",""
ball,1,2.4,Scotland,KE Bryce,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,2.5,Scotland,KE Bryce,S Horley,SIP Fernando,4,0,,,,,,"",""
ball,1,2.6,Scotland,KE Bryce,S Horley,SIP Fernando,0,0,,,,,,"",""
ball,1,3.1,Scotland,S Horley,KE Bryce,AC Jayangani,0,0,,,,,,"",""
ball,1,3.2,Scotland,S Horley,KE Bryce,AC Jayangani,0,0,,,,,,"",""
ball,1,3.3,Scotland,S Horley,KE Bryce,AC Jayangani,1,0,,,,,,"",""
ball,1,3.4,Scotland,KE Bryce,S Horley,AC Jayangani,1,0,,,,,,"",""
ball,1,3.5,Scotland,S Horley,KE Bryce,AC Jayangani,0,0,,,,,,"",""
ball,1,3.6,Scotland,S Horley,KE Bryce,AC Jayangani,0,0,,,,,,"",""
ball,1,4.1,Scotland,KE Bryce,S Horley,BMSM Kumari,4,0,,,,,,"",""
ball,1,4.2,Scotland,KE Bryce,S Horley,BMSM Kumari,4,0,,,,,,"",""
ball,1,4.3,Scotland,KE Bryce,S Horley,BMSM Kumari,0,0,,,,,,"",""
ball,1,4.4,Scotland,KE Bryce,S Horley,BMSM Kumari,0,0,,,,,,bowled,KE Bryce
ball,1,4.5,Scotland,SJ Bryce,S Horley,BMSM Kumari,1,0,,,,,,"",""
ball,1,4.6,Scotland,S Horley,SJ Bryce,BMSM Kumari,1,0,,,,,,"",""
ball,1,5.1,Scotland,S Horley,SJ Bryce,WGAKK Kulasuriya,0,0,,,,,,"",""
