version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Australia
info,gender,male
info,season,2023/24
info,date,2023/12/01
info,event,Australia tour of India
info,match_number,4
info,venue,"Shaheed Veer Narayan Singh International Stadium, Raipur"
info,city,Raipur
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,AR Patel
info,umpire,J Madanagopal
info,umpire,KN Ananthapadmanabhan
info,reserve_umpire,R Pandit
info,tv_umpire,VK Sharma
info,match_referee,J Srinath
info,winner,India
info,winner_runs,20
info,player,India,YBK Jaiswal
info,player,India,RD Gaikwad
info,player,India,SS Iyer
info,player,India,SA Yadav
info,player,India,RK Singh
info,player,India,JM Sharma
info,player,India,AR Patel
info,player,India,DL Chahar
info,player,India,Ravi Bishnoi
info,player,India,Avesh Khan
info,player,India,Mukesh Kumar
info,player,Australia,TM Head
info,player,Australia,JR Philippe
info,player,Australia,BR McDermott
info,player,Australia,AM Hardie
info,player,Australia,TH David
info,player,Australia,MW Short
info,player,Australia,MS Wade
info,player,Australia,BJ Dwarshuis
info,player,Australia,CJ Green
info,player,Australia,JP Behrendorff
info,player,Australia,T Sangha
info,registry,people,AM Hardie,d405c0d5
info,registry,people,AR Patel,2e171977
info,registry,people,Avesh Khan,eef2536f
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,BR McDermott,c41043e6
info,registry,people,CJ Green,19b9f399
info,registry,people,DL Chahar,23eeb873
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,JM Sharma,800d2d97
info,registry,people,JP Behrendorff,4933f499
info,registry,people,JR Philippe,39086549
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Short,a90e53ec
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,R Pandit,8a604384
info,registry,people,RD Gaikwad,45a43fe2
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,T Sangha,52c952d9
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
info,registry,people,VK Sharma,a7a49df4
info,registry,people,YBK Jaiswal,6c19c6e5
ball,1,0.1,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,"",""
ball,1,0.2,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,"",""
ball,1,0.3,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,"",""
ball,1,0.4,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,"",""
ball,1,0.5,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,"",""
ball,1,0.6,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,1,,,,1,,"",""
ball,1,1.1,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,4,0,,,,,,"",""
ball,1,1.2,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.3,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,2,0,,,,,,"",""
ball,1,1.4,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,0,0,,,,,,"",""
ball,1,1.5,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,0,4,,,4,,,"",""
ball,1,1.6,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,1,0,,,,,,"",""
ball,1,2.1,India,YBK Jaiswal,RD Gaikwad,BJ Dwarshuis,0,0,,,,,,"",""
ball,1,2.2,India,YBK Jaiswal,RD Gaikwad,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,2.3,India,YBK Jaiswal,RD Gaikwad,BJ Dwarshuis,0,0,,,,,,"",""
ball,1,2.4,India,YBK Jaiswal,RD Gaikwad,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,2.5,India,YBK Jaiswal,RD Gaikwad,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,2.6,India,YBK Jaiswal,RD Gaikwad,BJ Dwarshuis,0,0,,,,,,"",""
ball,1,3.1,India,RD Gaikwad,YBK Jaiswal,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.2,India,RD Gaikwad,YBK Jaiswal,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.3,India,RD Gaikwad,YBK Jaiswal,JP Behrendorff,4,0,,,,,,"",""
ball,1,3.4,India,RD Gaikwad,YBK Jaiswal,JP Behrendorff,1,0,,,,,,"",""
ball,1,3.5,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,0,0,,,,,,"",""
ball,1,3.6,India,YBK Jaiswal,RD Gaikwad,JP Behrendorff,0,0,,,,,,"",""
ball,1,4.1,India,RD Gaikwad,YBK Jaiswal,CJ Green,0,0,,,,,,"",""
ball,1,4.2,India,RD Gaikwad,YBK Jaiswal,CJ Green,1,0,,,,,,"",""
ball,1,4.3,India,YBK Jaiswal,RD Gaikwad,CJ Green,4,0,,,,,,"",""
ball,1,4.4,India,YBK Jaiswal,RD Gaikwad,CJ Green,2,0,,,,,,"",""
ball,1,4.5,India,YBK Jaiswal,RD Gaikwad,CJ Green,6,0,,,,,,"",""
ball,1,4.6,India,YBK Jaiswal,RD Gaikwad,CJ Green,1,0,,,,,,"",""
ball,1,5.1,India,YBK Jaiswal,RD Gaikwad,AM Hardie,4,0,,,,,,"",""
ball,1,5.2,India,YBK Jaiswal,RD Gaikwad,AM Hardie,1,0,,,,,,"",""
ball,1,5.3,India,RD Gaikwad,YBK Jaiswal,AM Hardie,0,1,1,,,,,"",""
ball,1,5.4,India,RD Gaikwad,YBK Jaiswal,AM Hardie,0,0,,,,,,"",""
ball,1,5.5,India,RD Gaikwad,YBK Jaiswal,AM Hardie,1,0,,,,,,"",""
ball,1,5.6,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,"",""
ball,1,5.7,India,YBK Jaiswal,RD Gaikwad,AM Hardie,0,0,,,,,,caught,YBK Jaiswal
ball,1,6.1,India,RD Gaikwad,SS Iyer,CJ Green,1,0,,,,,,"",""
ball,1,6.2,India,SS Iyer,RD Gaikwad,CJ Green,0,0,,,,,,"",""
ball,1,6.3,India,SS Iyer,RD Gaikwad,CJ Green,1,0,,,,,,"",""
ball,1,6.4,India,RD Gaikwad,SS Iyer,CJ Green,1,0,,,,,,"",""
ball,1,6.5,India,SS Iyer,RD Gaikwad,CJ Green,1,0,,,,,,"",""
ball,1,6.6,India,RD Gaikwad,SS Iyer,CJ Green,1,0,,,,,,"",""
ball,1,7.1,India,RD Gaikwad,SS Iyer,T Sangha,1,0,,,,,,"",""
ball,1,7.2,India,SS Iyer,RD Gaikwad,T Sangha,2,0,,,,,,"",""
