version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,West Indies
info,gender,male
info,season,2022
info,date,2022/08/14
info,event,New Zealand tour of West Indies
info,match_number,3
info,venue,"Sabina Park, Kingston, Jamaica"
info,city,Kingston
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,BA King
info,umpire,GO Brathwaite
info,umpire,N Duguid
info,reserve_umpire,PA Gustard
info,tv_umpire,LS Reifer
info,match_referee,RB Richardson
info,winner,West Indies
info,winner_wickets,8
info,player,New Zealand,MJ Guptill
info,player,New Zealand,DP Conway
info,player,New Zealand,MJ Santner
info,player,New Zealand,KS Williamson
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MG Bracewell
info,player,New Zealand,IS Sodhi
info,player,New Zealand,LH Ferguson
info,player,New Zealand,TG Southee
info,player,West Indies,BA King
info,player,West Indies,SSJ Brooks
info,player,West Indies,DC Thomas
info,player,West Indies,R Powell
info,player,West Indies,SO Hetmyer
info,player,West Indies,R Shepherd
info,player,West Indies,OF Smith
info,player,West Indies,AJ Hosein
info,player,West Indies,HR Walsh
info,player,West Indies,AS Joseph
info,player,West Indies,DC Drakes
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,BA King,7fca84b7
info,registry,people,DC Drakes,34b332d3
info,registry,people,DC Thomas,08a4f9ad
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GO Brathwaite,1ace56d4
info,registry,people,HR Walsh,1ac2a995
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JDS Neesham,9219eff0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,LS Reifer,5dee559a
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Guptill,2be41edb
info,registry,people,MJ Santner,e4a0deae
info,registry,people,N Duguid,64495506
info,registry,people,OF Smith,23cca426
info,registry,people,PA Gustard,25bcf808
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RB Richardson,410e2f12
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SSJ Brooks,977b841a
info,registry,people,TG Southee,13c35c9e
ball,1,0.1,New Zealand,MJ Guptill,DP Conway,DC Drakes,0,0,,,,,,"",""
ball,1,0.2,New Zealand,MJ Guptill,DP Conway,DC Drakes,1,0,,,,,,"",""
ball,1,0.3,New Zealand,DP Conway,MJ Guptill,DC Drakes,0,0,,,,,,"",""
ball,1,0.4,New Zealand,DP Conway,MJ Guptill,DC Drakes,1,0,,,,,,"",""
ball,1,0.5,New Zealand,MJ Guptill,DP Conway,DC Drakes,0,0,,,,,,"",""
ball,1,0.6,New Zealand,MJ Guptill,DP Conway,DC Drakes,1,0,,,,,,"",""
ball,1,1.1,New Zealand,MJ Guptill,DP Conway,AS Joseph,1,0,,,,,,"",""
ball,1,1.2,New Zealand,DP Conway,MJ Guptill,AS Joseph,1,0,,,,,,"",""
ball,1,1.3,New Zealand,MJ Guptill,DP Conway,AS Joseph,0,0,,,,,,"",""
ball,1,1.4,New Zealand,MJ Guptill,DP Conway,AS Joseph,4,0,,,,,,"",""
ball,1,1.5,New Zealand,MJ Guptill,DP Conway,AS Joseph,2,0,,,,,,"",""
ball,1,1.6,New Zealand,MJ Guptill,DP Conway,AS Joseph,0,0,,,,,,"",""
ball,1,2.1,New Zealand,DP Conway,MJ Guptill,AJ Hosein,1,0,,,,,,"",""
ball,1,2.2,New Zealand,MJ Guptill,DP Conway,AJ Hosein,0,0,,,,,,"",""
ball,1,2.3,New Zealand,MJ Guptill,DP Conway,AJ Hosein,0,0,,,,,,"",""
ball,1,2.4,New Zealand,MJ Guptill,DP Conway,AJ Hosein,6,0,,,,,,"",""
ball,1,2.5,New Zealand,MJ Guptill,DP Conway,AJ Hosein,0,0,,,,,,bowled,MJ Guptill
ball,1,2.6,New Zealand,MJ Santner,DP Conway,AJ Hosein,4,0,,,,,,"",""
ball,1,3.1,New Zealand,DP Conway,MJ Santner,DC Drakes,1,0,,,,,,"",""
ball,1,3.2,New Zealand,MJ Santner,DP Conway,DC Drakes,0,0,,,,,,"",""
ball,1,3.3,New Zealand,MJ Santner,DP Conway,DC Drakes,1,0,,,,,,"",""
ball,1,3.4,New Zealand,DP Conway,MJ Santner,DC Drakes,0,0,,,,,,"",""
ball,1,3.5,New Zealand,DP Conway,MJ Santner,DC Drakes,1,0,,,,,,"",""
ball,1,3.6,New Zealand,MJ Santner,DP Conway,DC Drakes,1,0,,,,,,"",""
ball,1,4.1,New Zealand,MJ Santner,DP Conway,AS Joseph,4,0,,,,,,"",""
ball,1,4.2,New Zealand,MJ Santner,DP Conway,AS Joseph,1,0,,,,,,"",""
ball,1,4.3,New Zealand,DP Conway,MJ Santner,AS Joseph,1,0,,,,,,"",""
ball,1,4.4,New Zealand,MJ Santner,DP Conway,AS Joseph,1,0,,,,,,"",""
ball,1,4.5,New Zealand,DP Conway,MJ Santner,AS Joseph,1,0,,,,,,"",""
