version,1.7.0
info,balls_per_over,6
info,team,Croatia
info,team,Belgium
info,gender,male
info,season,2024
info,date,2024/07/08
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,5
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Croatia
info,toss_decision,bat
info,player_of_match,ZXM Vukusic
info,umpire,Jonathan Kennedy
info,umpire,M Jameson
info,reserve_umpire,Rizwan Akram
info,match_referee,H Pack
info,winner,Croatia
info,winner_runs,5
info,method,D/L
info,player,Croatia,CP Turkich
info,player,Croatia,D Marsic
info,player,Croatia,ZXM Vukusic
info,player,Croatia,DJ Turkich
info,player,Croatia,JM Vujinovich
info,player,Croatia,M Grzinic
info,player,Croatia,PS Roberts
info,player,Croatia,J Grzinic
info,player,Croatia,LW Potthoff
info,player,Croatia,B Jerkovic
info,player,Croatia,A Govorko
info,player,Belgium,Muhammad Muneeb
info,player,Belgium,Aziz Mohammad
info,player,Belgium,A Raza
info,player,Belgium,B Niaz
info,player,Belgium,D Dewald
info,player,Belgium,Shaheryar Butt
info,player,Belgium,Sheraz Sheikh
info,player,Belgium,Saber Zakhil
info,player,Belgium,Sajad Ahmadzai
info,player,Belgium,Khalid Ahmadi
info,player,Belgium,Muhammad Fahim
info,registry,people,A Govorko,a6e4e6f9
info,registry,people,A Raza,838bc6ab
info,registry,people,Aziz Mohammad,b3e9555a
info,registry,people,B Jerkovic,63bd7086
info,registry,people,B Niaz,b7824537
info,registry,people,CP Turkich,6264d645
info,registry,people,D Dewald,f97e4db3
info,registry,people,D Marsic,16fa34cf
info,registry,people,DJ Turkich,96013995
info,registry,people,H Pack,fed53c91
info,registry,people,J Grzinic,03c94c2f
info,registry,people,JM Vujinovich,99ad98b0
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,Khalid Ahmadi,cf0b9a0d
info,registry,people,LW Potthoff,02b87bde
info,registry,people,M Grzinic,58fba7cb
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,Muhammad Fahim,5c57229d
info,registry,people,Muhammad Muneeb,5338b9f5
info,registry,people,PS Roberts,fd43bb69
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,Saber Zakhil,036dcf9b
info,registry,people,Sajad Ahmadzai,6978bff0
info,registry,people,Shaheryar Butt,b6bad765
info,registry,people,Sheraz Sheikh,4aad6842
info,registry,people,Waqas Ali,2fd4669a
info,registry,people,ZXM Vukusic,78a3ae4b
ball,1,0.1,Croatia,CP Turkich,D Marsic,Muhammad Fahim,0,0,,,,,,"",""
ball,1,0.2,Croatia,CP Turkich,D Marsic,Muhammad Fahim,1,0,,,,,,"",""
ball,1,0.3,Croatia,D Marsic,CP Turkich,Muhammad Fahim,2,0,,,,,,"",""
ball,1,0.4,Croatia,D Marsic,CP Turkich,Muhammad Fahim,0,1,1,,,,,"",""
ball,1,0.5,Croatia,D Marsic,CP Turkich,Muhammad Fahim,0,0,,,,,,"",""
ball,1,0.6,Croatia,D Marsic,CP Turkich,Muhammad Fahim,0,2,2,,,,,"",""
ball,1,0.7,Croatia,CP Turkich,D Marsic,Muhammad Fahim,1,0,,,,,,"",""
ball,1,0.8,Croatia,D Marsic,CP Turkich,Muhammad Fahim,0,0,,,,,,"",""
ball,1,1.1,Croatia,CP Turkich,D Marsic,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.2,Croatia,CP Turkich,D Marsic,Sajad Ahmadzai,1,0,,,,,,"",""
ball,1,1.3,Croatia,D Marsic,CP Turkich,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.4,Croatia,D Marsic,CP Turkich,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.5,Croatia,D Marsic,CP Turkich,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.6,Croatia,D Marsic,CP Turkich,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,2.1,Croatia,CP Turkich,D Marsic,Muhammad Fahim,0,0,,,,,,"",""
ball,1,2.2,Croatia,CP Turkich,D Marsic,Muhammad Fahim,4,0,,,,,,"",""
ball,1,2.3,Croatia,CP Turkich,D Marsic,Muhammad Fahim,0,0,,,,,,"",""
ball,1,2.4,Croatia,CP Turkich,D Marsic,Muhammad Fahim,0,1,,,,1,,"",""
ball,1,2.5,Croatia,D Marsic,CP Turkich,Muhammad Fahim,0,0,,,,,,"",""
ball,1,2.6,Croatia,D Marsic,CP Turkich,Muhammad Fahim,0,0,,,,,,"",""
ball,1,3.1,Croatia,CP Turkich,D Marsic,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,3.2,Croatia,CP Turkich,D Marsic,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,3.3,Croatia,CP Turkich,D Marsic,Khalid Ahmadi,0,1,1,,,,,"",""
ball,1,3.4,Croatia,CP Turkich,D Marsic,Khalid Ahmadi,0,0,,,,,,"",""
