version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Sri Lanka
info,gender,male
info,season,2024/25
info,date,2024/12/30
info,event,Sri Lanka tour of New Zealand
info,match_number,2
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,Sri Lanka
info,toss_decision,field
info,player_of_match,MJ Hay
info,umpire,Kim Cotton
info,umpire,WR Knights
info,reserve_umpire,SB Haig
info,tv_umpire,CM Brown
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_runs,45
info,player,New Zealand,TB Robinson
info,player,New Zealand,R Ravindra
info,player,New Zealand,MS Chapman
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MJ Hay
info,player,New Zealand,MG Bracewell
info,player,New Zealand,MJ Santner
info,player,New Zealand,ZGF Foulkes
info,player,New Zealand,MJ Henry
info,player,New Zealand,JA Duffy
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,PHKD Mendis
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,WIA Fernando
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,B Fernando
info,player,Sri Lanka,M Pathirana
info,player,Sri Lanka,N Thushara
info,registry,people,B Fernando,dabbd0ae
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JJ Crowe,2e760301
info,registry,people,KIC Asalanka,732c038e
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,M Pathirana,64839cb3
info,registry,people,M Theekshana,f24c6701
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,N Thushara,ee1b6c27
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Ravindra,ba5e1069
info,registry,people,SB Haig,811655b3
info,registry,people,TB Robinson,5d664346
info,registry,people,WIA Fernando,9550470d
info,registry,people,WR Knights,63cbf8d8
info,registry,people,ZGF Foulkes,30f92334
ball,1,0.1,New Zealand,TB Robinson,R Ravindra,N Thushara,0,0,,,,,,"",""
ball,1,0.2,New Zealand,TB Robinson,R Ravindra,N Thushara,0,0,,,,,,"",""
ball,1,0.3,New Zealand,TB Robinson,R Ravindra,N Thushara,0,0,,,,,,"",""
ball,1,0.4,New Zealand,TB Robinson,R Ravindra,N Thushara,0,0,,,,,,"",""
ball,1,0.5,New Zealand,TB Robinson,R Ravindra,N Thushara,6,0,,,,,,"",""
ball,1,0.6,New Zealand,TB Robinson,R Ravindra,N Thushara,1,0,,,,,,"",""
ball,1,1.1,New Zealand,TB Robinson,R Ravindra,B Fernando,0,0,,,,,,"",""
ball,1,1.2,New Zealand,TB Robinson,R Ravindra,B Fernando,0,1,,,,1,,"",""
ball,1,1.3,New Zealand,R Ravindra,TB Robinson,B Fernando,0,0,,,,,,"",""
ball,1,1.4,New Zealand,R Ravindra,TB Robinson,B Fernando,1,0,,,,,,"",""
ball,1,1.5,New Zealand,TB Robinson,R Ravindra,B Fernando,0,0,,,,,,"",""
ball,1,1.6,New Zealand,TB Robinson,R Ravindra,B Fernando,2,0,,,,,,"",""
ball,1,2.1,New Zealand,R Ravindra,TB Robinson,N Thushara,0,1,,,,1,,"",""
ball,1,2.2,New Zealand,TB Robinson,R Ravindra,N Thushara,1,0,,,,,,"",""
ball,1,2.3,New Zealand,R Ravindra,TB Robinson,N Thushara,0,0,,,,,,caught,R Ravindra
ball,1,2.4,New Zealand,MS Chapman,TB Robinson,N Thushara,1,0,,,,,,"",""
ball,1,2.5,New Zealand,TB Robinson,MS Chapman,N Thushara,0,0,,,,,,"",""
ball,1,2.6,New Zealand,TB Robinson,MS Chapman,N Thushara,1,0,,,,,,"",""
ball,1,3.1,New Zealand,TB Robinson,MS Chapman,B Fernando,0,1,,,,1,,"",""
ball,1,3.2,New Zealand,MS Chapman,TB Robinson,B Fernando,1,0,,,,,,"",""
ball,1,3.3,New Zealand,TB Robinson,MS Chapman,B Fernando,1,0,,,,,,"",""
ball,1,3.4,New Zealand,MS Chapman,TB Robinson,B Fernando,1,0,,,,,,"",""
ball,1,3.5,New Zealand,TB Robinson,MS Chapman,B Fernando,4,0,,,,,,"",""
ball,1,3.6,New Zealand,TB Robinson,MS Chapman,B Fernando,2,0,,,,,,"",""
ball,1,4.1,New Zealand,MS Chapman,TB Robinson,M Theekshana,4,0,,,,,,"",""
