version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Canada
info,gender,female
info,season,2025/26
info,date,2025/11/05
info,event,Canada Women tour of Tanzania
info,match_number,2
info,venue,"Gymkhana Club Ground, Dar-es-Salaam"
info,city,Dar-es-Salaam
info,toss_winner,Tanzania
info,toss_decision,bat
info,player_of_match,NJ Pius
info,umpire,AA Premji
info,umpire,A Kassam
info,reserve_umpire,Abdulsamad Ahmed
info,tv_umpire,H Bhalloo
info,winner,Tanzania
info,winner_runs,26
info,player,Tanzania,FO Kibasu
info,player,Tanzania,S Mtae
info,player,Tanzania,NJ Pius
info,player,Tanzania,Nasra Mohamedi
info,player,Tanzania,JG Kimaro
info,player,Tanzania,SH Mohamedi
info,player,Tanzania,NN Saidi
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,S Kizito
info,player,Tanzania,SD Hussein
info,player,Tanzania,SF Jerome
info,player,Canada,A Perera
info,player,Canada,Rabbjyot Rajput
info,player,Canada,Amarpal Kaur
info,player,Canada,Kainat Qazi
info,player,Canada,K Kapadia
info,player,Canada,V Mahajan
info,player,Canada,I Goordial-John
info,player,Canada,Zeel Patel
info,player,Canada,T Thorpe
info,player,Canada,TA Lavia
info,player,Canada,Srishti Raha
info,registry,people,A Kassam,7d13b388
info,registry,people,A Perera,788afc32
info,registry,people,AA Premji,62479b4b
info,registry,people,Abdulsamad Ahmed,5d854fcb
info,registry,people,Amarpal Kaur,3051fcc6
info,registry,people,FO Kibasu,1c726c76
info,registry,people,H Bhalloo,d2b38204
info,registry,people,I Goordial-John,6e2ec862
info,registry,people,JG Kimaro,3f0be08f
info,registry,people,K Kapadia,52fc5577
info,registry,people,Kainat Qazi,1ccd4054
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,Nasra Mohamedi,754c719b
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,Rabbjyot Rajput,8b1f5f91
info,registry,people,S Kizito,d91a936b
info,registry,people,S Mtae,bb641155
info,registry,people,SD Hussein,5f36cd39
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SH Mohamedi,10ab6a37
info,registry,people,Srishti Raha,b325acfa
info,registry,people,T Thorpe,9e547805
info,registry,people,TA Lavia,361b378b
info,registry,people,V Mahajan,8c42d7d8
info,registry,people,Zeel Patel,c6635f86
ball,1,0.1,Tanzania,FO Kibasu,S Mtae,V Mahajan,0,0,,,,,,run out,FO Kibasu
ball,1,0.2,Tanzania,NJ Pius,S Mtae,V Mahajan,0,0,,,,,,"",""
ball,1,0.3,Tanzania,NJ Pius,S Mtae,V Mahajan,1,0,,,,,,"",""
ball,1,0.4,Tanzania,S Mtae,NJ Pius,V Mahajan,0,0,,,,,,"",""
ball,1,0.5,Tanzania,S Mtae,NJ Pius,V Mahajan,1,0,,,,,,"",""
ball,1,0.6,Tanzania,NJ Pius,S Mtae,V Mahajan,0,0,,,,,,"",""
ball,1,1.1,Tanzania,S Mtae,NJ Pius,Rabbjyot Rajput,0,0,,,,,,"",""
ball,1,1.2,Tanzania,S Mtae,NJ Pius,Rabbjyot Rajput,1,0,,,,,,"",""
ball,1,1.3,Tanzania,NJ Pius,S Mtae,Rabbjyot Rajput,3,0,,,,,,"",""
ball,1,1.4,Tanzania,S Mtae,NJ Pius,Rabbjyot Rajput,0,1,,,,1,,"",""
ball,1,1.5,Tanzania,NJ Pius,S Mtae,Rabbjyot Rajput,1,0,,,,,,"",""
ball,1,1.6,Tanzania,S Mtae,NJ Pius,Rabbjyot Rajput,1,0,,,,,,"",""
ball,1,2.1,Tanzania,S Mtae,NJ Pius,V Mahajan,0,0,,,,,,"",""
ball,1,2.2,Tanzania,S Mtae,NJ Pius,V Mahajan,0,0,,,,,,"",""
ball,1,2.3,Tanzania,S Mtae,NJ Pius,V Mahajan,1,0,,,,,,"",""
ball,1,2.4,Tanzania,NJ Pius,S Mtae,V Mahajan,2,0,,,,,,"",""
ball,1,2.5,Tanzania,NJ Pius,S Mtae,V Mahajan,0,0,,,,,,"",""
ball,1,2.6,Tanzania,NJ Pius,S Mtae,V Mahajan,4,0,,,,,,"",""
ball,1,3.1,Tanzania,S Mtae,NJ Pius,I Goordial-John,1,0,,,,,,"",""
ball,1,3.2,Tanzania,NJ Pius,S Mtae,I Goordial-John,1,0,,,,,,"",""
ball,1,3.3,Tanzania,S Mtae,NJ Pius,I Goordial-John,4,0,,,,,,"",""
ball,1,3.4,Tanzania,S Mtae,NJ Pius,I Goordial-John,0,0,,,,,,"",""
ball,1,3.5,Tanzania,S Mtae,NJ Pius,I Goordial-John,0,1,,,,1,,"",""
