version,1.7.0
info,balls_per_over,6
info,team,Sierra Leone
info,team,Ghana
info,gender,male
info,season,2023/24
info,date,2023/10/04
info,event,West Africa Trophy
info,match_number,2
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Ghana
info,toss_decision,field
info,player_of_match,OH Agbomadzie
info,umpire,Habib Enesi
info,umpire,AA Adeoye
info,reserve_umpire,Kehinde Olanbiwonnu
info,winner,Ghana
info,winner_wickets,3
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,M Kpaka
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,S Conteh
info,player,Sierra Leone,B Williams
info,player,Ghana,JK Vifah
info,player,Ghana,SK Awiah
info,player,Ghana,OH Agbomadzie
info,player,Ghana,R Bakum
info,player,Ghana,KM Awala
info,player,Ghana,DK Anefie
info,player,Ghana,M Aboagye
info,player,Ghana,TK Joseph
info,player,Ghana,G Bakiweyem
info,player,Ghana,Syed Aqeel Israr
info,player,Ghana,KS Bagabena
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Turay,11a22126
info,registry,people,AA Adeoye,482762af
info,registry,people,B Williams,6cd3a166
info,registry,people,C Bah,7213d757
info,registry,people,DK Anefie,f98c24ec
info,registry,people,G Bakiweyem,5fe3709e
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,J Bangura,d7acab5d
info,registry,people,JK Vifah,a1448a10
info,registry,people,KM Awala,c6c7d01b
info,registry,people,KS Bagabena,1ce4f664
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,L Lamin,5a970aab
info,registry,people,M Aboagye,afe8ff08
info,registry,people,M Kpaka,c381cec5
info,registry,people,OH Agbomadzie,b38a9f73
info,registry,people,R Bakum,c74c583b
info,registry,people,R Coker,3239c8a9
info,registry,people,S Conteh,8f70fff7
info,registry,people,SK Awiah,bc3fc527
info,registry,people,Syed Aqeel Israr,4286e899
info,registry,people,TK Joseph,4fafd79a
ball,1,0.1,Sierra Leone,G Ngegba,A Turay,JK Vifah,2,0,,,,,,"",""
ball,1,0.2,Sierra Leone,G Ngegba,A Turay,JK Vifah,0,0,,,,,,caught,G Ngegba
ball,1,0.3,Sierra Leone,M Kpaka,A Turay,JK Vifah,0,1,,,,1,,"",""
ball,1,0.4,Sierra Leone,A Turay,M Kpaka,JK Vifah,0,1,1,,,,,"",""
ball,1,0.5,Sierra Leone,A Turay,M Kpaka,JK Vifah,0,1,1,,,,,"",""
ball,1,0.6,Sierra Leone,A Turay,M Kpaka,JK Vifah,1,0,,,,,,"",""
ball,1,0.7,Sierra Leone,M Kpaka,A Turay,JK Vifah,2,0,,,,,,"",""
ball,1,0.8,Sierra Leone,M Kpaka,A Turay,JK Vifah,0,0,,,,,,"",""
ball,1,1.1,Sierra Leone,A Turay,M Kpaka,G Bakiweyem,0,0,,,,,,"",""
ball,1,1.2,Sierra Leone,A Turay,M Kpaka,G Bakiweyem,4,0,,,,,,"",""
ball,1,1.3,Sierra Leone,A Turay,M Kpaka,G Bakiweyem,1,0,,,,,,"",""
ball,1,1.4,Sierra Leone,M Kpaka,A Turay,G Bakiweyem,1,0,,,,,,"",""
ball,1,1.5,Sierra Leone,A Turay,M Kpaka,G Bakiweyem,2,0,,,,,,"",""
ball,1,1.6,Sierra Leone,A Turay,M Kpaka,G Bakiweyem,1,0,,,,,,"",""
ball,1,2.1,Sierra Leone,A Turay,M Kpaka,JK Vifah,6,0,,,,,,"",""
ball,1,2.2,Sierra Leone,A Turay,M Kpaka,JK Vifah,0,0,,,,,,"",""
ball,1,2.3,Sierra Leone,A Turay,M Kpaka,JK Vifah,1,0,,,,,,"",""
ball,1,2.4,Sierra Leone,M Kpaka,A Turay,JK Vifah,0,0,,,,,,"",""
ball,1,2.5,Sierra Leone,M Kpaka,A Turay,JK Vifah,0,0,,,,,,"",""
ball,1,2.6,Sierra Leone,M Kpaka,A Turay,JK Vifah,0,0,,,,,,"",""
ball,1,3.1,Sierra Leone,A Turay,M Kpaka,G Bakiweyem,1,0,,,,,,"",""
ball,1,3.2,Sierra Leone,M Kpaka,A Turay,G Bakiweyem,0,0,,,,,,"",""
