version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Kenya
info,gender,male
info,season,2024
info,date,2024/06/29
info,event,Twenty20 Quadrangular (in Kenya)
info,match_number,4
info,venue,"Sikh Union Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,Tanzeel Sheikh
info,umpire,Asgarali Kassam
info,umpire,R D'Mello
info,reserve_umpire,B Agutu
info,winner,Kenya
info,winner_wickets,6
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,O Manishimwe
info,player,Rwanda,Hamza Khan
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,C Rububagumya
info,player,Rwanda,Yves Cyusa
info,player,Rwanda,I Ntirenganya
info,player,Rwanda,K Irakoze
info,player,Rwanda,M Akayezu
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,Muhammad Nadir
info,player,Kenya,Tanzeel Sheikh
info,player,Kenya,N Mugabe
info,player,Kenya,SR Bhudia
info,player,Kenya,NM Odhiambo
info,player,Kenya,S Singh
info,player,Kenya,JS Kundi
info,player,Kenya,RR Patel
info,player,Kenya,SO Ngoche
info,player,Kenya,Vraj Patel
info,player,Kenya,P Koech
info,player,Kenya,LN Oluoch
info,registry,people,Asgarali Kassam,88aaf2d7
info,registry,people,B Agutu,9b120c69
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,JS Kundi,092ccf20
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,N Mugabe,3e28808e
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Koech,f4a0a615
info,registry,people,R D'Mello,f3c22863
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Tanzeel Sheikh,5493ad5c
info,registry,people,Vraj Patel,2af28253
info,registry,people,Yves Cyusa,b5aa28ce
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,D Ndikubwimana,O Manishimwe,P Koech,0,0,,,,,,"",""
ball,1,0.2,Rwanda,D Ndikubwimana,O Manishimwe,P Koech,1,0,,,,,,"",""
ball,1,0.3,Rwanda,O Manishimwe,D Ndikubwimana,P Koech,4,0,,,,,,"",""
ball,1,0.4,Rwanda,O Manishimwe,D Ndikubwimana,P Koech,0,2,,,,2,,"",""
ball,1,0.5,Rwanda,O Manishimwe,D Ndikubwimana,P Koech,0,0,,,,,,"",""
ball,1,0.6,Rwanda,O Manishimwe,D Ndikubwimana,P Koech,1,0,,,,,,"",""
ball,1,1.1,Rwanda,O Manishimwe,D Ndikubwimana,LN Oluoch,0,0,,,,,,"",""
ball,1,1.2,Rwanda,O Manishimwe,D Ndikubwimana,LN Oluoch,0,0,,,,,,"",""
ball,1,1.3,Rwanda,O Manishimwe,D Ndikubwimana,LN Oluoch,0,0,,,,,,"",""
ball,1,1.4,Rwanda,O Manishimwe,D Ndikubwimana,LN Oluoch,0,1,1,,,,,"",""
ball,1,1.5,Rwanda,O Manishimwe,D Ndikubwimana,LN Oluoch,0,0,,,,,,"",""
ball,1,1.6,Rwanda,O Manishimwe,D Ndikubwimana,LN Oluoch,1,0,,,,,,"",""
ball,1,1.7,Rwanda,D Ndikubwimana,O Manishimwe,LN Oluoch,1,0,,,,,,"",""
ball,1,2.1,Rwanda,D Ndikubwimana,O Manishimwe,P Koech,4,0,,,,,,"",""
ball,1,2.2,Rwanda,D Ndikubwimana,O Manishimwe,P Koech,0,0,,,,,,"",""
ball,1,2.3,Rwanda,D Ndikubwimana,O Manishimwe,P Koech,2,0,,,,,,"",""
ball,1,2.4,Rwanda,D Ndikubwimana,O Manishimwe,P Koech,1,0,,,,,,"",""
ball,1,2.5,Rwanda,O Manishimwe,D Ndikubwimana,P Koech,0,0,,,,,,"",""
ball,1,2.6,Rwanda,O Manishimwe,D Ndikubwimana,P Koech,2,0,,,,,,"",""
ball,1,3.1,Rwanda,D Ndikubwimana,O Manishimwe,SO Ngoche,0,0,,,,,,"",""
ball,1,3.2,Rwanda,D Ndikubwimana,O Manishimwe,SO Ngoche,1,0,,,,,,"",""
ball,1,3.3,Rwanda,O Manishimwe,D Ndikubwimana,SO Ngoche,0,0,,,,,,"",""
