version,1.7.0
info,balls_per_over,6
info,team,Japan
info,team,Vanuatu
info,gender,male
info,season,2023
info,date,2023/07/23
info,event,ICC Men's T20 World Cup East Asia-Pacific Qualifier
info,match_number,3
info,venue,"Amini Park, Port Moresby"
info,city,Port Moresby
info,toss_winner,Vanuatu
info,toss_decision,field
info,player_of_match,K Kadowaki-Fleming
info,umpire,A Kapa
info,umpire,CA Polosak
info,reserve_umpire,SB Haig
info,match_referee,WC Labrooy
info,winner,Japan
info,winner_runs,21
info,player,Japan,L Yamamoto-Lake
info,player,Japan,A Patmore
info,player,Japan,S Navaratne
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,I Takahashi
info,player,Japan,S Ravichandran
info,player,Japan,R Sakurano-Thomas
info,player,Japan,D Suzuki
info,player,Japan,M Taniyama
info,player,Japan,P Kumbhare
info,player,Japan,R Drake
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,AL Stephen
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,JD Allan
info,player,Vanuatu,A Mansale
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,R Tari
info,player,Vanuatu,J Rasu
info,player,Vanuatu,SH Obed
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,Obed Yosef
info,registry,people,A Kapa,7c9c0f18
info,registry,people,A Mansale,a22b4f3f
info,registry,people,A Patmore,85119526
info,registry,people,AL Stephen,49f6d023
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Suzuki,64c81abf
info,registry,people,I Takahashi,c988daa1
info,registry,people,J Rasu,1021b6e5
info,registry,people,JD Allan,3758028b
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Taniyama,cbd91942
info,registry,people,N Nipiko,c498c510
info,registry,people,Obed Yosef,a843d7a8
info,registry,people,P Kumbhare,ef503cfe
info,registry,people,PK Matautaava,af19aa66
info,registry,people,R Drake,57b3c398
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,R Tari,c4d19735
info,registry,people,S Navaratne,29573e43
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,SB Haig,811655b3
info,registry,people,SH Obed,f49c401e
info,registry,people,W Nalisa,673be48f
info,registry,people,WC Labrooy,29d4e29b
ball,1,0.1,Japan,L Yamamoto-Lake,A Patmore,J Rasu,0,1,1,,,,,"",""
ball,1,0.2,Japan,L Yamamoto-Lake,A Patmore,J Rasu,0,0,,,,,,"",""
ball,1,0.3,Japan,L Yamamoto-Lake,A Patmore,J Rasu,0,0,,,,,,"",""
ball,1,0.4,Japan,L Yamamoto-Lake,A Patmore,J Rasu,0,0,,,,,,caught,L Yamamoto-Lake
ball,1,0.5,Japan,S Navaratne,A Patmore,J Rasu,0,0,,,,,,"",""
ball,1,0.6,Japan,S Navaratne,A Patmore,J Rasu,1,0,,,,,,"",""
ball,1,0.7,Japan,A Patmore,S Navaratne,J Rasu,0,0,,,,,,lbw,A Patmore
ball,1,1.1,Japan,S Navaratne,K Kadowaki-Fleming,PK Matautaava,0,0,,,,,,"",""
ball,1,1.2,Japan,S Navaratne,K Kadowaki-Fleming,PK Matautaava,1,0,,,,,,"",""
ball,1,1.3,Japan,K Kadowaki-Fleming,S Navaratne,PK Matautaava,0,0,,,,,,"",""
ball,1,1.4,Japan,K Kadowaki-Fleming,S Navaratne,PK Matautaava,1,0,,,,,,"",""
ball,1,1.5,Japan,S Navaratne,K Kadowaki-Fleming,PK Matautaava,1,0,,,,,,"",""
ball,1,1.6,Japan,K Kadowaki-Fleming,S Navaratne,PK Matautaava,0,0,,,,,,"",""
ball,1,2.1,Japan,S Navaratne,K Kadowaki-Fleming,J Rasu,0,1,,,,1,,"",""
ball,1,2.2,Japan,K Kadowaki-Fleming,S Navaratne,J Rasu,0,0,,,,,,run out,S Navaratne
ball,1,2.3,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,0,0,,,,,,"",""
ball,1,2.4,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,0,0,,,,,,"",""
ball,1,2.5,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,2,0,,,,,,"",""
ball,1,2.6,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,1,0,,,,,,"",""
ball,1,3.1,Japan,K Kadowaki-Fleming,I Takahashi,Obed Yosef,2,0,,,,,,"",""
ball,1,3.2,Japan,K Kadowaki-Fleming,I Takahashi,Obed Yosef,1,0,,,,,,"",""
ball,1,3.3,Japan,I Takahashi,K Kadowaki-Fleming,Obed Yosef,0,0,,,,,,"",""
ball,1,3.4,Japan,I Takahashi,K Kadowaki-Fleming,Obed Yosef,0,0,,,,,,"",""
ball,1,3.5,Japan,I Takahashi,K Kadowaki-Fleming,Obed Yosef,0,0,,,,,,"",""
ball,1,3.6,Japan,I Takahashi,K Kadowaki-Fleming,Obed Yosef,3,0,,,,,,"",""
ball,1,4.1,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,1,0,,,,,,"",""
ball,1,4.2,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,1,0,,,,,,"",""
ball,1,4.3,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,0,0,,,,,,"",""
ball,1,4.4,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,6,0,,,,,,"",""
ball,1,4.5,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,0,0,,,,,,"",""
ball,1,4.6,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,4,0,,,,,,"",""
ball,1,5.1,Japan,K Kadowaki-Fleming,I Takahashi,W Nalisa,0,0,,,,,,"",""
ball,1,5.2,Japan,K Kadowaki-Fleming,I Takahashi,W Nalisa,0,0,,,,,,"",""
ball,1,5.3,Japan,K Kadowaki-Fleming,I Takahashi,W Nalisa,4,0,,,,,,"",""
ball,1,5.4,Japan,K Kadowaki-Fleming,I Takahashi,W Nalisa,0,0,,,,,,"",""
ball,1,5.5,Japan,K Kadowaki-Fleming,I Takahashi,W Nalisa,0,0,,,,,,"",""
ball,1,5.6,Japan,K Kadowaki-Fleming,I Takahashi,W Nalisa,0,0,,,,,,"",""
ball,1,6.1,Japan,I Takahashi,K Kadowaki-Fleming,AL Stephen,0,1,1,,,,,"",""
ball,1,6.2,Japan,I Takahashi,K Kadowaki-Fleming,AL Stephen,0,0,,,,,,"",""
ball,1,6.3,Japan,I Takahashi,K Kadowaki-Fleming,AL Stephen,0,1,,,,1,,"",""
ball,1,6.4,Japan,K Kadowaki-Fleming,I Takahashi,AL Stephen,0,0,,,,,,"",""
ball,1,6.5,Japan,K Kadowaki-Fleming,I Takahashi,AL Stephen,1,0,,,,,,"",""
ball,1,6.6,Japan,I Takahashi,K Kadowaki-Fleming,AL Stephen,1,0,,,,,,"",""
ball,1,6.7,Japan,K Kadowaki-Fleming,I Takahashi,AL Stephen,1,0,,,,,,"",""
ball,1,7.1,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,2,0,,,,,,"",""
ball,1,7.2,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,1,0,,,,,,"",""
ball,1,7.3,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,1,0,,,,,,"",""
ball,1,7.4,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,0,0,,,,,,"",""
ball,1,7.5,Japan,K Kadowaki-Fleming,I Takahashi,J Rasu,1,0,,,,,,"",""
ball,1,7.6,Japan,I Takahashi,K Kadowaki-Fleming,J Rasu,0,0,,,,,,"",""
ball,1,8.1,Japan,K Kadowaki-Fleming,I Takahashi,AL Stephen,1,0,,,,,,"",""
ball,1,8.2,Japan,I Takahashi,K Kadowaki-Fleming,PK Matautaava,0,0,,,,,,"",""
ball,1,8.3,Japan,I Takahashi,K Kadowaki-Fleming,PK Matautaava,1,0,,,,,,"",""
ball,1,8.4,Japan,K Kadowaki-Fleming,I Takahashi,PK Matautaava,0,0,,,,,,"",""
