version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Tanzania
info,gender,male
info,season,2023
info,date,2023/08/25
info,event,East Africa Cup
info,match_number,9
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Tanzania
info,toss_decision,field
info,player_of_match,M Yunusu Issa
info,umpire,Norbert Abii
info,umpire,V Iriho
info,reserve_umpire,Gaston Niyibizi
info,winner,Tanzania
info,winner_wickets,1
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,K Irakoze
info,player,Rwanda,W Niyitanga
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,C Rububagumya
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Sebareme
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,E Kubwimana
info,player,Rwanda,E Rukiriza
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,Jitin Singh
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,MO Kitunda
info,player,Tanzania,Shaik Basha
info,player,Tanzania,AM Kimote
info,player,Tanzania,S Thakor
info,player,Tanzania,SA Jumbe
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,YM Nkanya
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Kubwimana,bfc7799f
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,II Selemani,b2dadc51
info,registry,people,Jitin Singh,b7db83eb
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,Norbert Abii,ed06cf51
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,Shaik Basha,1b77c4c6
info,registry,people,V Iriho,2853eafb
info,registry,people,W Niyitanga,e7631adc
info,registry,people,YM Nkanya,9238dd92
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Rwanda,D Ndikubwimana,E Dusingizimana,M Yunusu Issa,1,0,,,,,,"",""
ball,1,0.2,Rwanda,E Dusingizimana,D Ndikubwimana,M Yunusu Issa,0,0,,,,,,"",""
ball,1,0.3,Rwanda,E Dusingizimana,D Ndikubwimana,M Yunusu Issa,1,0,,,,,,"",""
ball,1,0.4,Rwanda,D Ndikubwimana,E Dusingizimana,M Yunusu Issa,1,0,,,,,,"",""
ball,1,0.5,Rwanda,E Dusingizimana,D Ndikubwimana,M Yunusu Issa,4,0,,,,,,"",""
ball,1,0.6,Rwanda,E Dusingizimana,D Ndikubwimana,M Yunusu Issa,0,0,,,,,,"",""
ball,1,1.1,Rwanda,D Ndikubwimana,E Dusingizimana,SA Jumbe,1,0,,,,,,"",""
ball,1,1.2,Rwanda,E Dusingizimana,D Ndikubwimana,SA Jumbe,0,0,,,,,,"",""
ball,1,1.3,Rwanda,E Dusingizimana,D Ndikubwimana,SA Jumbe,1,0,,,,,,"",""
ball,1,1.4,Rwanda,D Ndikubwimana,E Dusingizimana,SA Jumbe,0,0,,,,,,"",""
ball,1,1.5,Rwanda,D Ndikubwimana,E Dusingizimana,SA Jumbe,0,0,,,,,,"",""
ball,1,1.6,Rwanda,D Ndikubwimana,E Dusingizimana,SA Jumbe,2,0,,,,,,"",""
ball,1,2.1,Rwanda,E Dusingizimana,D Ndikubwimana,M Yunusu Issa,0,0,,,,,,caught,E Dusingizimana
ball,1,2.2,Rwanda,K Irakoze,D Ndikubwimana,M Yunusu Issa,0,0,,,,,,"",""
ball,1,2.3,Rwanda,K Irakoze,D Ndikubwimana,M Yunusu Issa,6,0,,,,,,"",""
ball,1,2.4,Rwanda,K Irakoze,D Ndikubwimana,M Yunusu Issa,0,0,,,,,,"",""
ball,1,2.5,Rwanda,K Irakoze,D Ndikubwimana,M Yunusu Issa,1,0,,,,,,"",""
ball,1,2.6,Rwanda,D Ndikubwimana,K Irakoze,M Yunusu Issa,0,0,,,,,,"",""
ball,1,3.1,Rwanda,K Irakoze,D Ndikubwimana,SA Jumbe,4,0,,,,,,"",""
ball,1,3.2,Rwanda,K Irakoze,D Ndikubwimana,SA Jumbe,2,0,,,,,,"",""
