version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Namibia
info,gender,female
info,season,2023/24
info,date,2023/09/26
info,event,Namibia Women tour of United Arab Emirates
info,match_number,1
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,Theertha Satish
info,umpire,Akbar Ali
info,umpire,H Yerzal
info,match_referee,Iftikhar Ali
info,winner,United Arab Emirates
info,winner_runs,19
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,S Kotte
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,I van Zyl
info,player,Namibia,W Mwatile
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,E Van Zyl
info,player,Namibia,KA Green
info,player,Namibia,B Manuel
info,player,Namibia,V Hamunyela
info,player,Namibia,D Foerster
info,registry,people,Akbar Ali,e753931d
info,registry,people,B Manuel,06cbeba1
info,registry,people,Chaya Mughal,77b26349
info,registry,people,D Foerster,5596d5bf
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Yerzal,86197ea5
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,M Gorases,d034d60a
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Kotte,6c8904c8
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,V Hamunyela,d758a366
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,1,1,,,,,"",""
ball,1,0.7,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,1,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,ER Oza,Theertha Satish,KA Green,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,ER Oza,Theertha Satish,KA Green,1,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,Theertha Satish,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,Theertha Satish,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,Theertha Satish,ER Oza,KA Green,1,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,ER Oza,Theertha Satish,KA Green,0,4,4,,,,,"",""
ball,1,1.7,United Arab Emirates,Theertha Satish,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,ER Oza,Theertha Satish,W Mwatile,0,0,,,,,,caught,ER Oza
ball,1,2.2,United Arab Emirates,KKN Egodage,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,KKN Egodage,Theertha Satish,W Mwatile,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,KKN Egodage,Theertha Satish,W Mwatile,0,2,2,,,,,"",""
ball,1,2.5,United Arab Emirates,Theertha Satish,KKN Egodage,W Mwatile,2,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Theertha Satish,KKN Egodage,W Mwatile,2,0,,,,,,"",""
ball,1,2.7,United Arab Emirates,Theertha Satish,KKN Egodage,W Mwatile,1,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,Theertha Satish,KKN Egodage,KA Green,1,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,KKN Egodage,Theertha Satish,KA Green,1,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,Theertha Satish,KKN Egodage,KA Green,0,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,Theertha Satish,KKN Egodage,KA Green,1,0,,,,,,"",""
ball,1,3.5,United Arab Emirates,KKN Egodage,Theertha Satish,KA Green,0,0,,,,,,"",""
ball,1,3.6,United Arab Emirates,KKN Egodage,Theertha Satish,KA Green,0,0,,,,,,"",""
ball,1,4.1,United Arab Emirates,Theertha Satish,KKN Egodage,I van Zyl,1,0,,,,,,"",""
ball,1,4.2,United Arab Emirates,KKN Egodage,Theertha Satish,I van Zyl,0,0,,,,,,"",""
ball,1,4.3,United Arab Emirates,KKN Egodage,Theertha Satish,I van Zyl,1,0,,,,,,"",""
ball,1,4.4,United Arab Emirates,Theertha Satish,KKN Egodage,I van Zyl,1,0,,,,,,"",""
ball,1,4.5,United Arab Emirates,KKN Egodage,Theertha Satish,I van Zyl,0,0,,,,,,caught,KKN Egodage
ball,1,4.6,United Arab Emirates,Chaya Mughal,Theertha Satish,I van Zyl,1,0,,,,,,"",""
ball,1,5.1,United Arab Emirates,Chaya Mughal,Theertha Satish,KA Green,0,0,,,,,,"",""
ball,1,5.2,United Arab Emirates,Chaya Mughal,Theertha Satish,KA Green,1,0,,,,,,"",""
ball,1,5.3,United Arab Emirates,Theertha Satish,Chaya Mughal,KA Green,1,0,,,,,,"",""
