version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Netherlands
info,gender,female
info,season,2024
info,date,2024/06/19
info,event,Hong Kong Women tour of Netherlands
info,match_number,3
info,venue,"Sportpark Maarschalkerweerd, Utrecht"
info,city,Utrecht
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,R Rijke
info,umpire,MA Din
info,umpire,WPM van Liemt
info,reserve_umpire,M Prabhudesa
info,winner,Netherlands
info,winner_wickets,6
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Joyleen Kaur
info,player,Hong Kong,Chan Ka Man
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,P Molkenboer
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,S Khurana
info,player,Netherlands,CH van Koolwijk
info,player,Netherlands,F Overdijk
info,player,Netherlands,C de Lange
info,player,Netherlands,S Siegers
info,player,Netherlands,HWA Landheer
info,player,Netherlands,MIW van den Raad
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,CH van Koolwijk,27d5901c
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,F Overdijk,022745d5
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,Joyleen Kaur,8ea44a61
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MA Din,3e285c0a
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,MIW van den Raad,dead3b10
info,registry,people,NT Miles,d27d0835
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Rijke,42e4b276
info,registry,people,S Khurana,9a9a056d
info,registry,people,S Siegers,9a58f2c8
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WPM van Liemt,2bd48588
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Hong Kong,NT Miles,M Hill,IJR Zwilling,4,0,,,,,,"",""
ball,1,0.2,Hong Kong,NT Miles,M Hill,IJR Zwilling,1,0,,,,,,"",""
ball,1,0.3,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.4,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.6,Hong Kong,M Hill,NT Miles,IJR Zwilling,1,0,,,,,,"",""
ball,1,1.1,Hong Kong,M Hill,NT Miles,HWA Landheer,0,1,1,,,,,"",""
ball,1,1.2,Hong Kong,M Hill,NT Miles,HWA Landheer,0,1,1,,,,,"",""
ball,1,1.3,Hong Kong,M Hill,NT Miles,HWA Landheer,0,1,,,,1,,"",""
ball,1,1.4,Hong Kong,NT Miles,M Hill,HWA Landheer,0,0,,,,,,"",""
ball,1,1.5,Hong Kong,NT Miles,M Hill,HWA Landheer,0,0,,,,,,"",""
ball,1,1.6,Hong Kong,NT Miles,M Hill,HWA Landheer,0,0,,,,,,"",""
ball,1,1.7,Hong Kong,NT Miles,M Hill,HWA Landheer,0,1,1,,,,,"",""
ball,1,1.8,Hong Kong,NT Miles,M Hill,HWA Landheer,1,0,,,,,,"",""
ball,1,1.9,Hong Kong,M Hill,NT Miles,HWA Landheer,1,0,,,,,,"",""
ball,1,2.1,Hong Kong,M Hill,NT Miles,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.2,Hong Kong,NT Miles,M Hill,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,NT Miles,M Hill,IJR Zwilling,4,0,,,,,,"",""
ball,1,2.4,Hong Kong,NT Miles,M Hill,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.5,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.6,Hong Kong,M Hill,NT Miles,IJR Zwilling,1,0,,,,,,"",""
ball,1,3.1,Hong Kong,M Hill,NT Miles,C de Lange,0,0,,,,,,"",""
ball,1,3.2,Hong Kong,M Hill,NT Miles,C de Lange,1,0,,,,,,"",""
ball,1,3.3,Hong Kong,NT Miles,M Hill,C de Lange,1,0,,,,,,"",""
ball,1,3.4,Hong Kong,M Hill,NT Miles,C de Lange,4,0,,,,,,"",""
ball,1,3.5,Hong Kong,M Hill,NT Miles,C de Lange,0,0,,,,,,"",""
ball,1,3.6,Hong Kong,M Hill,NT Miles,C de Lange,0,0,,,,,,"",""
ball,1,4.1,Hong Kong,NT Miles,M Hill,IJR Zwilling,1,0,,,,,,"",""
ball,1,4.2,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,4.3,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,caught,M Hill
ball,1,4.4,Hong Kong,Shanzeen Shahzad,NT Miles,IJR Zwilling,1,0,,,,,,"",""
ball,1,4.5,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,2,0,,,,,,"",""
ball,1,4.6,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,2,0,,,,,,"",""
ball,1,5.1,Hong Kong,Shanzeen Shahzad,NT Miles,F Overdijk,2,0,,,,,,"",""
ball,1,5.2,Hong Kong,Shanzeen Shahzad,NT Miles,F Overdijk,0,0,,,,,,"",""
ball,1,5.3,Hong Kong,Shanzeen Shahzad,NT Miles,F Overdijk,0,0,,,,,,"",""
