version,1.7.0
info,balls_per_over,6
info,team,Singapore
info,team,Malaysia
info,gender,male
info,season,2025/26
info,date,2025/12/13
info,event,SEA Games Men's Twenty20 Cricket Competition
info,match_number,10
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Singapore
info,toss_decision,bat
info,umpire,AK Rana
info,umpire,Samad Akbar
info,reserve_umpire,Anwesh Bose
info,tv_umpire,T Senthil Kumar
info,match_referee,Suresh Singh
info,winner,Malaysia
info,winner_wickets,6
info,player,Singapore,Aman Desai
info,player,Singapore,K Sathish
info,player,Singapore,Aslan Jafri
info,player,Singapore,G Gune
info,player,Singapore,IP Swaney
info,player,Singapore,SH Venugopal
info,player,Singapore,R Sharma
info,player,Singapore,NA Karnik
info,player,Singapore,DPS Tyagi
info,player,Singapore,PSRK Sudarshan
info,player,Singapore,V Nagpaul
info,player,Malaysia,Muhammad Haziq Aiman
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,S Muniandy
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Syed Aziz
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Amir Khan
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,M Syahadat Ramli
info,player,Malaysia,Ahmed Faiz
info,registry,people,AK Rana,562d74d0
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Aman Desai,c10fd8f9
info,registry,people,Amir Khan,a7bc0f3d
info,registry,people,Anwesh Bose,3bdae121
info,registry,people,Aslan Jafri,a14b5f3c
info,registry,people,DPS Tyagi,d5f96736
info,registry,people,G Gune,5491a9ff
info,registry,people,IP Swaney,430b7399
info,registry,people,K Sathish,1cad1601
info,registry,people,M Syahadat Ramli,5efa8af3
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Haziq Aiman,1f13eba1
info,registry,people,NA Karnik,835a58da
info,registry,people,PSRK Sudarshan,3a44a4e4
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,R Sharma,2278c4ca
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,SH Venugopal,9f542219
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Suresh Singh,073de6f9
info,registry,people,Syed Aziz,6667067e
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,V Nagpaul,6d1db278
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Singapore,Aman Desai,K Sathish,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.2,Singapore,Aman Desai,K Sathish,Pavandeep Singh,4,0,,,,,,"",""
ball,1,0.3,Singapore,Aman Desai,K Sathish,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.4,Singapore,Aman Desai,K Sathish,Pavandeep Singh,1,0,,,,,,"",""
ball,1,0.5,Singapore,K Sathish,Aman Desai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.6,Singapore,K Sathish,Aman Desai,Pavandeep Singh,4,0,,,,,,"",""
ball,1,1.1,Singapore,Aman Desai,K Sathish,Syed Aziz,1,0,,,,,,"",""
ball,1,1.2,Singapore,K Sathish,Aman Desai,Syed Aziz,4,0,,,,,,"",""
ball,1,1.3,Singapore,K Sathish,Aman Desai,Syed Aziz,0,0,,,,,,lbw,K Sathish
ball,1,1.4,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,0,,,,,,"",""
ball,1,1.5,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,1,1,,,,,"",""
ball,1,1.6,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,1,0,,,,,,"",""
ball,1,1.7,Singapore,Aman Desai,Aslan Jafri,Syed Aziz,1,0,,,,,,"",""
ball,1,2.1,Singapore,Aman Desai,Aslan Jafri,S Vijay Unni,0,0,,,,,,"",""
ball,1,2.2,Singapore,Aman Desai,Aslan Jafri,S Vijay Unni,0,0,,,,,,"",""
ball,1,2.3,Singapore,Aman Desai,Aslan Jafri,S Vijay Unni,1,0,,,,,,"",""
ball,1,2.4,Singapore,Aslan Jafri,Aman Desai,S Vijay Unni,0,0,,,,,,"",""
ball,1,2.5,Singapore,Aslan Jafri,Aman Desai,S Vijay Unni,1,0,,,,,,"",""
ball,1,2.6,Singapore,Aman Desai,Aslan Jafri,S Vijay Unni,4,0,,,,,,"",""
ball,1,3.1,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,1,1,,,,,"",""
ball,1,3.2,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.3,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.4,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.5,Singapore,Aslan Jafri,Aman Desai,Syed Aziz,0,1,1,,,,,"",""
