version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Cambodia
info,gender,male
info,season,2025
info,date,2025/06/15
info,event,Cambodia tour of Indonesia
info,match_number,6
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,bat
info,player_of_match,US Hathinjar
info,umpire,Suresh Subramanian
info,umpire,Yeri Rosongna
info,match_referee,Anwesh Bose
info,winner,Cambodia
info,winner_wickets,10
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Gaurav Tiwari
info,player,Indonesia,Ashish Gupta
info,player,Indonesia,Vineet Shah
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,GD Arta
info,player,Indonesia,AA Rahayu
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,A Alexander
info,player,Indonesia,DK Shetty
info,player,Indonesia,RM Koda
info,player,Cambodia,US Hathinjar
info,player,Cambodia,Lakshit Gupta
info,player,Cambodia,M Chadha
info,player,Cambodia,Luqman Butt
info,player,Cambodia,Salvin Stanly
info,player,Cambodia,Shah Abrar Hussain
info,player,Cambodia,Utkarsh Jain
info,player,Cambodia,GC Murtaza
info,player,Cambodia,S Godara
info,player,Cambodia,Phon Bunthean
info,player,Cambodia,NT Gireesh
info,registry,people,A Alexander,ef6d6883
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anwesh Bose,3bdae121
info,registry,people,Ashish Gupta,552518ea
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,DK Shetty,65cfc56b
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,GD Arta,e969e580
info,registry,people,Gaurav Tiwari,cab3f89a
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,Lakshit Gupta,52b090a6
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,M Chadha,93a77ad4
info,registry,people,NT Gireesh,32190239
info,registry,people,Phon Bunthean,8981deb8
info,registry,people,RM Koda,f0a45427
info,registry,people,S Godara,dd7dd27a
info,registry,people,Salvin Stanly,a6631b55
info,registry,people,Shah Abrar Hussain,6ec13131
info,registry,people,Suresh Subramanian,4e869e23
info,registry,people,US Hathinjar,5f77f23a
info,registry,people,Utkarsh Jain,1f4a78c5
info,registry,people,Vineet Shah,ad85a036
info,registry,people,Yeri Rosongna,161c019d
ball,1,0.1,Indonesia,KD Kesuma,Gaurav Tiwari,GC Murtaza,1,0,,,,,,"",""
ball,1,0.2,Indonesia,Gaurav Tiwari,KD Kesuma,GC Murtaza,0,0,,,,,,caught,Gaurav Tiwari
ball,1,0.3,Indonesia,Ashish Gupta,KD Kesuma,GC Murtaza,1,0,,,,,,"",""
ball,1,0.4,Indonesia,KD Kesuma,Ashish Gupta,GC Murtaza,1,0,,,,,,"",""
ball,1,0.5,Indonesia,Ashish Gupta,KD Kesuma,GC Murtaza,0,0,,,,,,"",""
ball,1,0.6,Indonesia,Ashish Gupta,KD Kesuma,GC Murtaza,1,0,,,,,,"",""
ball,1,1.1,Indonesia,Ashish Gupta,KD Kesuma,S Godara,0,0,,,,,,"",""
ball,1,1.2,Indonesia,Ashish Gupta,KD Kesuma,S Godara,6,0,,,,,,"",""
ball,1,1.3,Indonesia,Ashish Gupta,KD Kesuma,S Godara,0,0,,,,,,caught,Ashish Gupta
ball,1,1.4,Indonesia,Vineet Shah,KD Kesuma,S Godara,0,0,,,,,,"",""
ball,1,1.5,Indonesia,Vineet Shah,KD Kesuma,S Godara,0,0,,,,,,"",""
ball,1,1.6,Indonesia,Vineet Shah,KD Kesuma,S Godara,0,0,,,,,,"",""
ball,1,2.1,Indonesia,KD Kesuma,Vineet Shah,GC Murtaza,0,0,,,,,,caught,KD Kesuma
ball,1,2.2,Indonesia,Ahmad Ramdoni,Vineet Shah,GC Murtaza,0,0,,,,,,"",""
ball,1,2.3,Indonesia,Ahmad Ramdoni,Vineet Shah,GC Murtaza,0,0,,,,,,"",""
ball,1,2.4,Indonesia,Ahmad Ramdoni,Vineet Shah,GC Murtaza,1,0,,,,,,"",""
ball,1,2.5,Indonesia,Vineet Shah,Ahmad Ramdoni,GC Murtaza,4,0,,,,,,"",""
ball,1,2.6,Indonesia,Vineet Shah,Ahmad Ramdoni,GC Murtaza,4,0,,,,,,"",""
ball,1,3.1,Indonesia,Ahmad Ramdoni,Vineet Shah,S Godara,0,0,,,,,,"",""
ball,1,3.2,Indonesia,Ahmad Ramdoni,Vineet Shah,S Godara,1,0,,,,,,"",""
ball,1,3.3,Indonesia,Vineet Shah,Ahmad Ramdoni,S Godara,0,0,,,,,,"",""
