version,1.7.0
info,balls_per_over,6
info,team,Cyprus
info,team,Estonia
info,gender,male
info,season,2024
info,date,2024/06/18
info,event,Estonia tour of Cyprus
info,match_number,3
info,venue,Happy Valley Ground
info,city,Episkopi
info,toss_winner,Estonia
info,toss_decision,field
info,player_of_match,S Burdekin
info,umpire,Nilkesh Patel
info,umpire,P Burdekin
info,winner,Cyprus
info,winner_runs,12
info,player,Cyprus,S Austin
info,player,Cyprus,MPGT Ketiyage
info,player,Cyprus,J Chialoufas
info,player,Cyprus,S Burdekin
info,player,Cyprus,A Shahi
info,player,Cyprus,R Siriwardena
info,player,Cyprus,Taranjit Singh
info,player,Cyprus,B Mahesh
info,player,Cyprus,NK Tiwari
info,player,Cyprus,SN Pathirana
info,player,Cyprus,R Brar
info,player,Estonia,Arslan Amjad
info,player,Estonia,Ali Masood
info,player,Estonia,S Hook
info,player,Estonia,Sahil Chauhan
info,player,Estonia,Bilal Masud
info,player,Estonia,S Gooch
info,player,Estonia,Aditya Panwar
info,player,Estonia,D Robson
info,player,Estonia,R Sekaran
info,player,Estonia,R Parkin
info,player,Estonia,K Vislapuu
info,registry,people,A Shahi,2011735e
info,registry,people,Aditya Panwar,77e321db
info,registry,people,Ali Masood,a138f597
info,registry,people,Arslan Amjad,c228c52d
info,registry,people,B Mahesh,90bd1f11
info,registry,people,Bilal Masud,643e4882
info,registry,people,D Robson,fa39ad19
info,registry,people,J Chialoufas,90eac542
info,registry,people,K Vislapuu,04855b85
info,registry,people,MPGT Ketiyage,2d45d7d2
info,registry,people,NK Tiwari,97f44626
info,registry,people,Nilkesh Patel,194158ae
info,registry,people,P Burdekin,de27f4f9
info,registry,people,R Brar,45d0af7e
info,registry,people,R Parkin,f2c0c73d
info,registry,people,R Sekaran,5da43a10
info,registry,people,R Siriwardena,c3ba4942
info,registry,people,S Austin,40ee633c
info,registry,people,S Burdekin,98e3f1de
info,registry,people,S Gooch,622be0d9
info,registry,people,S Hook,eba871dd
info,registry,people,SN Pathirana,f4000a7d
info,registry,people,Sahil Chauhan,f219df21
info,registry,people,Taranjit Singh,985b649e
ball,1,0.1,Cyprus,S Austin,MPGT Ketiyage,D Robson,0,0,,,,,,run out,MPGT Ketiyage
ball,1,0.2,Cyprus,S Austin,J Chialoufas,D Robson,0,0,,,,,,"",""
ball,1,0.3,Cyprus,S Austin,J Chialoufas,D Robson,3,0,,,,,,"",""
ball,1,0.4,Cyprus,J Chialoufas,S Austin,D Robson,0,1,,,,1,,"",""
ball,1,0.5,Cyprus,S Austin,J Chialoufas,D Robson,4,0,,,,,,"",""
ball,1,0.6,Cyprus,S Austin,J Chialoufas,D Robson,0,0,,,,,,"",""
ball,1,1.1,Cyprus,J Chialoufas,S Austin,S Gooch,0,0,,,,,,"",""
ball,1,1.2,Cyprus,J Chialoufas,S Austin,S Gooch,2,0,,,,,,"",""
ball,1,1.3,Cyprus,J Chialoufas,S Austin,S Gooch,0,0,,,,,,"",""
ball,1,1.4,Cyprus,J Chialoufas,S Austin,S Gooch,0,0,,,,,,"",""
ball,1,1.5,Cyprus,J Chialoufas,S Austin,S Gooch,3,0,,,,,,"",""
ball,1,1.6,Cyprus,S Austin,J Chialoufas,S Gooch,0,0,,,,,,"",""
ball,1,2.1,Cyprus,J Chialoufas,S Austin,D Robson,0,0,,,,,,"",""
ball,1,2.2,Cyprus,J Chialoufas,S Austin,D Robson,0,0,,,,,,"",""
ball,1,2.3,Cyprus,J Chialoufas,S Austin,D Robson,0,0,,,,,,"",""
ball,1,2.4,Cyprus,J Chialoufas,S Austin,D Robson,2,0,,,,,,"",""
ball,1,2.5,Cyprus,J Chialoufas,S Austin,D Robson,2,0,,,,,,"",""
ball,1,2.6,Cyprus,J Chialoufas,S Austin,D Robson,0,0,,,,,,"",""
ball,1,3.1,Cyprus,S Austin,J Chialoufas,S Gooch,0,0,,,,,,"",""
ball,1,3.2,Cyprus,S Austin,J Chialoufas,S Gooch,2,0,,,,,,"",""
ball,1,3.3,Cyprus,S Austin,J Chialoufas,S Gooch,2,0,,,,,,"",""
ball,1,3.4,Cyprus,S Austin,J Chialoufas,S Gooch,1,0,,,,,,"",""
