version,1.7.0
info,balls_per_over,6
info,team,Uganda
info,team,Rwanda
info,gender,male
info,season,2023
info,date,2023/06/19
info,event,Africa Continental Cup
info,match_number,18
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,H Ssenyondo
info,umpire,IO Oyieko
info,umpire,J Karuri
info,reserve_umpire,Charles Kariuki
info,winner,Uganda
info,winner_runs,94
info,player,Uganda,S Sesazi
info,player,Uganda,F Achelam
info,player,Uganda,R Obuya
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,DM Nakrani
info,player,Uganda,B Masaba
info,player,Uganda,S Nsubuga
info,player,Uganda,P Murungi
info,player,Uganda,F Nsubuga
info,player,Uganda,CN Kakuru
info,player,Uganda,H Ssenyondo
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,Bosco Tuyizere
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,K Irakoze
info,player,Rwanda,E Rukiriza
info,player,Rwanda,M Akayezu
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,I Ntirenganya
info,registry,people,B Masaba,f33cfd25
info,registry,people,Bosco Tuyizere,3c370b92
info,registry,people,C Rububagumya,8088632c
info,registry,people,CN Kakuru,f6aed283
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,F Achelam,b6b3ee6e
info,registry,people,F Nsubuga,87e33d07
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Karuri,5a9b694c
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,R Obuya,6bc04a3e
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,S Nsubuga,58cb36aa
info,registry,people,S Sesazi,c2c975f9
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,1,1,,,,,"",""
ball,1,0.2,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,1,1,,,,,"",""
ball,1,0.3,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.4,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.5,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.6,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.7,Uganda,S Sesazi,F Achelam,Z Bimenyimana,4,0,,,,,,"",""
ball,1,0.8,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,0,,,,,,"",""
ball,1,1.1,Uganda,F Achelam,S Sesazi,I Ntirenganya,0,0,,,,,,"",""
ball,1,1.2,Uganda,F Achelam,S Sesazi,I Ntirenganya,1,0,,,,,,"",""
ball,1,1.3,Uganda,S Sesazi,F Achelam,I Ntirenganya,0,0,,,,,,"",""
ball,1,1.4,Uganda,S Sesazi,F Achelam,I Ntirenganya,1,0,,,,,,"",""
ball,1,1.5,Uganda,F Achelam,S Sesazi,I Ntirenganya,0,0,,,,,,"",""
ball,1,1.6,Uganda,F Achelam,S Sesazi,I Ntirenganya,0,0,,,,,,"",""
ball,1,2.1,Uganda,S Sesazi,F Achelam,Z Bimenyimana,4,0,,,,,,"",""
ball,1,2.2,Uganda,S Sesazi,F Achelam,Z Bimenyimana,4,0,,,,,,"",""
ball,1,2.3,Uganda,S Sesazi,F Achelam,Z Bimenyimana,0,0,,,,,,"",""
ball,1,2.4,Uganda,S Sesazi,F Achelam,Z Bimenyimana,1,0,,,,,,"",""
ball,1,2.5,Uganda,F Achelam,S Sesazi,Z Bimenyimana,0,0,,,,,,"",""
ball,1,2.6,Uganda,F Achelam,S Sesazi,Z Bimenyimana,0,0,,,,,,"",""
ball,1,3.1,Uganda,S Sesazi,F Achelam,I Ntirenganya,4,0,,,,,,"",""
ball,1,3.2,Uganda,S Sesazi,F Achelam,I Ntirenganya,0,0,,,,,,caught,S Sesazi
ball,1,3.3,Uganda,R Obuya,F Achelam,I Ntirenganya,0,0,,,,,,"",""
ball,1,3.4,Uganda,R Obuya,F Achelam,I Ntirenganya,0,0,,,,,,"",""
ball,1,3.5,Uganda,R Obuya,F Achelam,I Ntirenganya,2,0,,,,,,"",""
ball,1,3.6,Uganda,R Obuya,F Achelam,I Ntirenganya,0,0,,,,,,"",""
ball,1,4.1,Uganda,F Achelam,R Obuya,C Rububagumya,1,0,,,,,,"",""
ball,1,4.2,Uganda,R Obuya,F Achelam,C Rububagumya,1,0,,,,,,"",""
ball,1,4.3,Uganda,F Achelam,R Obuya,C Rububagumya,2,0,,,,,,"",""
ball,1,4.4,Uganda,F Achelam,R Obuya,C Rububagumya,2,0,,,,,,"",""
ball,1,4.5,Uganda,F Achelam,R Obuya,C Rububagumya,1,0,,,,,,"",""
ball,1,4.6,Uganda,R Obuya,F Achelam,C Rububagumya,1,0,,,,,,"",""
ball,1,5.1,Uganda,R Obuya,F Achelam,I Ntirenganya,1,0,,,,,,"",""
ball,1,5.2,Uganda,F Achelam,R Obuya,I Ntirenganya,0,0,,,,,,"",""
ball,1,5.3,Uganda,F Achelam,R Obuya,I Ntirenganya,1,0,,,,,,"",""
ball,1,5.4,Uganda,R Obuya,F Achelam,I Ntirenganya,0,0,,,,,,"",""
ball,1,5.5,Uganda,R Obuya,F Achelam,I Ntirenganya,0,0,,,,,,bowled,R Obuya
ball,1,5.6,Uganda,Riazat Ali Shah,F Achelam,I Ntirenganya,0,0,,,,,,"",""
