version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Nepal
info,gender,female
info,season,2023
info,date,2023/09/08
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,N Koncharoenkai
info,umpire,DN Subedi
info,umpire,Tabarak Dar
info,reserve_umpire,N Perera
info,match_referee,M Nayyar
info,winner,Thailand
info,winner_runs,46
info,player,Thailand,S Khiaoto
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Boochatham
info,player,Thailand,N Chaiwai
info,player,Thailand,T Putthawong
info,player,Thailand,S Tippoch
info,player,Thailand,P Maya
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Chaturongrattana
info,player,Nepal,K Shrestha
info,player,Nepal,SR Magar
info,player,Nepal,I Barma
info,player,Nepal,RC Belbashi
info,player,Nepal,K Joshi
info,player,Nepal,Apsari Begam
info,player,Nepal,B Rawal
info,player,Nepal,K Kunwar
info,player,Nepal,Puja Mahato
info,player,Nepal,A Karmacharya
info,player,Nepal,K Dangol
info,registry,people,A Karmacharya,e1492aed
info,registry,people,Apsari Begam,eb765b41
info,registry,people,B Rawal,4d1cc284
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,DN Subedi,fb0a571f
info,registry,people,I Barma,521abce2
info,registry,people,K Dangol,db080f9d
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,K Shrestha,119de50f
info,registry,people,M Nayyar,b7bccddb
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Perera,129709f9
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Tippoch,9c4b58db
info,registry,people,SR Magar,61c22ad0
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,Tabarak Dar,2259c12d
ball,1,0.1,Thailand,S Khiaoto,N Koncharoenkai,K Kunwar,2,0,,,,,,"",""
ball,1,0.2,Thailand,S Khiaoto,N Koncharoenkai,K Kunwar,0,0,,,,,,"",""
ball,1,0.3,Thailand,S Khiaoto,N Koncharoenkai,K Kunwar,0,0,,,,,,"",""
ball,1,0.4,Thailand,S Khiaoto,N Koncharoenkai,K Kunwar,0,0,,,,,,caught,S Khiaoto
ball,1,0.5,Thailand,N Chantam,N Koncharoenkai,K Kunwar,0,0,,,,,,"",""
ball,1,0.6,Thailand,N Chantam,N Koncharoenkai,K Kunwar,0,0,,,,,,"",""
ball,1,1.1,Thailand,N Koncharoenkai,N Chantam,K Joshi,1,0,,,,,,"",""
ball,1,1.2,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,1.3,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,1.4,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,1.5,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,1.6,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,2.1,Thailand,N Koncharoenkai,N Chantam,K Kunwar,0,0,,,,,,"",""
ball,1,2.2,Thailand,N Koncharoenkai,N Chantam,K Kunwar,0,0,,,,,,"",""
ball,1,2.3,Thailand,N Koncharoenkai,N Chantam,K Kunwar,0,0,,,,,,"",""
ball,1,2.4,Thailand,N Koncharoenkai,N Chantam,K Kunwar,0,0,,,,,,"",""
ball,1,2.5,Thailand,N Koncharoenkai,N Chantam,K Kunwar,0,0,,,,,,"",""
ball,1,2.6,Thailand,N Koncharoenkai,N Chantam,K Kunwar,0,0,,,,,,"",""
ball,1,3.1,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,3.2,Thailand,N Chantam,N Koncharoenkai,K Joshi,0,0,,,,,,"",""
ball,1,3.3,Thailand,N Chantam,N Koncharoenkai,K Joshi,1,0,,,,,,"",""
ball,1,3.4,Thailand,N Koncharoenkai,N Chantam,K Joshi,1,0,,,,,,"",""
