version,1.7.0
info,balls_per_over,6
info,team,France
info,team,Belgium
info,gender,male
info,season,2024
info,date,2024/05/12
info,event,Mdina Cup
info,venue,Dreux Sport Cricket Club
info,city,Dreux
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,F Khaliq
info,umpire,Atif Zahir
info,umpire,Niaz Chaudhry
info,reserve_umpire,Waseem Dar
info,match_referee,Asif Zahir
info,winner,Belgium
info,winner_runs,15
info,method,D/L
info,player,France,H Niaz
info,player,France,Zain Ahmad
info,player,France,G Mckeon
info,player,France,C Roberts
info,player,France,L Canessane
info,player,France,Usman Khan
info,player,France,Kamran Ahmadzai
info,player,France,Noman Amjad
info,player,France,Zaheer Zahiri
info,player,France,Ikbal Hossain
info,player,France,Dawood Ahmadzai
info,player,Belgium,Muhammad Muneeb
info,player,Belgium,A Raza
info,player,Belgium,F Khaliq
info,player,Belgium,B Niaz
info,player,Belgium,Shaheryar Butt
info,player,Belgium,Sheraz Sheikh
info,player,Belgium,Saber Zakhil
info,player,Belgium,D Dewald
info,player,Belgium,Khalid Ahmadi
info,player,Belgium,Adnan Razzaq
info,player,Belgium,Zaki Ul Hassan
info,registry,people,A Raza,838bc6ab
info,registry,people,Adnan Razzaq,91c0d39f
info,registry,people,Asif Zahir,2f4f7785
info,registry,people,Atif Zahir,bdebac8a
info,registry,people,B Niaz,b7824537
info,registry,people,C Roberts,07ac9c54
info,registry,people,D Dewald,f97e4db3
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,F Khaliq,c17dcc29
info,registry,people,G Mckeon,31366b7e
info,registry,people,H Niaz,d0e2e8ea
info,registry,people,Ikbal Hossain,e01d2dae
info,registry,people,Kamran Ahmadzai,afa2ebba
info,registry,people,Khalid Ahmadi,cf0b9a0d
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Muhammad Muneeb,5338b9f5
info,registry,people,Niaz Chaudhry,5abe5d27
info,registry,people,Noman Amjad,c079c66a
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,Saber Zakhil,036dcf9b
info,registry,people,Shaheryar Butt,b6bad765
info,registry,people,Sheraz Sheikh,4aad6842
info,registry,people,Usman Khan,e8a552ef
info,registry,people,Waseem Dar,1a335960
info,registry,people,Zaheer Zahiri,62f6d8ce
info,registry,people,Zain Ahmad,ea2c0aff
info,registry,people,Zaki Ul Hassan,1d6d8a8b
ball,1,0.1,France,H Niaz,Zain Ahmad,F Khaliq,1,0,,,,,,"",""
ball,1,0.2,France,Zain Ahmad,H Niaz,F Khaliq,0,0,,,,,,"",""
ball,1,0.3,France,Zain Ahmad,H Niaz,F Khaliq,0,0,,,,,,"",""
ball,1,0.4,France,Zain Ahmad,H Niaz,F Khaliq,4,0,,,,,,"",""
ball,1,0.5,France,Zain Ahmad,H Niaz,F Khaliq,0,0,,,,,,"",""
ball,1,0.6,France,Zain Ahmad,H Niaz,F Khaliq,0,0,,,,,,"",""
ball,1,1.1,France,H Niaz,Zain Ahmad,Adnan Razzaq,2,0,,,,,,"",""
ball,1,1.2,France,H Niaz,Zain Ahmad,Adnan Razzaq,0,0,,,,,,"",""
ball,1,1.3,France,H Niaz,Zain Ahmad,Adnan Razzaq,2,0,,,,,,"",""
ball,1,1.4,France,H Niaz,Zain Ahmad,Adnan Razzaq,1,0,,,,,,"",""
ball,1,1.5,France,Zain Ahmad,H Niaz,Adnan Razzaq,0,1,,,,1,,"",""
ball,1,1.6,France,H Niaz,Zain Ahmad,Adnan Razzaq,3,0,,,,,,"",""
ball,1,2.1,France,H Niaz,Zain Ahmad,F Khaliq,0,0,,,,,,"",""
ball,1,2.2,France,H Niaz,Zain Ahmad,F Khaliq,0,0,,,,,,"",""
ball,1,2.3,France,H Niaz,Zain Ahmad,F Khaliq,0,0,,,,,,caught,H Niaz
ball,1,2.4,France,G Mckeon,Zain Ahmad,F Khaliq,0,0,,,,,,"",""
ball,1,2.5,France,G Mckeon,Zain Ahmad,F Khaliq,0,0,,,,,,"",""
ball,1,2.6,France,G Mckeon,Zain Ahmad,F Khaliq,4,0,,,,,,"",""
ball,1,3.1,France,Zain Ahmad,G Mckeon,Adnan Razzaq,0,1,1,,,,,"",""
ball,1,3.2,France,Zain Ahmad,G Mckeon,Adnan Razzaq,2,0,,,,,,"",""
ball,1,3.3,France,Zain Ahmad,G Mckeon,Adnan Razzaq,0,0,,,,,,run out,Zain Ahmad
ball,1,3.4,France,G Mckeon,C Roberts,Adnan Razzaq,1,0,,,,,,"",""
ball,1,3.5,France,C Roberts,G Mckeon,Adnan Razzaq,0,0,,,,,,"",""
ball,1,3.6,France,C Roberts,G Mckeon,Adnan Razzaq,1,0,,,,,,"",""
