version,1.7.0
info,balls_per_over,6
info,team,Nigeria
info,team,Rwanda
info,gender,female
info,season,2024
info,date,2024/06/08
info,event,Kwibuka Women's Twenty20 Tournament
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Nigeria
info,toss_decision,bat
info,player_of_match,H Ishimwe
info,umpire,Gasana Christian
info,umpire,R Singinzwa
info,reserve_umpire,TJ Onikoyi
info,winner,Rwanda
info,winner_wickets,6
info,player,Nigeria,V Igbinedion
info,player,Nigeria,A Akhigbe
info,player,Nigeria,P Agboya
info,player,Nigeria,C Chukwuonye
info,player,Nigeria,L Piety
info,player,Nigeria,S Sunday
info,player,Nigeria,F Eseigbe
info,player,Nigeria,S Etim
info,player,Nigeria,L Udeh
info,player,Nigeria,A Adekunle
info,player,Nigeria,U Peace
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,C Uwase
info,player,Rwanda,H Ishimwe
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,Geovanis Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,Rosine Irera
info,player,Rwanda,R Shimwamana
info,registry,people,A Adekunle,1b0ce76e
info,registry,people,A Akhigbe,ed0ec1fe
info,registry,people,A Ikuzwe,6762a445
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Chukwuonye,bb0aac11
info,registry,people,C Uwase,808bb510
info,registry,people,F Eseigbe,292d11ee
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,Geovanis Uwase,088f22fd
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,L Piety,46a29dd0
info,registry,people,L Udeh,8451562a
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,P Agboya,532ddb12
info,registry,people,R Shimwamana,03fb10bd
info,registry,people,R Singinzwa,0e58e89d
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Etim,aa197946
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,S Sunday,594a0dec
info,registry,people,TJ Onikoyi,b68d9bc6
info,registry,people,U Peace,3798b336
info,registry,people,V Igbinedion,9525b9e5
ball,1,0.1,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,0,0,,,,,,"",""
ball,1,0.2,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,0,0,,,,,,"",""
ball,1,0.3,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,0,0,,,,,,"",""
ball,1,0.4,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,0,0,,,,,,"",""
ball,1,0.5,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,0,0,,,,,,"",""
ball,1,0.6,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,1,0,,,,,,"",""
ball,1,1.1,Nigeria,V Igbinedion,A Akhigbe,R Shimwamana,0,0,,,,,,"",""
ball,1,1.2,Nigeria,V Igbinedion,A Akhigbe,R Shimwamana,1,0,,,,,,"",""
ball,1,1.3,Nigeria,A Akhigbe,V Igbinedion,R Shimwamana,0,0,,,,,,"",""
ball,1,1.4,Nigeria,A Akhigbe,V Igbinedion,R Shimwamana,0,0,,,,,,"",""
ball,1,1.5,Nigeria,A Akhigbe,V Igbinedion,R Shimwamana,0,1,1,,,,,"",""
ball,1,1.6,Nigeria,A Akhigbe,V Igbinedion,R Shimwamana,0,0,,,,,,"",""
ball,1,1.7,Nigeria,A Akhigbe,V Igbinedion,R Shimwamana,4,0,,,,,,"",""
ball,1,2.1,Nigeria,V Igbinedion,A Akhigbe,Rosine Irera,1,0,,,,,,"",""
ball,1,2.2,Nigeria,A Akhigbe,V Igbinedion,Rosine Irera,0,0,,,,,,"",""
ball,1,2.3,Nigeria,A Akhigbe,V Igbinedion,Rosine Irera,0,0,,,,,,"",""
ball,1,2.4,Nigeria,A Akhigbe,V Igbinedion,Rosine Irera,0,0,,,,,,"",""
ball,1,2.5,Nigeria,A Akhigbe,V Igbinedion,Rosine Irera,4,0,,,,,,"",""
ball,1,2.6,Nigeria,A Akhigbe,V Igbinedion,Rosine Irera,0,0,,,,,,"",""
ball,1,3.1,Nigeria,V Igbinedion,A Akhigbe,R Shimwamana,0,0,,,,,,"",""
ball,1,3.2,Nigeria,V Igbinedion,A Akhigbe,R Shimwamana,1,0,,,,,,"",""
