version,1.7.0
info,balls_per_over,6
info,team,Malta
info,team,France
info,gender,male
info,season,2023
info,date,2023/07/10
info,event,Mdina Cup
info,match_number,2
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Malta
info,toss_decision,bat
info,umpire,D Kalloe
info,umpire,S Gowda
info,reserve_umpire,S Harnal
info,match_referee,Vinay Malhotra
info,winner,Malta
info,winner_runs,4
info,player,Malta,Imran Ameer
info,player,Malta,Zeeshan Khan
info,player,Malta,Jaspal Singh
info,player,Malta,VP Thamotharam
info,player,Malta,Waqas Ahmad
info,player,Malta,E Mathew
info,player,Malta,B Arora
info,player,Malta,Fanyan Mughal
info,player,Malta,C Sudarsanan
info,player,Malta,Washeem Abbas
info,player,Malta,J Shaju
info,player,France,G Mckeon
info,player,France,HA Jackson
info,player,France,Mukhtar Ghulami
info,player,France,L Canessane
info,player,France,Usman Khan
info,player,France,Noman Amjad
info,player,France,Zain Ahmad
info,player,France,SM Warnakulasuriya
info,player,France,Dawood Ahmadzai
info,player,France,Rahmatullah Mangal
info,player,France,R Mangal
info,registry,people,B Arora,39e9f0c9
info,registry,people,C Sudarsanan,391a825b
info,registry,people,D Kalloe,baf1c7d1
info,registry,people,Dawood Ahmadzai,951686f5
info,registry,people,E Mathew,e00acf74
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,G Mckeon,31366b7e
info,registry,people,HA Jackson,ee40679e
info,registry,people,Imran Ameer,b8e65260
info,registry,people,J Shaju,d8bee9a1
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,L Canessane,72a4c3b2
info,registry,people,Mukhtar Ghulami,d3b1d991
info,registry,people,Noman Amjad,c079c66a
info,registry,people,R Mangal,5360c9be
info,registry,people,Rahmatullah Mangal,ec106638
info,registry,people,S Gowda,52f6fb22
info,registry,people,S Harnal,756fe781
info,registry,people,SM Warnakulasuriya,8a5a8cf0
info,registry,people,Usman Khan,e8a552ef
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Vinay Malhotra,452837d1
info,registry,people,Waqas Ahmad,82623a3a
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zain Ahmad,ea2c0aff
info,registry,people,Zeeshan Khan,3f9b1a96
ball,1,0.1,Malta,Imran Ameer,Zeeshan Khan,SM Warnakulasuriya,0,1,1,,,,,"",""
ball,1,0.2,Malta,Imran Ameer,Zeeshan Khan,SM Warnakulasuriya,1,0,,,,,,"",""
ball,1,0.3,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,4,0,,,,,,"",""
ball,1,0.4,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,0,1,1,,,,,"",""
ball,1,0.5,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,0,0,,,,,,"",""
ball,1,0.6,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,4,0,,,,,,"",""
ball,1,0.7,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,0,4,,,4,,,"",""
ball,1,0.8,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,4,0,,,,,,"",""
ball,1,1.1,Malta,Imran Ameer,Zeeshan Khan,Noman Amjad,0,0,,,,,,"",""
ball,1,1.2,Malta,Imran Ameer,Zeeshan Khan,Noman Amjad,4,0,,,,,,"",""
ball,1,1.3,Malta,Imran Ameer,Zeeshan Khan,Noman Amjad,0,0,,,,,,"",""
ball,1,1.4,Malta,Imran Ameer,Zeeshan Khan,Noman Amjad,0,0,,,,,,"",""
ball,1,1.5,Malta,Imran Ameer,Zeeshan Khan,Noman Amjad,0,0,,,,,,"",""
ball,1,1.6,Malta,Imran Ameer,Zeeshan Khan,Noman Amjad,0,0,,,,,,"",""
ball,1,2.1,Malta,Zeeshan Khan,Imran Ameer,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,2.2,Malta,Zeeshan Khan,Imran Ameer,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,2.3,Malta,Zeeshan Khan,Imran Ameer,Rahmatullah Mangal,1,0,,,,,,"",""
ball,1,2.4,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,2.5,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,2.6,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,3.1,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,0,0,,,,,,"",""
ball,1,3.2,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,4,0,,,,,,"",""
ball,1,3.3,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,0,0,,,,,,"",""
ball,1,3.4,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,0,1,1,,,,,"",""
ball,1,3.5,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,4,0,,,,,,"",""
ball,1,3.6,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,0,0,,,,,,"",""
ball,1,3.7,Malta,Zeeshan Khan,Imran Ameer,Noman Amjad,4,0,,,,,,"",""
ball,1,4.1,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,4.2,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,2,0,,,,,,"",""
ball,1,4.3,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,0,0,,,,,,"",""
ball,1,4.4,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,0,1,1,,,,,"",""
ball,1,4.5,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,4,0,,,,,,"",""
ball,1,4.6,Malta,Imran Ameer,Zeeshan Khan,Rahmatullah Mangal,1,0,,,,,,"",""
ball,1,4.7,Malta,Zeeshan Khan,Imran Ameer,Rahmatullah Mangal,1,0,,,,,,"",""
ball,1,5.1,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,0,1,1,,,,,"",""
ball,1,5.2,Malta,Zeeshan Khan,Imran Ameer,SM Warnakulasuriya,0,0,,,,,,bowled,Zeeshan Khan
ball,1,5.3,Malta,Jaspal Singh,Imran Ameer,SM Warnakulasuriya,1,0,,,,,,"",""
ball,1,5.4,Malta,Imran Ameer,Jaspal Singh,SM Warnakulasuriya,0,0,,,,,,"",""
ball,1,5.5,Malta,Imran Ameer,Jaspal Singh,SM Warnakulasuriya,1,0,,,,,,"",""
ball,1,5.6,Malta,Jaspal Singh,Imran Ameer,SM Warnakulasuriya,6,0,,,,,,"",""
ball,1,5.7,Malta,Jaspal Singh,Imran Ameer,SM Warnakulasuriya,0,0,,,,,,"",""
ball,1,6.1,Malta,Imran Ameer,Jaspal Singh,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,6.2,Malta,Imran Ameer,Jaspal Singh,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,6.3,Malta,Imran Ameer,Jaspal Singh,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,6.4,Malta,Imran Ameer,Jaspal Singh,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,6.5,Malta,Imran Ameer,Jaspal Singh,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,6.6,Malta,Imran Ameer,Jaspal Singh,Dawood Ahmadzai,1,0,,,,,,"",""
ball,1,7.1,Malta,Imran Ameer,Jaspal Singh,Usman Khan,0,0,,,,,,"",""
ball,1,7.2,Malta,Imran Ameer,Jaspal Singh,Usman Khan,1,0,,,,,,"",""
ball,1,7.3,Malta,Jaspal Singh,Imran Ameer,Usman Khan,0,1,,,,1,,"",""
ball,1,7.4,Malta,Imran Ameer,Jaspal Singh,Usman Khan,0,1,1,,,,,"",""
ball,1,7.5,Malta,Imran Ameer,Jaspal Singh,Usman Khan,1,0,,,,,,"",""
ball,1,7.6,Malta,Jaspal Singh,Imran Ameer,Usman Khan,1,0,,,,,,"",""
ball,1,7.7,Malta,Imran Ameer,Jaspal Singh,Usman Khan,0,0,,,,,,"",""
ball,1,8.1,Malta,Jaspal Singh,Imran Ameer,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,8.2,Malta,Jaspal Singh,Imran Ameer,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,8.3,Malta,Jaspal Singh,Imran Ameer,Dawood Ahmadzai,0,0,,,,,,"",""
ball,1,8.4,Malta,Jaspal Singh,Imran Ameer,Dawood Ahmadzai,6,0,,,,,,"",""
ball,1,8.5,Malta,Jaspal Singh,Imran Ameer,Dawood Ahmadzai,6,0,,,,,,"",""
ball,1,8.6,Malta,Jaspal Singh,Imran Ameer,Dawood Ahmadzai,1,0,,,,,,"",""
ball,1,9.1,Malta,Jaspal Singh,Imran Ameer,Usman Khan,0,0,,,,,,caught,Jaspal Singh
ball,1,9.2,Malta,VP Thamotharam,Imran Ameer,Usman Khan,0,0,,,,,,"",""
ball,1,9.3,Malta,VP Thamotharam,Imran Ameer,Usman Khan,0,0,,,,,,"",""
