version,1.7.0
info,balls_per_over,6
info,team,Philippines
info,team,Indonesia
info,gender,male
info,season,2023/24
info,date,2023/12/24
info,event,Philippines tour of Indonesia
info,match_number,5
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,F Banunaek
info,umpire,IGS Arsa
info,umpire,Hitesh Sharma
info,outcome,tie
info,eliminator,Philippines
info,player,Philippines,HER Tyler
info,player,Philippines,Kulwinderjeet Singh
info,player,Philippines,M Podosky
info,player,Philippines,AS Samra
info,player,Philippines,J Alegra
info,player,Philippines,DC Smith
info,player,Philippines,GR Russ
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,ASF Sirah
info,player,Philippines,LJ Myott
info,player,Philippines,KDA Lukies
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,F Banunaek
info,player,Indonesia,GD Arta
info,player,Indonesia,IK Gamantika
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,AA Rahayu
info,player,Indonesia,Muhammad Afis
info,player,Indonesia,RM Koda
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,AS Samra,bf976fb0
info,registry,people,ASF Sirah,06bcade5
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,DC Smith,a968d39b
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GD Arta,e969e580
info,registry,people,GR Russ,1f28fdfd
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Hitesh Sharma,2085a934
info,registry,people,Huzaifa Mohammed,65a29a30
info,registry,people,IGS Arsa,68d52634
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,J Alegra,ac6be7ed
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,KDA Lukies,14af45c4
info,registry,people,Kulwinderjeet Singh,f4d1184a
info,registry,people,LJ Myott,3f9d95f9
info,registry,people,M Podosky,c46999c7
info,registry,people,Muhammad Afis,acf2b680
info,registry,people,RM Koda,f0a45427
ball,1,0.1,Philippines,HER Tyler,Kulwinderjeet Singh,F Banunaek,1,0,,,,,,"",""
ball,1,0.2,Philippines,Kulwinderjeet Singh,HER Tyler,F Banunaek,0,0,,,,,,"",""
ball,1,0.3,Philippines,Kulwinderjeet Singh,HER Tyler,F Banunaek,0,0,,,,,,bowled,Kulwinderjeet Singh
ball,1,0.4,Philippines,M Podosky,HER Tyler,F Banunaek,1,0,,,,,,"",""
ball,1,0.5,Philippines,HER Tyler,M Podosky,F Banunaek,1,0,,,,,,"",""
ball,1,0.6,Philippines,M Podosky,HER Tyler,F Banunaek,0,0,,,,,,"",""
ball,1,1.1,Philippines,HER Tyler,M Podosky,RM Koda,4,0,,,,,,"",""
ball,1,1.2,Philippines,HER Tyler,M Podosky,RM Koda,2,0,,,,,,"",""
ball,1,1.3,Philippines,HER Tyler,M Podosky,RM Koda,0,0,,,,,,"",""
ball,1,1.4,Philippines,HER Tyler,M Podosky,RM Koda,6,0,,,,,,"",""
ball,1,1.5,Philippines,HER Tyler,M Podosky,RM Koda,0,0,,,,,,"",""
ball,1,1.6,Philippines,HER Tyler,M Podosky,RM Koda,4,0,,,,,,"",""
ball,1,2.1,Philippines,M Podosky,HER Tyler,F Banunaek,1,0,,,,,,"",""
ball,1,2.2,Philippines,HER Tyler,M Podosky,F Banunaek,0,0,,,,,,caught,HER Tyler
ball,1,2.3,Philippines,AS Samra,M Podosky,F Banunaek,0,0,,,,,,"",""
ball,1,2.4,Philippines,AS Samra,M Podosky,F Banunaek,0,0,,,,,,"",""
ball,1,2.5,Philippines,AS Samra,M Podosky,F Banunaek,1,0,,,,,,"",""
ball,1,2.6,Philippines,M Podosky,AS Samra,F Banunaek,1,0,,,,,,"",""
ball,1,3.1,Philippines,M Podosky,AS Samra,RM Koda,1,0,,,,,,"",""
ball,1,3.2,Philippines,AS Samra,M Podosky,RM Koda,0,0,,,,,,"",""
ball,1,3.3,Philippines,AS Samra,M Podosky,RM Koda,0,2,,,,2,,"",""
ball,1,3.4,Philippines,AS Samra,M Podosky,RM Koda,4,0,,,,,,"",""
ball,1,3.5,Philippines,AS Samra,M Podosky,RM Koda,0,0,,,,,,bowled,AS Samra
ball,1,3.6,Philippines,J Alegra,M Podosky,RM Koda,1,0,,,,,,"",""
ball,1,4.1,Philippines,J Alegra,M Podosky,F Banunaek,1,0,,,,,,"",""
ball,1,4.2,Philippines,M Podosky,J Alegra,F Banunaek,4,0,,,,,,"",""
ball,1,4.3,Philippines,M Podosky,J Alegra,F Banunaek,0,0,,,,,,"",""
ball,1,4.4,Philippines,M Podosky,J Alegra,F Banunaek,0,0,,,,,,"",""
