version,1.7.0
info,balls_per_over,6
info,team,Switzerland
info,team,Belgium
info,gender,male
info,season,2024
info,date,2024/07/07
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,2
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Belgium
info,toss_decision,field
info,player_of_match,B Niaz
info,umpire,M Burns
info,umpire,N Bathi
info,reserve_umpire,Jonathan Kennedy
info,match_referee,H Pack
info,winner,Belgium
info,winner_wickets,2
info,player,Switzerland,Faheem Nazir
info,player,Switzerland,Idrees Ul Haque
info,player,Switzerland,Arjun Vinod
info,player,Switzerland,Ahmed Hassan
info,player,Switzerland,M Stanikzai
info,player,Switzerland,Jai Sinh
info,player,Switzerland,NK Aneesh Kumar
info,player,Switzerland,Ashwin Vinod
info,player,Switzerland,K Fletcher
info,player,Switzerland,Abdullah Rana
info,player,Switzerland,Noorkhan Ahmedi
info,player,Belgium,Muhammad Muneeb
info,player,Belgium,Aziz Mohammad
info,player,Belgium,A Raza
info,player,Belgium,B Niaz
info,player,Belgium,Sheraz Sheikh
info,player,Belgium,Shaheryar Butt
info,player,Belgium,Saber Zakhil
info,player,Belgium,D Dewald
info,player,Belgium,Khalid Ahmadi
info,player,Belgium,Sajad Ahmadzai
info,player,Belgium,Muhammad Fahim
info,registry,people,A Raza,838bc6ab
info,registry,people,Abdullah Rana,c4ab9b94
info,registry,people,Ahmed Hassan,c439461b
info,registry,people,Arjun Vinod,033e9d59
info,registry,people,Ashwin Vinod,8a99caa9
info,registry,people,Aziz Mohammad,b3e9555a
info,registry,people,B Niaz,b7824537
info,registry,people,D Dewald,f97e4db3
info,registry,people,Faheem Nazir,7e00711f
info,registry,people,H Pack,fed53c91
info,registry,people,Idrees Ul Haque,d5b52676
info,registry,people,Jai Sinh,10ae134c
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,K Fletcher,443d1fd8
info,registry,people,Khalid Ahmadi,cf0b9a0d
info,registry,people,M Burns,b3bd0666
info,registry,people,M Stanikzai,ad8d5827
info,registry,people,Muhammad Fahim,5c57229d
info,registry,people,Muhammad Muneeb,5338b9f5
info,registry,people,N Bathi,96a0edf9
info,registry,people,NK Aneesh Kumar,e23da78c
info,registry,people,Noorkhan Ahmedi,b5417394
info,registry,people,Saber Zakhil,036dcf9b
info,registry,people,Sajad Ahmadzai,6978bff0
info,registry,people,Shaheryar Butt,b6bad765
info,registry,people,Sheraz Sheikh,4aad6842
ball,1,0.1,Switzerland,Faheem Nazir,Idrees Ul Haque,Muhammad Fahim,0,1,,,1,,,"",""
ball,1,0.2,Switzerland,Idrees Ul Haque,Faheem Nazir,Muhammad Fahim,4,0,,,,,,"",""
ball,1,0.3,Switzerland,Idrees Ul Haque,Faheem Nazir,Muhammad Fahim,0,1,1,,,,,"",""
ball,1,0.4,Switzerland,Idrees Ul Haque,Faheem Nazir,Muhammad Fahim,0,0,,,,,,"",""
ball,1,0.5,Switzerland,Idrees Ul Haque,Faheem Nazir,Muhammad Fahim,4,0,,,,,,"",""
ball,1,0.6,Switzerland,Idrees Ul Haque,Faheem Nazir,Muhammad Fahim,4,0,,,,,,"",""
ball,1,0.7,Switzerland,Idrees Ul Haque,Faheem Nazir,Muhammad Fahim,0,0,,,,,,"",""
ball,1,1.1,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.2,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,0,1,1,,,,,"",""
ball,1,1.3,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,4,0,,,,,,"",""
ball,1,1.4,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.5,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.6,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,0,0,,,,,,"",""
ball,1,1.7,Switzerland,Faheem Nazir,Idrees Ul Haque,Sajad Ahmadzai,1,0,,,,,,"",""
ball,1,2.1,Switzerland,Faheem Nazir,Idrees Ul Haque,Khalid Ahmadi,4,0,,,,,,"",""
ball,1,2.2,Switzerland,Faheem Nazir,Idrees Ul Haque,Khalid Ahmadi,1,0,,,,,,"",""
ball,1,2.3,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,2.4,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,4,0,,,,,,"",""
ball,1,2.5,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,2.6,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,3.1,Switzerland,Faheem Nazir,Idrees Ul Haque,Aziz Mohammad,1,0,,,,,,"",""
ball,1,3.2,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,0,0,,,,,,"",""
ball,1,3.3,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,0,0,,,,,,"",""
ball,1,3.4,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,1,0,,,,,,"",""
ball,1,3.5,Switzerland,Faheem Nazir,Idrees Ul Haque,Aziz Mohammad,1,0,,,,,,"",""
ball,1,3.6,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,0,0,,,,,,"",""
ball,1,4.1,Switzerland,Faheem Nazir,Idrees Ul Haque,Khalid Ahmadi,4,0,,,,,,"",""
ball,1,4.2,Switzerland,Faheem Nazir,Idrees Ul Haque,Khalid Ahmadi,0,1,1,,,,,"",""
ball,1,4.3,Switzerland,Faheem Nazir,Idrees Ul Haque,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,4.4,Switzerland,Faheem Nazir,Idrees Ul Haque,Khalid Ahmadi,1,0,,,,,,"",""
ball,1,4.5,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,4.6,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,0,0,,,,,,"",""
ball,1,4.7,Switzerland,Idrees Ul Haque,Faheem Nazir,Khalid Ahmadi,4,0,,,,,,"",""
ball,1,5.1,Switzerland,Faheem Nazir,Idrees Ul Haque,Aziz Mohammad,1,0,,,,,,"",""
ball,1,5.2,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,0,0,,,,,,"",""
ball,1,5.3,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,6,0,,,,,,"",""
ball,1,5.4,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,0,0,,,,,,"",""
ball,1,5.5,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,6,0,,,,,,"",""
ball,1,5.6,Switzerland,Idrees Ul Haque,Faheem Nazir,Aziz Mohammad,0,0,,,,,,"",""
ball,1,6.1,Switzerland,Faheem Nazir,Idrees Ul Haque,B Niaz,1,0,,,,,,"",""
ball,1,6.2,Switzerland,Idrees Ul Haque,Faheem Nazir,B Niaz,1,0,,,,,,"",""
ball,1,6.3,Switzerland,Faheem Nazir,Idrees Ul Haque,B Niaz,6,0,,,,,,"",""
ball,1,6.4,Switzerland,Faheem Nazir,Idrees Ul Haque,B Niaz,4,0,,,,,,"",""
ball,1,6.5,Switzerland,Faheem Nazir,Idrees Ul Haque,B Niaz,1,0,,,,,,"",""
ball,1,6.6,Switzerland,Idrees Ul Haque,Faheem Nazir,B Niaz,2,0,,,,,,"",""
ball,1,7.1,Switzerland,Faheem Nazir,Idrees Ul Haque,D Dewald,1,0,,,,,,"",""
ball,1,7.2,Switzerland,Idrees Ul Haque,Faheem Nazir,D Dewald,0,0,,,,,,"",""
ball,1,7.3,Switzerland,Idrees Ul Haque,Faheem Nazir,D Dewald,1,0,,,,,,"",""
ball,1,7.4,Switzerland,Faheem Nazir,Idrees Ul Haque,D Dewald,4,0,,,,,,"",""
ball,1,7.5,Switzerland,Faheem Nazir,Idrees Ul Haque,D Dewald,0,0,,,,,,"",""
ball,1,7.6,Switzerland,Faheem Nazir,Idrees Ul Haque,D Dewald,4,0,,,,,,"",""
ball,1,8.1,Switzerland,Idrees Ul Haque,Faheem Nazir,Sheraz Sheikh,1,0,,,,,,"",""
ball,1,8.2,Switzerland,Faheem Nazir,Idrees Ul Haque,Sheraz Sheikh,2,0,,,,,,"",""
ball,1,8.3,Switzerland,Faheem Nazir,Idrees Ul Haque,Sheraz Sheikh,1,0,,,,,,"",""
ball,1,8.4,Switzerland,Idrees Ul Haque,Faheem Nazir,Sheraz Sheikh,0,0,,,,,,"",""
ball,1,8.5,Switzerland,Idrees Ul Haque,Faheem Nazir,Sheraz Sheikh,0,0,,,,,,"",""
ball,1,8.6,Switzerland,Idrees Ul Haque,Faheem Nazir,Sheraz Sheikh,6,0,,,,,,"",""
ball,1,9.1,Switzerland,Faheem Nazir,Idrees Ul Haque,D Dewald,0,0,,,,,,stumped,Faheem Nazir
ball,1,9.2,Switzerland,Arjun Vinod,Idrees Ul Haque,D Dewald,0,0,,,,,,"",""
ball,1,9.3,Switzerland,Arjun Vinod,Idrees Ul Haque,D Dewald,0,0,,,,,,caught and bowled,Arjun Vinod
ball,1,9.4,Switzerland,Ahmed Hassan,Idrees Ul Haque,D Dewald,0,0,,,,,,"",""
ball,1,9.5,Switzerland,Ahmed Hassan,Idrees Ul Haque,D Dewald,1,0,,,,,,"",""
ball,1,9.6,Switzerland,Idrees Ul Haque,Ahmed Hassan,D Dewald,0,0,,,,,,"",""
ball,1,10.1,Switzerland,Ahmed Hassan,Idrees Ul Haque,Sheraz Sheikh,0,0,,,,,,"",""
ball,1,10.2,Switzerland,Ahmed Hassan,Idrees Ul Haque,Sheraz Sheikh,1,0,,,,,,"",""
ball,1,10.3,Switzerland,Idrees Ul Haque,Ahmed Hassan,Sheraz Sheikh,0,0,,,,,,"",""
ball,1,10.4,Switzerland,Idrees Ul Haque,Ahmed Hassan,Sheraz Sheikh,0,1,,,1,,,"",""
ball,1,10.5,Switzerland,Ahmed Hassan,Idrees Ul Haque,Sheraz Sheikh,4,0,,,,,,"",""
ball,1,10.6,Switzerland,Ahmed Hassan,Idrees Ul Haque,Sheraz Sheikh,0,0,,,,,,"",""
ball,1,11.1,Switzerland,Idrees Ul Haque,Ahmed Hassan,D Dewald,4,0,,,,,,"",""
ball,1,11.2,Switzerland,Idrees Ul Haque,Ahmed Hassan,D Dewald,0,0,,,,,,"",""
ball,1,11.3,Switzerland,Idrees Ul Haque,Ahmed Hassan,D Dewald,1,0,,,,,,"",""
ball,1,11.4,Switzerland,Ahmed Hassan,Idrees Ul Haque,D Dewald,0,0,,,,,,"",""
ball,1,11.5,Switzerland,Ahmed Hassan,Idrees Ul Haque,D Dewald,6,0,,,,,,"",""
ball,1,11.6,Switzerland,Ahmed Hassan,Idrees Ul Haque,D Dewald,0,0,,,,,,"",""
ball,1,12.1,Switzerland,Idrees Ul Haque,Ahmed Hassan,Aziz Mohammad,1,0,,,,,,"",""
ball,1,12.2,Switzerland,Ahmed Hassan,Idrees Ul Haque,Aziz Mohammad,0,0,,,,,,"",""
ball,1,12.3,Switzerland,Ahmed Hassan,Idrees Ul Haque,Aziz Mohammad,1,0,,,,,,"",""
ball,1,12.4,Switzerland,Idrees Ul Haque,Ahmed Hassan,Aziz Mohammad,1,0,,,,,,"",""
ball,1,12.5,Switzerland,Ahmed Hassan,Idrees Ul Haque,Aziz Mohammad,1,0,,,,,,"",""
