version,1.7.0
info,balls_per_over,6
info,team,Bahamas
info,team,Canada
info,gender,male
info,season,2025
info,date,2025/04/21
info,event,North America T20 Cup
info,match_number,5
info,venue,"Jimmy Powell Oval, Cayman Islands"
info,city,George Town
info,toss_winner,Bahamas
info,toss_decision,bat
info,player_of_match,Saad Bin Zafar
info,umpire,A Gajjar
info,umpire,P Manning
info,reserve_umpire,L Watson
info,winner,Canada
info,winner_wickets,10
info,player,Bahamas,M Taylor
info,player,Bahamas,Festus Benn
info,player,Bahamas,RA Tappin
info,player,Bahamas,K Hinds
info,player,Bahamas,E Duff
info,player,Bahamas,D Wheatley
info,player,Bahamas,J Jemison
info,player,Bahamas,Sandeep Goud
info,player,Bahamas,A Harris
info,player,Bahamas,R Smith
info,player,Bahamas,R Patten
info,player,Canada,Ali Nadeem
info,player,Canada,YS Samra
info,player,Canada,NS Dhaliwal
info,player,Canada,H Thaker
info,player,Canada,Ravinderpal Singh
info,player,Canada,S Movva
info,player,Canada,Jaskaran Singh
info,player,Canada,Saad Bin Zafar
info,player,Canada,Akhil Kumar
info,player,Canada,Kaleem Sana
info,player,Canada,Sukhjinder Singh
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Harris,bbafa5d6
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,Ali Nadeem,02802468
info,registry,people,D Wheatley,04539335
info,registry,people,E Duff,b7873c81
info,registry,people,Festus Benn,de6b3760
info,registry,people,H Thaker,c01d7726
info,registry,people,J Jemison,ce1abd25
info,registry,people,Jaskaran Singh,d7b3a420
info,registry,people,K Hinds,a268c07b
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,L Watson,f6f4b730
info,registry,people,M Taylor,92075cdc
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,P Manning,f06b5585
info,registry,people,R Patten,4437df8c
info,registry,people,R Smith,0b91b5d5
info,registry,people,RA Tappin,7ce244fd
info,registry,people,Ravinderpal Singh,f80682f8
info,registry,people,S Movva,ee229588
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Sandeep Goud,c83ef4d6
info,registry,people,Sukhjinder Singh,ada72696
info,registry,people,YS Samra,d02c40ab
ball,1,0.1,Bahamas,M Taylor,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.2,Bahamas,M Taylor,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.3,Bahamas,M Taylor,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.4,Bahamas,M Taylor,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.5,Bahamas,M Taylor,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,0.6,Bahamas,M Taylor,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,1.1,Bahamas,Festus Benn,M Taylor,Jaskaran Singh,0,0,,,,,,"",""
ball,1,1.2,Bahamas,Festus Benn,M Taylor,Jaskaran Singh,0,1,1,,,,,"",""
ball,1,1.3,Bahamas,Festus Benn,M Taylor,Jaskaran Singh,1,0,,,,,,"",""
ball,1,1.4,Bahamas,M Taylor,Festus Benn,Jaskaran Singh,0,0,,,,,,"",""
ball,1,1.5,Bahamas,M Taylor,Festus Benn,Jaskaran Singh,0,0,,,,,,"",""
ball,1,1.6,Bahamas,M Taylor,Festus Benn,Jaskaran Singh,0,0,,,,,,"",""
ball,1,1.7,Bahamas,M Taylor,Festus Benn,Jaskaran Singh,0,0,,,,,,caught,M Taylor
ball,1,2.1,Bahamas,Festus Benn,RA Tappin,Kaleem Sana,0,0,,,,,,"",""
ball,1,2.2,Bahamas,Festus Benn,RA Tappin,Kaleem Sana,0,0,,,,,,"",""
ball,1,2.3,Bahamas,Festus Benn,RA Tappin,Kaleem Sana,1,0,,,,,,"",""
ball,1,2.4,Bahamas,RA Tappin,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,2.5,Bahamas,RA Tappin,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,2.6,Bahamas,RA Tappin,Festus Benn,Kaleem Sana,0,0,,,,,,"",""
ball,1,3.1,Bahamas,Festus Benn,RA Tappin,Jaskaran Singh,0,1,1,,,,,"",""
ball,1,3.2,Bahamas,Festus Benn,RA Tappin,Jaskaran Singh,1,0,,,,,,"",""
ball,1,3.3,Bahamas,RA Tappin,Festus Benn,Jaskaran Singh,0,0,,,,,,"",""
ball,1,3.4,Bahamas,RA Tappin,Festus Benn,Jaskaran Singh,0,0,,,,,,"",""
ball,1,3.5,Bahamas,RA Tappin,Festus Benn,Jaskaran Singh,0,0,,,,,,"",""
ball,1,3.6,Bahamas,RA Tappin,Festus Benn,Jaskaran Singh,1,0,,,,,,"",""
ball,1,3.7,Bahamas,Festus Benn,RA Tappin,Jaskaran Singh,0,1,,1,,,,"",""
ball,1,3.8,Bahamas,Festus Benn,RA Tappin,Jaskaran Singh,0,0,,,,,,"",""
ball,1,4.1,Bahamas,RA Tappin,Festus Benn,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,4.2,Bahamas,RA Tappin,Festus Benn,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,4.3,Bahamas,RA Tappin,Festus Benn,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,4.4,Bahamas,RA Tappin,Festus Benn,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,4.5,Bahamas,RA Tappin,Festus Benn,Sukhjinder Singh,1,0,,,,,,"",""
ball,1,4.6,Bahamas,Festus Benn,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,5.1,Bahamas,RA Tappin,Festus Benn,Akhil Kumar,0,0,,,,,,"",""
ball,1,5.2,Bahamas,RA Tappin,Festus Benn,Akhil Kumar,0,0,,,,,,"",""
ball,1,5.3,Bahamas,RA Tappin,Festus Benn,Akhil Kumar,2,0,,,,,,"",""
ball,1,5.4,Bahamas,RA Tappin,Festus Benn,Akhil Kumar,0,0,,,,,,"",""
ball,1,5.5,Bahamas,RA Tappin,Festus Benn,Akhil Kumar,0,0,,,,,,"",""
ball,1,5.6,Bahamas,RA Tappin,Festus Benn,Akhil Kumar,0,0,,,,,,"",""
ball,1,6.1,Bahamas,Festus Benn,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,6.2,Bahamas,Festus Benn,RA Tappin,Sukhjinder Singh,0,0,,,,,,caught,Festus Benn
ball,1,6.3,Bahamas,K Hinds,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,6.4,Bahamas,K Hinds,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,6.5,Bahamas,K Hinds,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,6.6,Bahamas,K Hinds,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,7.1,Bahamas,RA Tappin,K Hinds,Saad Bin Zafar,0,0,,,,,,"",""
ball,1,7.2,Bahamas,RA Tappin,K Hinds,Saad Bin Zafar,0,0,,,,,,"",""
ball,1,7.3,Bahamas,RA Tappin,K Hinds,Saad Bin Zafar,1,0,,,,,,"",""
ball,1,7.4,Bahamas,K Hinds,RA Tappin,Saad Bin Zafar,0,0,,,,,,"",""
ball,1,7.5,Bahamas,K Hinds,RA Tappin,Saad Bin Zafar,0,0,,,,,,"",""
ball,1,7.6,Bahamas,K Hinds,RA Tappin,Saad Bin Zafar,0,0,,,,,,caught,K Hinds
ball,1,8.1,Bahamas,RA Tappin,E Duff,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,8.2,Bahamas,RA Tappin,E Duff,Sukhjinder Singh,1,0,,,,,,"",""
ball,1,8.3,Bahamas,E Duff,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,8.4,Bahamas,E Duff,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,8.5,Bahamas,E Duff,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,8.6,Bahamas,E Duff,RA Tappin,Sukhjinder Singh,0,0,,,,,,"",""
ball,1,9.1,Bahamas,RA Tappin,E Duff,Saad Bin Zafar,0,0,,,,,,"",""
ball,1,9.2,Bahamas,RA Tappin,E Duff,Saad Bin Zafar,0,0,,,,,,"",""
ball,1,9.3,Bahamas,RA Tappin,E Duff,Saad Bin Zafar,0,0,,,,,,caught,RA Tappin
ball,1,9.4,Bahamas,D Wheatley,E Duff,Saad Bin Zafar,0,0,,,,,,caught,D Wheatley
ball,1,9.5,Bahamas,J Jemison,E Duff,Saad Bin Zafar,0,0,,,,,,"",""
