version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,New Zealand
info,gender,male
info,season,2023/24
info,date,2024/02/25
info,event,Australia tour of New Zealand
info,match_number,3
info,venue,"Eden Park, Auckland"
info,city,Auckland
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,MW Short
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,Kim Cotton
info,tv_umpire,SB Haig
info,match_referee,RS Madugalle
info,winner,Australia
info,winner_runs,27
info,method,D/L
info,player,Australia,TM Head
info,player,Australia,SPD Smith
info,player,Australia,MW Short
info,player,Australia,GJ Maxwell
info,player,Australia,JP Inglis
info,player,Australia,TH David
info,player,Australia,MS Wade
info,player,Australia,MA Starc
info,player,Australia,NT Ellis
info,player,Australia,A Zampa
info,player,Australia,SH Johnson
info,player,New Zealand,FH Allen
info,player,New Zealand,WA Young
info,player,New Zealand,TL Seifert
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,JA Clarkson
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TA Boult
info,player,New Zealand,BV Sears
info,registry,people,A Zampa,14f96089
info,registry,people,AF Milne,350bb1b1
info,registry,people,BV Sears,e1891e00
info,registry,people,CM Brown,448f4f1c
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JA Clarkson,bed90114
info,registry,people,JP Inglis,989889ff
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,MA Starc,3fb19989
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Short,a90e53ec
info,registry,people,NT Ellis,9eb1455b
info,registry,people,RS Madugalle,766b5798
info,registry,people,SB Haig,811655b3
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SPD Smith,30a45b23
info,registry,people,TA Boult,a818c1be
info,registry,people,TH David,f1f99156
info,registry,people,TL Seifert,4663bd23
info,registry,people,TM Head,12b610c2
info,registry,people,WA Young,8afe73e2
info,registry,people,WR Knights,63cbf8d8
ball,1,0.1,Australia,TM Head,SPD Smith,TA Boult,0,0,,,,,,"",""
ball,1,0.2,Australia,TM Head,SPD Smith,TA Boult,0,0,,,,,,"",""
ball,1,0.3,Australia,TM Head,SPD Smith,TA Boult,0,0,,,,,,"",""
ball,1,0.4,Australia,TM Head,SPD Smith,TA Boult,4,0,,,,,,"",""
ball,1,0.5,Australia,TM Head,SPD Smith,TA Boult,4,0,,,,,,"",""
ball,1,0.6,Australia,TM Head,SPD Smith,TA Boult,4,0,,,,,,"",""
ball,1,1.1,Australia,SPD Smith,TM Head,AF Milne,4,0,,,,,,"",""
ball,1,1.2,Australia,SPD Smith,TM Head,AF Milne,0,0,,,,,,"",""
ball,1,1.3,Australia,SPD Smith,TM Head,AF Milne,0,0,,,,,,caught,SPD Smith
ball,1,1.4,Australia,MW Short,TM Head,AF Milne,1,0,,,,,,"",""
ball,1,1.5,Australia,TM Head,MW Short,AF Milne,0,0,,,,,,"",""
ball,1,1.6,Australia,TM Head,MW Short,AF Milne,0,0,,,,,,"",""
ball,1,2.1,Australia,MW Short,TM Head,TA Boult,6,0,,,,,,"",""
ball,1,2.2,Australia,MW Short,TM Head,TA Boult,4,0,,,,,,"",""
ball,1,2.3,Australia,MW Short,TM Head,TA Boult,1,0,,,,,,"",""
ball,1,2.4,Australia,TM Head,MW Short,TA Boult,0,1,,,,1,,"",""
ball,1,2.5,Australia,MW Short,TM Head,TA Boult,1,0,,,,,,"",""
ball,1,2.6,Australia,TM Head,MW Short,TA Boult,0,0,,,,,,"",""
ball,1,3.1,Australia,MW Short,TM Head,BV Sears,1,0,,,,,,"",""
ball,1,3.2,Australia,TM Head,MW Short,BV Sears,0,0,,,,,,"",""
ball,1,3.3,Australia,TM Head,MW Short,BV Sears,0,0,,,,,,"",""
ball,1,3.4,Australia,TM Head,MW Short,BV Sears,4,0,,,,,,"",""
ball,1,3.5,Australia,TM Head,MW Short,BV Sears,0,0,,,,,,"",""
ball,1,3.6,Australia,TM Head,MW Short,BV Sears,1,0,,,,,,"",""
ball,1,4.1,Australia,TM Head,MW Short,AF Milne,1,0,,,,,,"",""
ball,1,4.2,Australia,MW Short,TM Head,AF Milne,0,0,,,,,,"",""
