version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Philippines
info,gender,male
info,season,2023/24
info,date,2023/12/24
info,event,Philippines tour of Indonesia
info,match_number,4
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Philippines
info,toss_decision,field
info,player_of_match,HER Tyler
info,umpire,F Shony
info,umpire,Yousuf Wadu
info,winner,Philippines
info,winner_wickets,8
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,GD Arta
info,player,Indonesia,IK Gamantika
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,F Banunaek
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,GY Prastama
info,player,Indonesia,AA Rahayu
info,player,Indonesia,RM Koda
info,player,Philippines,HER Tyler
info,player,Philippines,Kulwinderjeet Singh
info,player,Philippines,M Podosky
info,player,Philippines,AS Samra
info,player,Philippines,DC Smith
info,player,Philippines,J Alegra
info,player,Philippines,GR Russ
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,ASF Sirah
info,player,Philippines,KDA Lukies
info,player,Philippines,LJ Myott
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,AS Samra,bf976fb0
info,registry,people,ASF Sirah,06bcade5
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,DC Smith,a968d39b
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,F Shony,85712af4
info,registry,people,GD Arta,e969e580
info,registry,people,GR Russ,1f28fdfd
info,registry,people,GY Prastama,d9cdf81e
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Huzaifa Mohammed,65a29a30
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,J Alegra,ac6be7ed
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,KDA Lukies,14af45c4
info,registry,people,Kulwinderjeet Singh,f4d1184a
info,registry,people,LJ Myott,3f9d95f9
info,registry,people,M Podosky,c46999c7
info,registry,people,RM Koda,f0a45427
info,registry,people,Yousuf Wadu,cf41005c
ball,1,0.1,Indonesia,KD Kesuma,Anjar Tadarus,KDA Lukies,0,0,,,,,,"",""
ball,1,0.2,Indonesia,KD Kesuma,Anjar Tadarus,KDA Lukies,6,0,,,,,,"",""
ball,1,0.3,Indonesia,KD Kesuma,Anjar Tadarus,KDA Lukies,0,0,,,,,,"",""
ball,1,0.4,Indonesia,KD Kesuma,Anjar Tadarus,KDA Lukies,0,0,,,,,,"",""
ball,1,0.5,Indonesia,KD Kesuma,Anjar Tadarus,KDA Lukies,0,0,,,,,,"",""
ball,1,0.6,Indonesia,KD Kesuma,Anjar Tadarus,KDA Lukies,0,0,,,,,,"",""
ball,1,1.1,Indonesia,Anjar Tadarus,KD Kesuma,HER Tyler,0,0,,,,,,"",""
ball,1,1.2,Indonesia,Anjar Tadarus,KD Kesuma,HER Tyler,0,0,,,,,,"",""
ball,1,1.3,Indonesia,Anjar Tadarus,KD Kesuma,HER Tyler,0,0,,,,,,"",""
ball,1,1.4,Indonesia,Anjar Tadarus,KD Kesuma,HER Tyler,1,0,,,,,,"",""
ball,1,1.5,Indonesia,KD Kesuma,Anjar Tadarus,HER Tyler,0,0,,,,,,"",""
ball,1,1.6,Indonesia,KD Kesuma,Anjar Tadarus,HER Tyler,0,0,,,,,,"",""
ball,1,2.1,Indonesia,Anjar Tadarus,KD Kesuma,KDA Lukies,4,0,,,,,,"",""
ball,1,2.2,Indonesia,Anjar Tadarus,KD Kesuma,KDA Lukies,0,0,,,,,,"",""
ball,1,2.3,Indonesia,Anjar Tadarus,KD Kesuma,KDA Lukies,0,0,,,,,,"",""
ball,1,2.4,Indonesia,Anjar Tadarus,KD Kesuma,KDA Lukies,0,0,,,,,,"",""
ball,1,2.5,Indonesia,Anjar Tadarus,KD Kesuma,KDA Lukies,0,0,,,,,,"",""
ball,1,2.6,Indonesia,Anjar Tadarus,KD Kesuma,KDA Lukies,0,0,,,,,,"",""
ball,1,3.1,Indonesia,KD Kesuma,Anjar Tadarus,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,3.2,Indonesia,KD Kesuma,Anjar Tadarus,Huzaifa Mohammed,0,0,,,,,,"",""
