version,1.7.0
info,balls_per_over,6
info,team,Maldives
info,team,Saudi Arabia
info,gender,male
info,season,2023/24
info,date,2023/10/02
info,event,ICC Men's T20 World Cup Sub Regional Asia Qualifier A
info,match_number,8
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Maldives
info,toss_decision,bat
info,player_of_match,Faisal Khan
info,umpire,Bismillah Shinwari
info,umpire,Shivani Mishra
info,reserve_umpire,Rahul Asher
info,match_referee,GS Lakshmi
info,winner,Saudi Arabia
info,winner_wickets,9
info,player,Maldives,Azyan Farhath
info,player,Maldives,Umar Adam
info,player,Maldives,Mohamed Rishwan
info,player,Maldives,KTK Rodrigo
info,player,Maldives,Mohamed Azzam
info,player,Maldives,Ibrahim Nashath
info,player,Maldives,Ameel Mauroof
info,player,Maldives,Ibrahim Rizan
info,player,Maldives,Ibrahim Hassan
info,player,Maldives,WJ Malinda
info,player,Maldives,L Shafeeg
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Waqar Ul Hassan
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Umair Sharif
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Ahmed Baladraf
info,player,Saudi Arabia,Zain Ul Abidin
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Ahmed Baladraf,8bbb89ab
info,registry,people,Ameel Mauroof,1579d497
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,Azyan Farhath,3e06e7ac
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,Faisal Khan,a7553f15
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Ibrahim Hassan,4add4c98
info,registry,people,Ibrahim Nashath,98514dce
info,registry,people,Ibrahim Rizan,7267e3cd
info,registry,people,KTK Rodrigo,a482add2
info,registry,people,L Shafeeg,ed82d9a5
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Mohamed Azzam,e43c9818
info,registry,people,Mohamed Rishwan,7d15170b
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Umair Sharif,a19db58e
info,registry,people,Umar Adam,5d77a96a
info,registry,people,Usman Najeeb,615688b6
info,registry,people,WJ Malinda,8f5313ce
info,registry,people,Waqar Ul Hassan,b704da31
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,"",""
ball,1,0.2,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,"",""
ball,1,0.3,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,"",""
ball,1,0.4,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,1,1,,,,,"",""
ball,1,0.5,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,"",""
ball,1,0.6,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,1,1,,,,,"",""
ball,1,0.7,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,"",""
ball,1,0.8,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,1,0,,,,,,"",""
ball,1,1.1,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.2,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.3,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,1,1,,,,,"",""
ball,1,1.4,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.5,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.6,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.7,Maldives,Azyan Farhath,Umar Adam,Usman Najeeb,0,0,,,,,,"",""
ball,1,2.1,Maldives,Umar Adam,Azyan Farhath,Umair Sharif,1,0,,,,,,"",""
ball,1,2.2,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,4,0,,,,,,"",""
ball,1,2.3,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,"",""
ball,1,2.4,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,4,0,,,,,,"",""
ball,1,2.5,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,4,0,,,,,,"",""
ball,1,2.6,Maldives,Azyan Farhath,Umar Adam,Umair Sharif,0,0,,,,,,caught and bowled,Azyan Farhath
ball,1,3.1,Maldives,Umar Adam,Mohamed Rishwan,Usman Najeeb,0,0,,,,,,"",""
ball,1,3.2,Maldives,Umar Adam,Mohamed Rishwan,Usman Najeeb,1,0,,,,,,"",""
ball,1,3.3,Maldives,Mohamed Rishwan,Umar Adam,Usman Najeeb,0,0,,,,,,bowled,Mohamed Rishwan
ball,1,3.4,Maldives,KTK Rodrigo,Umar Adam,Usman Najeeb,1,0,,,,,,"",""
