version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Scotland
info,gender,female
info,season,2024
info,date,2024/05/07
info,event,ICC Women's T20 World Cup Qualifier
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,AC Jayangani
info,umpire,K Klaaste
info,umpire,SB Haig
info,reserve_umpire,N Janani
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_runs,68
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,KDU Prabodhani
info,player,Scotland,S Horley
info,player,Scotland,M McColl
info,player,Scotland,DEM Carter
info,player,Scotland,SJ Bryce
info,player,Scotland,PA Chatterji
info,player,Scotland,L Jack
info,player,Scotland,K Fraser
info,player,Scotland,R Slater
info,player,Scotland,C Abel
info,player,Scotland,A Lister
info,player,Scotland,HRA Rainey
info,player,Scotland,AH Maqsood
info,registry,people,A Lister,090c0213
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AH Maqsood,f61e2829
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,C Abel,d92d3563
info,registry,people,DEM Carter,c3394c16
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,HRA Rainey,7027d12f
info,registry,people,K Fraser,a0a65375
info,registry,people,K Klaaste,6cc1d918
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,L Jack,e565ceb7
info,registry,people,M McColl,d5fa2ab3
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Janani,d06a665d
info,registry,people,NND de Silva,f0b4294e
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Slater,8a452195
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Horley,8cd72e0b
info,registry,people,SB Haig,811655b3
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,WGAKK Kulasuriya,550373ea
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,4,0,,,,,,"",""
ball,1,0.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,0,,,,,,"",""
ball,1,0.4,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,1,0,,,,,,"",""
ball,1,0.5,Sri Lanka,AC Jayangani,RMVD Gunaratne,PA Chatterji,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,AC Jayangani,RMVD Gunaratne,PA Chatterji,1,0,,,,,,"",""
ball,1,1.1,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,0,0,,,,,,"",""
ball,1,1.3,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,0,1,1,,,,,"",""
ball,1,1.5,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,0,0,,,,,,"",""
ball,1,1.7,Sri Lanka,AC Jayangani,RMVD Gunaratne,R Slater,4,0,,,,,,"",""
ball,1,2.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,4,0,,,,,,"",""
ball,1,2.4,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,1,1,,,,,"",""
ball,1,2.5,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,0,,,,,,"",""
ball,1,2.6,Sri Lanka,RMVD Gunaratne,AC Jayangani,PA Chatterji,0,0,,,,,,caught,RMVD Gunaratne
ball,1,2.7,Sri Lanka,H Madavi,AC Jayangani,PA Chatterji,4,0,,,,,,"",""
ball,1,3.1,Sri Lanka,AC Jayangani,H Madavi,R Slater,0,0,,,,,,"",""
