version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Japan
info,gender,female
info,season,2022/23
info,date,2022/10/29
info,event,Women's East Asia Cup
info,match_number,3
info,venue,Kaizuka Cricket Ground
info,city,Osaka
info,toss_winner,Hong Kong
info,toss_decision,bat
info,player_of_match,NT Miles
info,umpire,Adam Birss
info,umpire,D Natarajan
info,winner,Hong Kong
info,winner_runs,3
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,WK Lai
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,M Bibi
info,player,Hong Kong,H Sin Yee
info,player,Hong Kong,G Bradley
info,player,Japan,A Kano
info,player,Japan,Erika Oda
info,player,Japan,A Chandel
info,player,Japan,S Kato
info,player,Japan,M Yanagida
info,player,Japan,S Miyaji
info,player,Japan,A Fujikawa
info,player,Japan,M Ogawa
info,player,Japan,M Yoshioka
info,player,Japan,R Kanai
info,player,Japan,H Goto
info,registry,people,A Chandel,78fa5f6d
info,registry,people,A Fujikawa,9543a4fe
info,registry,people,A Kano,e92841c0
info,registry,people,Adam Birss,0cabf6f4
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,D Natarajan,aa3ea16d
info,registry,people,Erika Oda,4c8a1197
info,registry,people,G Bradley,7c423f38
info,registry,people,H Goto,b3af5bff
info,registry,people,H Sin Yee,433dbc41
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Ogawa,93d65d0f
info,registry,people,M Yanagida,f20e7e23
info,registry,people,M Yoshioka,3a93120a
info,registry,people,NT Miles,d27d0835
info,registry,people,R Kanai,54a3d69f
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,S Kato,ef9ff861
info,registry,people,S Miyaji,3aca2ed5
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Hong Kong,NT Miles,M Hill,A Chandel,1,0,,,,,,"",""
ball,1,0.2,Hong Kong,M Hill,NT Miles,A Chandel,0,0,,,,,,"",""
ball,1,0.3,Hong Kong,M Hill,NT Miles,A Chandel,2,0,,,,,,"",""
ball,1,0.4,Hong Kong,M Hill,NT Miles,A Chandel,1,0,,,,,,"",""
ball,1,0.5,Hong Kong,NT Miles,M Hill,A Chandel,0,0,,,,,,"",""
ball,1,0.6,Hong Kong,NT Miles,M Hill,A Chandel,1,0,,,,,,"",""
ball,1,1.1,Hong Kong,NT Miles,M Hill,S Kato,1,0,,,,,,"",""
ball,1,1.2,Hong Kong,M Hill,NT Miles,S Kato,1,0,,,,,,"",""
ball,1,1.3,Hong Kong,NT Miles,M Hill,S Kato,0,0,,,,,,"",""
ball,1,1.4,Hong Kong,NT Miles,M Hill,S Kato,0,0,,,,,,"",""
ball,1,1.5,Hong Kong,NT Miles,M Hill,S Kato,0,0,,,,,,"",""
ball,1,1.6,Hong Kong,NT Miles,M Hill,S Kato,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,M Hill,NT Miles,S Miyaji,1,0,,,,,,"",""
ball,1,2.2,Hong Kong,NT Miles,M Hill,S Miyaji,2,0,,,,,,"",""
ball,1,2.3,Hong Kong,NT Miles,M Hill,S Miyaji,6,0,,,,,,"",""
ball,1,2.4,Hong Kong,NT Miles,M Hill,S Miyaji,1,0,,,,,,"",""
ball,1,2.5,Hong Kong,M Hill,NT Miles,S Miyaji,0,0,,,,,,"",""
ball,1,2.6,Hong Kong,M Hill,NT Miles,S Miyaji,0,0,,,,,,"",""
ball,1,3.1,Hong Kong,NT Miles,M Hill,S Kato,0,1,1,,,,,"",""
ball,1,3.2,Hong Kong,NT Miles,M Hill,S Kato,0,0,,,,,,"",""
ball,1,3.3,Hong Kong,NT Miles,M Hill,S Kato,4,0,,,,,,"",""
ball,1,3.4,Hong Kong,NT Miles,M Hill,S Kato,2,0,,,,,,"",""
ball,1,3.5,Hong Kong,NT Miles,M Hill,S Kato,0,0,,,,,,"",""
