version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Australia
info,gender,female
info,season,2022/23
info,date,2022/12/09
info,event,Australia Women tour of India
info,match_number,1
info,venue,"Dr DY Patil Sports Academy, Mumbai"
info,city,Navi Mumbai
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,BL Mooney
info,umpire,N Janani
info,umpire,VG Rathi
info,reserve_umpire,Gayathri Venugopal
info,tv_umpire,A Nand Kishore
info,match_referee,GS Lakshmi
info,winner,Australia
info,winner_wickets,9
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,JI Rodrigues
info,player,India,H Kaur
info,player,India,DP Vaidya
info,player,India,RM Ghosh
info,player,India,DB Sharma
info,player,India,RP Yadav
info,player,India,K Anjali Sarvani
info,player,India,Meghna Singh
info,player,India,Renuka Singh
info,player,Australia,BL Mooney
info,player,Australia,AJ Healy
info,player,Australia,TM McGrath
info,player,Australia,KJ Garth
info,player,Australia,GM Harris
info,player,Australia,A Sutherland
info,player,Australia,A King
info,player,Australia,A Gardner
info,player,Australia,EA Perry
info,player,Australia,JL Jonassen
info,player,Australia,ML Schutt
info,registry,people,A Gardner,bc969efb
info,registry,people,A King,83558266
info,registry,people,A Nand Kishore,84424f4f
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,DB Sharma,201fef33
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,EA Perry,be150fc8
info,registry,people,GM Harris,72166006
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JL Jonassen,0475a86b
info,registry,people,K Anjali Sarvani,fa0bf9d9
info,registry,people,KJ Garth,0b69a844
info,registry,people,ML Schutt,17608a6f
info,registry,people,Meghna Singh,f176e421
info,registry,people,N Janani,d06a665d
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Mandhana,5d2eda89
info,registry,people,Shafali Verma,d8f59089
info,registry,people,TM McGrath,ca5acfa4
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,India,Shafali Verma,S Mandhana,ML Schutt,0,0,,,,,,"",""
ball,1,0.2,India,Shafali Verma,S Mandhana,ML Schutt,0,0,,,,,,"",""
ball,1,0.3,India,Shafali Verma,S Mandhana,ML Schutt,4,0,,,,,,"",""
ball,1,0.4,India,Shafali Verma,S Mandhana,ML Schutt,1,0,,,,,,"",""
ball,1,0.5,India,S Mandhana,Shafali Verma,ML Schutt,1,0,,,,,,"",""
ball,1,0.6,India,Shafali Verma,S Mandhana,ML Schutt,6,0,,,,,,"",""
ball,1,1.1,India,S Mandhana,Shafali Verma,KJ Garth,0,0,,,,,,"",""
ball,1,1.2,India,S Mandhana,Shafali Verma,KJ Garth,0,0,,,,,,"",""
ball,1,1.3,India,S Mandhana,Shafali Verma,KJ Garth,0,0,,,,,,"",""
ball,1,1.4,India,S Mandhana,Shafali Verma,KJ Garth,4,0,,,,,,"",""
ball,1,1.5,India,S Mandhana,Shafali Verma,KJ Garth,0,0,,,,,,"",""
ball,1,1.6,India,S Mandhana,Shafali Verma,KJ Garth,2,0,,,,,,"",""
ball,1,2.1,India,Shafali Verma,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,2.2,India,Shafali Verma,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,2.3,India,Shafali Verma,S Mandhana,EA Perry,4,0,,,,,,"",""
ball,1,2.4,India,Shafali Verma,S Mandhana,EA Perry,6,0,,,,,,"",""
ball,1,2.5,India,Shafali Verma,S Mandhana,EA Perry,0,0,,,,,,caught,Shafali Verma
ball,1,2.6,India,JI Rodrigues,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,3.1,India,S Mandhana,JI Rodrigues,KJ Garth,0,1,1,,,,,"",""
ball,1,3.2,India,S Mandhana,JI Rodrigues,KJ Garth,4,0,,,,,,"",""
ball,1,3.3,India,S Mandhana,JI Rodrigues,KJ Garth,4,0,,,,,,"",""
ball,1,3.4,India,S Mandhana,JI Rodrigues,KJ Garth,4,0,,,,,,"",""
ball,1,3.5,India,S Mandhana,JI Rodrigues,KJ Garth,0,0,,,,,,"",""
ball,1,3.6,India,S Mandhana,JI Rodrigues,KJ Garth,0,0,,,,,,"",""
ball,1,3.7,India,S Mandhana,JI Rodrigues,KJ Garth,4,0,,,,,,"",""
ball,1,4.1,India,JI Rodrigues,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,4.2,India,JI Rodrigues,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,4.3,India,JI Rodrigues,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,4.4,India,JI Rodrigues,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,4.5,India,JI Rodrigues,S Mandhana,EA Perry,0,0,,,,,,caught,JI Rodrigues
ball,1,4.6,India,H Kaur,S Mandhana,EA Perry,0,0,,,,,,"",""
ball,1,5.1,India,S Mandhana,H Kaur,ML Schutt,0,0,,,,,,"",""
