version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Netherlands
info,gender,female
info,season,2024/25
info,date,2025/02/03
info,event,Nepal Women's T20I Tri-Series
info,match_number,5
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,C Sutthiruang
info,umpire,RC Pandey
info,umpire,VK Jha
info,reserve_umpire,Kamalesh Thakur
info,tv_umpire,BB Pradhan
info,match_referee,Mohammed Shafique
info,winner,Thailand
info,winner_runs,17
info,player,Thailand,N Boochatham
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Khiaoto
info,player,Thailand,T Putthawong
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Laomi
info,player,Thailand,S Chaturongrattana
info,player,Netherlands,P Molkenboer
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,F Overdijk
info,player,Netherlands,EN Lynch
info,player,Netherlands,C de Lange
info,player,Netherlands,S Siegers
info,player,Netherlands,I van der Woning
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,B de Leede,b3020075
info,registry,people,BB Pradhan,8603d942
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,C de Lange,c6a019f5
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,F Overdijk,022745d5
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,I van der Woning,5aa8574b
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,Kamalesh Thakur,6926399e
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Rijke,42e4b276
info,registry,people,RC Pandey,1b807976
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,VK Jha,5d46eb72
ball,1,0.1,Thailand,N Boochatham,A Suwanchonrathi,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.2,Thailand,N Boochatham,A Suwanchonrathi,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.3,Thailand,N Boochatham,A Suwanchonrathi,IJR Zwilling,1,0,,,,,,"",""
ball,1,0.4,Thailand,A Suwanchonrathi,N Boochatham,IJR Zwilling,4,0,,,,,,"",""
ball,1,0.5,Thailand,A Suwanchonrathi,N Boochatham,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.6,Thailand,A Suwanchonrathi,N Boochatham,IJR Zwilling,0,0,,,,,,"",""
ball,1,1.1,Thailand,N Boochatham,A Suwanchonrathi,EN Lynch,0,0,,,,,,"",""
ball,1,1.2,Thailand,N Boochatham,A Suwanchonrathi,EN Lynch,0,0,,,,,,"",""
ball,1,1.3,Thailand,N Boochatham,A Suwanchonrathi,EN Lynch,0,0,,,,,,bowled,N Boochatham
ball,1,1.4,Thailand,N Koncharoenkai,A Suwanchonrathi,EN Lynch,3,0,,,,,,"",""
ball,1,1.5,Thailand,A Suwanchonrathi,N Koncharoenkai,EN Lynch,0,0,,,,,,"",""
ball,1,1.6,Thailand,A Suwanchonrathi,N Koncharoenkai,EN Lynch,1,0,,,,,,"",""
ball,1,2.1,Thailand,A Suwanchonrathi,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.2,Thailand,A Suwanchonrathi,N Koncharoenkai,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.3,Thailand,A Suwanchonrathi,N Koncharoenkai,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.4,Thailand,N Koncharoenkai,A Suwanchonrathi,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.5,Thailand,N Koncharoenkai,A Suwanchonrathi,IJR Zwilling,2,0,,,,,,"",""
ball,1,2.6,Thailand,N Koncharoenkai,A Suwanchonrathi,IJR Zwilling,0,0,,,,,,"",""
ball,1,3.1,Thailand,A Suwanchonrathi,N Koncharoenkai,S Siegers,0,0,,,,,,"",""
ball,1,3.2,Thailand,A Suwanchonrathi,N Koncharoenkai,S Siegers,0,0,,,,,,"",""
ball,1,3.3,Thailand,A Suwanchonrathi,N Koncharoenkai,S Siegers,0,0,,,,,,"",""
ball,1,3.4,Thailand,A Suwanchonrathi,N Koncharoenkai,S Siegers,2,0,,,,,,"",""
