version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,Singapore
info,gender,male
info,season,2024/25
info,date,2025/02/28
info,event,Bahrain tour of Singapore
info,match_number,1
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Singapore
info,toss_decision,field
info,player_of_match,Fiaz Ahmed
info,umpire,Foyes Ahmed
info,umpire,KSVP Venu Madhav
info,reserve_umpire,KK Ghosh
info,match_referee,T Senthil Kumar
info,winner,Bahrain
info,winner_runs,31
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,P Kurup
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Asif Shaikh
info,player,Bahrain,Ubaid Minhas
info,player,Bahrain,Rizwan Butt
info,player,Singapore,S Gulecha
info,player,Singapore,R Rohan
info,player,Singapore,Aritra Dutta
info,player,Singapore,S Chandramohan
info,player,Singapore,Manpreet Singh
info,player,Singapore,IP Swaney
info,player,Singapore,Aman Desai
info,player,Singapore,R Kalimuthu
info,player,Singapore,AR Puri
info,player,Singapore,AAhan Achar
info,player,Singapore,PSRK Sudarshan
info,registry,people,AAhan Achar,797f52cc
info,registry,people,AR Puri,1f490b28
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Dawood,596982e6
info,registry,people,Aman Desai,c10fd8f9
info,registry,people,Aritra Dutta,f3a5c378
info,registry,people,Asif Shaikh,231daa19
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Foyes Ahmed,465cdd1d
info,registry,people,IP Swaney,430b7399
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,KK Ghosh,eea3fd8e
info,registry,people,KSVP Venu Madhav,8c7fb752
info,registry,people,Manpreet Singh,e9d6a2ce
info,registry,people,P Kurup,50ceaef6
info,registry,people,PSRK Sudarshan,3a44a4e4
info,registry,people,R Kalimuthu,5892ac75
info,registry,people,R Rohan,baf0fc26
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Chandramohan,2a6ccc1c
info,registry,people,S Gulecha,b70ec03e
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,Ubaid Minhas,87493f1d
ball,1,0.1,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,0.2,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,0.3,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,0.4,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,0.5,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,0.6,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,1,0,,,,,,"",""
ball,1,1.1,Bahrain,Fiaz Ahmed,P Kurup,R Kalimuthu,4,0,,,,,,"",""
ball,1,1.2,Bahrain,Fiaz Ahmed,P Kurup,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.3,Bahrain,Fiaz Ahmed,P Kurup,R Kalimuthu,1,0,,,,,,"",""
ball,1,1.4,Bahrain,P Kurup,Fiaz Ahmed,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.5,Bahrain,P Kurup,Fiaz Ahmed,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.6,Bahrain,P Kurup,Fiaz Ahmed,R Kalimuthu,1,0,,,,,,"",""
ball,1,2.1,Bahrain,P Kurup,Fiaz Ahmed,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,2.2,Bahrain,P Kurup,Fiaz Ahmed,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,2.3,Bahrain,P Kurup,Fiaz Ahmed,PSRK Sudarshan,0,1,,,,1,,"",""
ball,1,2.4,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,4,0,,,,,,"",""
ball,1,2.5,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,0,0,,,,,,"",""
ball,1,2.6,Bahrain,Fiaz Ahmed,P Kurup,PSRK Sudarshan,4,0,,,,,,"",""
ball,1,3.1,Bahrain,P Kurup,Fiaz Ahmed,AAhan Achar,0,0,,,,,,"",""
ball,1,3.2,Bahrain,P Kurup,Fiaz Ahmed,AAhan Achar,2,0,,,,,,"",""
ball,1,3.3,Bahrain,P Kurup,Fiaz Ahmed,AAhan Achar,0,0,,,,,,"",""
ball,1,3.4,Bahrain,P Kurup,Fiaz Ahmed,AAhan Achar,1,0,,,,,,"",""
ball,1,3.5,Bahrain,Fiaz Ahmed,P Kurup,AAhan Achar,1,0,,,,,,"",""
ball,1,3.6,Bahrain,P Kurup,Fiaz Ahmed,AAhan Achar,1,0,,,,,,"",""
ball,1,4.1,Bahrain,P Kurup,Fiaz Ahmed,AR Puri,0,0,,,,,,"",""
ball,1,4.2,Bahrain,P Kurup,Fiaz Ahmed,AR Puri,1,0,,,,,,"",""
