version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,England
info,gender,female
info,season,2023/24
info,date,2024/03/24
info,event,England Women tour of New Zealand
info,match_number,3
info,venue,"Saxton Oval, Nelson"
info,city,Nelson
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,SFM Devine
info,umpire,C Black
info,umpire,Eloise Sheridan
info,reserve_umpire,KS Jagannathan
info,tv_umpire,Kim Cotton
info,match_referee,TL Anderson
info,winner,New Zealand
info,winner_runs,3
info,player,New Zealand,SW Bates
info,player,New Zealand,B Bezuidenhout
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,ML Green
info,player,New Zealand,BM Halliday
info,player,New Zealand,IC Gaze
info,player,New Zealand,HM Rowe
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,RA Mair
info,player,New Zealand,FC Jonas
info,player,England,S Glenn
info,player,England,TT Beaumont
info,player,England,SIR Dunkley
info,player,England,ME Bouchier
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,DR Gibson
info,player,England,BAM Heath
info,player,England,HJ Armitage
info,player,England,CE Dean
info,player,England,LCN Smith
info,player,England,LK Bell
info,registry,people,AC Kerr,7673c908
info,registry,people,AE Jones,b05e45e4
info,registry,people,B Bezuidenhout,564afdcf
info,registry,people,BAM Heath,3b5a9438
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,C Black,75b42f71
info,registry,people,CE Dean,c6625a26
info,registry,people,DR Gibson,d2763568
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,FC Jonas,6df697a9
info,registry,people,HC Knight,4ba0289e
info,registry,people,HJ Armitage,f05167d2
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,IC Gaze,60c250bf
info,registry,people,KS Jagannathan,9bc8dcec
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LCN Smith,340202b0
info,registry,people,LK Bell,38b4583c
info,registry,people,LMM Tahuhu,60471339
info,registry,people,ME Bouchier,c2554b59
info,registry,people,ML Green,865eae1f
info,registry,people,RA Mair,d5eb8b84
info,registry,people,S Glenn,b34e0c77
info,registry,people,SFM Devine,de69af96
info,registry,people,SIR Dunkley,3a9e9cb2
info,registry,people,SW Bates,89bbc67a
info,registry,people,TL Anderson,f52ddf8d
info,registry,people,TT Beaumont,b2664905
ball,1,0.1,New Zealand,SW Bates,B Bezuidenhout,LK Bell,1,0,,,,,,"",""
ball,1,0.2,New Zealand,B Bezuidenhout,SW Bates,LK Bell,0,0,,,,,,"",""
ball,1,0.3,New Zealand,B Bezuidenhout,SW Bates,LK Bell,4,0,,,,,,"",""
ball,1,0.4,New Zealand,B Bezuidenhout,SW Bates,LK Bell,1,0,,,,,,"",""
ball,1,0.5,New Zealand,SW Bates,B Bezuidenhout,LK Bell,0,0,,,,,,"",""
ball,1,0.6,New Zealand,SW Bates,B Bezuidenhout,LK Bell,0,0,,,,,,"",""
ball,1,1.1,New Zealand,B Bezuidenhout,SW Bates,DR Gibson,0,0,,,,,,"",""
ball,1,1.2,New Zealand,B Bezuidenhout,SW Bates,DR Gibson,0,0,,,,,,"",""
ball,1,1.3,New Zealand,B Bezuidenhout,SW Bates,DR Gibson,0,0,,,,,,"",""
ball,1,1.4,New Zealand,B Bezuidenhout,SW Bates,DR Gibson,4,0,,,,,,"",""
ball,1,1.5,New Zealand,B Bezuidenhout,SW Bates,DR Gibson,1,0,,,,,,"",""
ball,1,1.6,New Zealand,SW Bates,B Bezuidenhout,DR Gibson,2,0,,,,,,"",""
ball,1,2.1,New Zealand,B Bezuidenhout,SW Bates,LK Bell,0,0,,,,,,"",""
ball,1,2.2,New Zealand,B Bezuidenhout,SW Bates,LK Bell,4,0,,,,,,"",""
ball,1,2.3,New Zealand,B Bezuidenhout,SW Bates,LK Bell,1,0,,,,,,"",""
ball,1,2.4,New Zealand,SW Bates,B Bezuidenhout,LK Bell,0,0,,,,,,"",""
ball,1,2.5,New Zealand,SW Bates,B Bezuidenhout,LK Bell,0,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,B Bezuidenhout,LK Bell,4,0,,,,,,"",""
ball,1,3.1,New Zealand,B Bezuidenhout,SW Bates,CE Dean,1,0,,,,,,"",""
ball,1,3.2,New Zealand,SW Bates,B Bezuidenhout,CE Dean,0,0,,,,,,"",""
ball,1,3.3,New Zealand,SW Bates,B Bezuidenhout,CE Dean,0,0,,,,,,"",""
ball,1,3.4,New Zealand,SW Bates,B Bezuidenhout,CE Dean,0,0,,,,,,"",""
ball,1,3.5,New Zealand,SW Bates,B Bezuidenhout,CE Dean,0,0,,,,,,"",""
ball,1,3.6,New Zealand,SW Bates,B Bezuidenhout,CE Dean,0,0,,,,,,"",""
ball,1,4.1,New Zealand,B Bezuidenhout,SW Bates,LCN Smith,4,0,,,,,,"",""
ball,1,4.2,New Zealand,B Bezuidenhout,SW Bates,LCN Smith,1,0,,,,,,"",""
ball,1,4.3,New Zealand,SW Bates,B Bezuidenhout,LCN Smith,1,0,,,,,,"",""
ball,1,4.4,New Zealand,B Bezuidenhout,SW Bates,LCN Smith,4,0,,,,,,"",""
ball,1,4.5,New Zealand,B Bezuidenhout,SW Bates,LCN Smith,1,0,,,,,,"",""
ball,1,4.6,New Zealand,SW Bates,B Bezuidenhout,LCN Smith,1,0,,,,,,"",""
ball,1,5.1,New Zealand,SW Bates,B Bezuidenhout,CE Dean,1,0,,,,,,"",""
ball,1,5.2,New Zealand,B Bezuidenhout,SW Bates,CE Dean,0,0,,,,,,"",""
ball,1,5.3,New Zealand,B Bezuidenhout,SW Bates,CE Dean,2,0,,,,,,"",""
ball,1,5.4,New Zealand,B Bezuidenhout,SW Bates,CE Dean,1,0,,,,,,"",""
ball,1,5.5,New Zealand,SW Bates,B Bezuidenhout,CE Dean,1,0,,,,,,"",""
ball,1,5.6,New Zealand,B Bezuidenhout,SW Bates,CE Dean,0,0,,,,,,"",""
ball,1,6.1,New Zealand,SW Bates,B Bezuidenhout,S Glenn,2,0,,,,,,"",""
ball,1,6.2,New Zealand,SW Bates,B Bezuidenhout,S Glenn,0,0,,,,,,"",""
ball,1,6.3,New Zealand,SW Bates,B Bezuidenhout,S Glenn,1,0,,,,,,"",""
ball,1,6.4,New Zealand,B Bezuidenhout,SW Bates,S Glenn,1,0,,,,,,"",""
ball,1,6.5,New Zealand,SW Bates,B Bezuidenhout,S Glenn,0,0,,,,,,stumped,SW Bates
ball,1,6.6,New Zealand,AC Kerr,B Bezuidenhout,S Glenn,4,0,,,,,,"",""
ball,1,7.1,New Zealand,B Bezuidenhout,AC Kerr,LCN Smith,1,0,,,,,,"",""
ball,1,7.2,New Zealand,AC Kerr,B Bezuidenhout,LCN Smith,1,0,,,,,,"",""
ball,1,7.3,New Zealand,B Bezuidenhout,AC Kerr,LCN Smith,1,0,,,,,,"",""
ball,1,7.4,New Zealand,AC Kerr,B Bezuidenhout,LCN Smith,1,0,,,,,,"",""
ball,1,7.5,New Zealand,B Bezuidenhout,AC Kerr,LCN Smith,2,0,,,,,,"",""
ball,1,7.6,New Zealand,B Bezuidenhout,AC Kerr,LCN Smith,0,0,,,,,,"",""
ball,1,8.1,New Zealand,AC Kerr,B Bezuidenhout,DR Gibson,1,0,,,,,,"",""
ball,1,8.2,New Zealand,B Bezuidenhout,AC Kerr,DR Gibson,0,0,,,,,,"",""
ball,1,8.3,New Zealand,B Bezuidenhout,AC Kerr,DR Gibson,0,0,,,,,,caught,B Bezuidenhout
ball,1,8.4,New Zealand,SFM Devine,AC Kerr,DR Gibson,0,0,,,,,,"",""
ball,1,8.5,New Zealand,SFM Devine,AC Kerr,DR Gibson,1,0,,,,,,"",""
ball,1,8.6,New Zealand,AC Kerr,SFM Devine,DR Gibson,1,0,,,,,,"",""
ball,1,9.1,New Zealand,AC Kerr,SFM Devine,HC Knight,1,0,,,,,,"",""
ball,1,9.2,New Zealand,SFM Devine,AC Kerr,HC Knight,0,0,,,,,,"",""
ball,1,9.3,New Zealand,SFM Devine,AC Kerr,HC Knight,1,0,,,,,,"",""
ball,1,9.4,New Zealand,AC Kerr,SFM Devine,HC Knight,1,0,,,,,,"",""
ball,1,9.5,New Zealand,SFM Devine,AC Kerr,HC Knight,4,0,,,,,,"",""
ball,1,9.6,New Zealand,SFM Devine,AC Kerr,HC Knight,1,0,,,,,,"",""
ball,1,10.1,New Zealand,SFM Devine,AC Kerr,LCN Smith,1,0,,,,,,"",""
ball,1,10.2,New Zealand,AC Kerr,SFM Devine,LCN Smith,1,0,,,,,,"",""
ball,1,10.3,New Zealand,SFM Devine,AC Kerr,LCN Smith,1,0,,,,,,"",""
ball,1,10.4,New Zealand,AC Kerr,SFM Devine,LCN Smith,1,0,,,,,,"",""
ball,1,10.5,New Zealand,SFM Devine,AC Kerr,LCN Smith,1,0,,,,,,"",""
ball,1,10.6,New Zealand,AC Kerr,SFM Devine,LCN Smith,1,0,,,,,,"",""
ball,1,11.1,New Zealand,AC Kerr,SFM Devine,HC Knight,1,0,,,,,,"",""
ball,1,11.2,New Zealand,SFM Devine,AC Kerr,HC Knight,1,0,,,,,,"",""
ball,1,11.3,New Zealand,AC Kerr,SFM Devine,HC Knight,0,0,,,,,,"",""
ball,1,11.4,New Zealand,AC Kerr,SFM Devine,HC Knight,1,0,,,,,,"",""
ball,1,11.5,New Zealand,SFM Devine,AC Kerr,HC Knight,2,0,,,,,,"",""
ball,1,11.6,New Zealand,SFM Devine,AC Kerr,HC Knight,1,0,,,,,,"",""
ball,1,12.1,New Zealand,SFM Devine,AC Kerr,CE Dean,2,0,,,,,,"",""
ball,1,12.2,New Zealand,SFM Devine,AC Kerr,CE Dean,0,0,,,,,,"",""
ball,1,12.3,New Zealand,SFM Devine,AC Kerr,CE Dean,0,0,,,,,,"",""
