version,1.7.0
info,balls_per_over,6
info,team,Sierra Leone
info,team,Brazil
info,gender,female
info,season,2025
info,date,2025/06/12
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,36
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Sierra Leone
info,toss_decision,bat
info,player_of_match,LV Boas
info,umpire,D Hagenimana
info,umpire,V Iriho
info,reserve_umpire,R Singinzwa
info,match_referee,ET Dube
info,winner,Brazil
info,winner_wickets,8
info,player,Sierra Leone,E Kamara
info,player,Sierra Leone,F Conteh
info,player,Sierra Leone,C Bull
info,player,Sierra Leone,Aminata Kamara
info,player,Sierra Leone,Z Kamara
info,player,Sierra Leone,L Bull
info,player,Sierra Leone,AM Kamara
info,player,Sierra Leone,M Turay
info,player,Sierra Leone,H Sawanneh
info,player,Sierra Leone,P Pratt
info,player,Sierra Leone,AK Bangura
info,player,Brazil,LV Boas
info,player,Brazil,L Agatha
info,player,Brazil,RMAM Avery
info,player,Brazil,L Cardoso
info,player,Brazil,MB dos Santos
info,player,Brazil,AC Sabino
info,player,Brazil,MLG Silva
info,player,Brazil,NC Monteiro
info,player,Brazil,M Ribeiro
info,player,Brazil,M Artur
info,player,Brazil,L Moises
info,registry,people,AC Sabino,dd45b04b
info,registry,people,AK Bangura,36c0228f
info,registry,people,AM Kamara,4ca3d67d
info,registry,people,Aminata Kamara,f7aca3b3
info,registry,people,C Bull,a7b3bd26
info,registry,people,D Hagenimana,de167462
info,registry,people,E Kamara,3f8915a0
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Conteh,1dac0c4a
info,registry,people,H Sawanneh,89372586
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Bull,256d29e8
info,registry,people,L Cardoso,5777d460
info,registry,people,L Moises,b27f9716
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Artur,400b36cd
info,registry,people,M Ribeiro,38424a4d
info,registry,people,M Turay,1eec6a0f
info,registry,people,MB dos Santos,8ba8dd7a
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,NC Monteiro,752af5a4
info,registry,people,P Pratt,ccac9ed0
info,registry,people,R Singinzwa,0e58e89d
info,registry,people,RMAM Avery,4cf645c9
info,registry,people,V Iriho,2853eafb
info,registry,people,Z Kamara,a4e98e6b
ball,1,0.1,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,0.2,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,0.3,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,0.4,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,0.5,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,1,1,,,,,"",""
ball,1,0.6,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,0.7,Sierra Leone,E Kamara,F Conteh,M Ribeiro,0,0,,,,,,caught,E Kamara
ball,1,1.1,Sierra Leone,F Conteh,C Bull,L Moises,1,0,,,,,,"",""
ball,1,1.2,Sierra Leone,C Bull,F Conteh,L Moises,0,0,,,,,,"",""
ball,1,1.3,Sierra Leone,C Bull,F Conteh,L Moises,1,0,,,,,,"",""
ball,1,1.4,Sierra Leone,F Conteh,C Bull,L Moises,0,0,,,,,,"",""
ball,1,1.5,Sierra Leone,F Conteh,C Bull,L Moises,0,0,,,,,,"",""
ball,1,1.6,Sierra Leone,F Conteh,C Bull,L Moises,0,0,,,,,,"",""
ball,1,2.1,Sierra Leone,C Bull,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,2.2,Sierra Leone,C Bull,F Conteh,M Ribeiro,1,0,,,,,,"",""
ball,1,2.3,Sierra Leone,F Conteh,C Bull,M Ribeiro,0,0,,,,,,"",""
ball,1,2.4,Sierra Leone,F Conteh,C Bull,M Ribeiro,1,0,,,,,,"",""
ball,1,2.5,Sierra Leone,C Bull,F Conteh,M Ribeiro,0,0,,,,,,"",""
ball,1,2.6,Sierra Leone,C Bull,F Conteh,M Ribeiro,4,0,,,,,,"",""
ball,1,3.1,Sierra Leone,F Conteh,C Bull,L Moises,0,0,,,,,,"",""
ball,1,3.2,Sierra Leone,F Conteh,C Bull,L Moises,1,0,,,,,,"",""
ball,1,3.3,Sierra Leone,C Bull,F Conteh,L Moises,0,0,,,,,,"",""
ball,1,3.4,Sierra Leone,C Bull,F Conteh,L Moises,0,0,,,,,,"",""
ball,1,3.5,Sierra Leone,C Bull,F Conteh,L Moises,0,0,,,,,,"",""
