version,1.7.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Philippines
info,gender,male
info,season,2023
info,date,2023/07/25
info,event,ICC Men's T20 World Cup East Asia-Pacific Qualifier
info,match_number,5
info,venue,"Amini Park, Port Moresby"
info,city,Port Moresby
info,toss_winner,Vanuatu
info,toss_decision,bat
info,player_of_match,DC Smith
info,umpire,A Kapa
info,umpire,PJ Gillespie
info,reserve_umpire,CA Polosak
info,match_referee,WC Labrooy
info,winner,Philippines
info,winner_wickets,6
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,A Mansale
info,player,Vanuatu,JD Allan
info,player,Vanuatu,J Rasu
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,R Tari
info,player,Vanuatu,J Vira
info,player,Vanuatu,SH Obed
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,D Wotu
info,player,Philippines,AS Samra
info,player,Philippines,GR Russ
info,player,Philippines,J Alegra
info,player,Philippines,DC Smith
info,player,Philippines,JEA Doctora
info,player,Philippines,M Podosky
info,player,Philippines,ASF Sirah
info,player,Philippines,G Chohan
info,player,Philippines,LJ Myott
info,player,Philippines,KDA Lukies
info,player,Philippines,Huzaifa Mohammed
info,registry,people,A Kapa,7c9c0f18
info,registry,people,A Mansale,a22b4f3f
info,registry,people,AS Samra,bf976fb0
info,registry,people,ASF Sirah,06bcade5
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Wotu,9585854d
info,registry,people,DC Smith,a968d39b
info,registry,people,G Chohan,b978780e
info,registry,people,GR Russ,1f28fdfd
info,registry,people,Huzaifa Mohammed,65a29a30
info,registry,people,J Alegra,ac6be7ed
info,registry,people,J Rasu,1021b6e5
info,registry,people,J Vira,2090e94d
info,registry,people,JD Allan,3758028b
info,registry,people,JEA Doctora,43449b1e
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,KDA Lukies,14af45c4
info,registry,people,LJ Myott,3f9d95f9
info,registry,people,M Podosky,c46999c7
info,registry,people,N Nipiko,c498c510
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,PK Matautaava,af19aa66
info,registry,people,R Tari,c4d19735
info,registry,people,SH Obed,f49c401e
info,registry,people,W Nalisa,673be48f
info,registry,people,WC Labrooy,29d4e29b
ball,1,0.1,Vanuatu,N Nipiko,PK Matautaava,KDA Lukies,0,0,,,,,,"",""
ball,1,0.2,Vanuatu,N Nipiko,PK Matautaava,KDA Lukies,1,0,,,,,,"",""
ball,1,0.3,Vanuatu,PK Matautaava,N Nipiko,KDA Lukies,0,0,,,,,,"",""
ball,1,0.4,Vanuatu,PK Matautaava,N Nipiko,KDA Lukies,0,0,,,,,,"",""
ball,1,0.5,Vanuatu,PK Matautaava,N Nipiko,KDA Lukies,0,0,,,,,,"",""
ball,1,0.6,Vanuatu,PK Matautaava,N Nipiko,KDA Lukies,1,0,,,,,,"",""
ball,1,1.1,Vanuatu,PK Matautaava,N Nipiko,DC Smith,1,0,,,,,,"",""
ball,1,1.2,Vanuatu,N Nipiko,PK Matautaava,DC Smith,0,1,1,,,,,"",""
ball,1,1.3,Vanuatu,N Nipiko,PK Matautaava,DC Smith,0,0,,,,,,"",""
ball,1,1.4,Vanuatu,N Nipiko,PK Matautaava,DC Smith,0,0,,,,,,"",""
ball,1,1.5,Vanuatu,N Nipiko,PK Matautaava,DC Smith,4,0,,,,,,"",""
ball,1,1.6,Vanuatu,N Nipiko,PK Matautaava,DC Smith,1,0,,,,,,"",""
ball,1,1.7,Vanuatu,PK Matautaava,N Nipiko,DC Smith,0,0,,,,,,"",""
ball,1,2.1,Vanuatu,N Nipiko,PK Matautaava,KDA Lukies,2,0,,,,,,"",""
ball,1,2.2,Vanuatu,N Nipiko,PK Matautaava,KDA Lukies,0,0,,,,,,caught,N Nipiko
ball,1,2.3,Vanuatu,A Mansale,PK Matautaava,KDA Lukies,0,0,,,,,,lbw,A Mansale
ball,1,2.4,Vanuatu,JD Allan,PK Matautaava,KDA Lukies,2,0,,,,,,"",""
ball,1,2.5,Vanuatu,JD Allan,PK Matautaava,KDA Lukies,0,0,,,,,,"",""
ball,1,2.6,Vanuatu,JD Allan,PK Matautaava,KDA Lukies,0,0,,,,,,"",""
ball,1,3.1,Vanuatu,PK Matautaava,JD Allan,DC Smith,1,0,,,,,,"",""
ball,1,3.2,Vanuatu,JD Allan,PK Matautaava,DC Smith,0,0,,,,,,"",""
ball,1,3.3,Vanuatu,JD Allan,PK Matautaava,DC Smith,1,0,,,,,,"",""
