version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2023/10/31
info,event,ICC Men's T20 World Cup Asia Qualifier Final
info,match_number,7
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,Kushal Malla
info,umpire,Gazi Sohel
info,umpire,Rashid Riaz
info,reserve_umpire,LE Hannibal
info,match_referee,Ali Naqvi
info,winner,Nepal
info,winner_wickets,6
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Syazrul Idrus
info,player,Malaysia,Fitri Sham
info,player,Malaysia,Pavandeep Singh
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Kushal Malla
info,player,Nepal,RK Paudel
info,player,Nepal,S Jora
info,player,Nepal,B Yadav
info,player,Nepal,A Bohara
info,player,Nepal,Gulsan Jha
info,player,Nepal,S Lamichhane
info,player,Nepal,Sompal Kami
info,player,Nepal,Karan KC
info,registry,people,A Bohara,64fb6b15
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,B Yadav,ef07f354
info,registry,people,Fitri Sham,d2ec068c
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LE Hannibal,3c04e91a
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,S Jora,156378d8
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Syazrul Idrus,6dba59e0
info,registry,people,Syed Aziz,6667067e
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Syed Aziz,Zubaidi Zulkifle,Karan KC,0,1,1,,,,,"",""
ball,1,0.2,Malaysia,Syed Aziz,Zubaidi Zulkifle,Karan KC,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Syed Aziz,Zubaidi Zulkifle,Karan KC,1,0,,,,,,"",""
ball,1,0.4,Malaysia,Zubaidi Zulkifle,Syed Aziz,Karan KC,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Zubaidi Zulkifle,Syed Aziz,Karan KC,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Zubaidi Zulkifle,Syed Aziz,Karan KC,4,0,,,,,,"",""
ball,1,0.7,Malaysia,Zubaidi Zulkifle,Syed Aziz,Karan KC,3,0,,,,,,"",""
ball,1,1.1,Malaysia,Zubaidi Zulkifle,Syed Aziz,Sompal Kami,1,0,,,,,,"",""
ball,1,1.2,Malaysia,Syed Aziz,Zubaidi Zulkifle,Sompal Kami,0,2,2,,,,,"",""
ball,1,1.3,Malaysia,Zubaidi Zulkifle,Syed Aziz,Sompal Kami,1,0,,,,,,"",""
ball,1,1.4,Malaysia,Syed Aziz,Zubaidi Zulkifle,Sompal Kami,4,0,,,,,,"",""
ball,1,1.5,Malaysia,Syed Aziz,Zubaidi Zulkifle,Sompal Kami,0,4,,,,4,,"",""
ball,1,1.6,Malaysia,Syed Aziz,Zubaidi Zulkifle,Sompal Kami,0,1,,,,1,,"",""
ball,1,1.7,Malaysia,Zubaidi Zulkifle,Syed Aziz,Sompal Kami,4,0,,,,,,"",""
ball,1,2.1,Malaysia,Syed Aziz,Zubaidi Zulkifle,Kushal Malla,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Syed Aziz,Zubaidi Zulkifle,Kushal Malla,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Syed Aziz,Zubaidi Zulkifle,Kushal Malla,6,0,,,,,,"",""
ball,1,2.4,Malaysia,Syed Aziz,Zubaidi Zulkifle,Kushal Malla,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Syed Aziz,Zubaidi Zulkifle,Kushal Malla,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Syed Aziz,Zubaidi Zulkifle,Kushal Malla,4,0,,,,,,"",""
ball,1,3.1,Malaysia,Zubaidi Zulkifle,Syed Aziz,Karan KC,1,0,,,,,,"",""
