version,1.7.0
info,balls_per_over,6
info,team,Netherlands
info,team,Scotland
info,gender,male
info,season,2024
info,date,2024/05/18
info,event,Netherlands Tri-Nation T20I Series
info,match_number,1
info,venue,"Sportpark Westvliet, The Hague"
info,city,The Hague
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,VJ Kingma
info,umpire,N Bathi
info,umpire,WPM van Liemt
info,reserve_umpire,Rizwan Akram
info,match_referee,Phil Whitticase
info,winner,Netherlands
info,winner_runs,41
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,SA Edwards
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,SA Engelbrecht
info,player,Netherlands,AT Nidamanuru
info,player,Netherlands,LV van Beek
info,player,Netherlands,A Dutt
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,DT Doram
info,player,Netherlands,VJ Kingma
info,player,Scotland,MA Jones
info,player,Scotland,OJ Hairs
info,player,Scotland,C Tear
info,player,Scotland,RD Berrington
info,player,Scotland,MH Cross
info,player,Scotland,MA Leask
info,player,Scotland,MRJ Watt
info,player,Scotland,CN Greaves
info,player,Scotland,CB Sole
info,player,Scotland,GT Main
info,player,Scotland,BJ Currie
info,registry,people,A Dutt,803dbf1d
info,registry,people,AT Nidamanuru,a319edf8
info,registry,people,BJ Currie,2ecd844a
info,registry,people,C Tear,7ffe4817
info,registry,people,CB Sole,469ccead
info,registry,people,CN Greaves,f42064d5
info,registry,people,DT Doram,3bea1983
info,registry,people,GT Main,4ebc70ca
info,registry,people,LV van Beek,782fb776
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MA Jones,05f96194
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MP O'Dowd,b699df47
info,registry,people,MRJ Watt,1252f71a
info,registry,people,N Bathi,96a0edf9
info,registry,people,OJ Hairs,c8a7b014
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Engelbrecht,81a0e294
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,Vikramjit Singh,2a9eee66
info,registry,people,WPM van Liemt,2bd48588
ball,1,0.1,Netherlands,M Levitt,MP O'Dowd,BJ Currie,1,0,,,,,,"",""
ball,1,0.2,Netherlands,MP O'Dowd,M Levitt,BJ Currie,0,0,,,,,,"",""
ball,1,0.3,Netherlands,MP O'Dowd,M Levitt,BJ Currie,1,0,,,,,,"",""
ball,1,0.4,Netherlands,M Levitt,MP O'Dowd,BJ Currie,0,0,,,,,,"",""
ball,1,0.5,Netherlands,M Levitt,MP O'Dowd,BJ Currie,4,0,,,,,,"",""
ball,1,0.6,Netherlands,M Levitt,MP O'Dowd,BJ Currie,0,0,,,,,,"",""
ball,1,1.1,Netherlands,MP O'Dowd,M Levitt,CB Sole,0,0,,,,,,"",""
ball,1,1.2,Netherlands,MP O'Dowd,M Levitt,CB Sole,4,0,,,,,,"",""
ball,1,1.3,Netherlands,MP O'Dowd,M Levitt,CB Sole,0,1,,,,1,,"",""
ball,1,1.4,Netherlands,M Levitt,MP O'Dowd,CB Sole,6,0,,,,,,"",""
ball,1,1.5,Netherlands,M Levitt,MP O'Dowd,CB Sole,0,0,,,,,,"",""
ball,1,1.6,Netherlands,M Levitt,MP O'Dowd,CB Sole,0,0,,,,,,"",""
ball,1,2.1,Netherlands,MP O'Dowd,M Levitt,BJ Currie,0,1,,,,1,,"",""
ball,1,2.2,Netherlands,M Levitt,MP O'Dowd,BJ Currie,0,0,,,,,,"",""
ball,1,2.3,Netherlands,M Levitt,MP O'Dowd,BJ Currie,4,0,,,,,,"",""
ball,1,2.4,Netherlands,M Levitt,MP O'Dowd,BJ Currie,0,0,,,,,,"",""
ball,1,2.5,Netherlands,M Levitt,MP O'Dowd,BJ Currie,0,0,,,,,,"",""
ball,1,2.6,Netherlands,M Levitt,MP O'Dowd,BJ Currie,2,0,,,,,,"",""
ball,1,3.1,Netherlands,MP O'Dowd,M Levitt,GT Main,1,0,,,,,,"",""
ball,1,3.2,Netherlands,M Levitt,MP O'Dowd,GT Main,4,0,,,,,,"",""
ball,1,3.3,Netherlands,M Levitt,MP O'Dowd,GT Main,0,0,,,,,,"",""
ball,1,3.4,Netherlands,M Levitt,MP O'Dowd,GT Main,1,0,,,,,,"",""
ball,1,3.5,Netherlands,MP O'Dowd,M Levitt,GT Main,0,0,,,,,,"",""
