version,1.7.0
info,balls_per_over,6
info,team,Norway
info,team,Portugal
info,gender,female
info,season,2025
info,date,2025/04/09
info,event,Norway Women tour of Portugal
info,match_number,3
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,Portugal
info,toss_decision,field
info,player_of_match,S Foo-Ryland
info,winner,Portugal
info,winner_wickets,9
info,player,Norway,AS Gorad
info,player,Norway,Ayesha Hasan
info,player,Norway,R Immadi
info,player,Norway,Nayab Razwan
info,player,Norway,A Rautela
info,player,Norway,Bijeyata Kumari
info,player,Norway,VB Viyala
info,player,Norway,Mirab Razwan
info,player,Norway,P Agrawal
info,player,Norway,Lopamudra
info,player,Norway,Alina Aslam
info,player,Portugal,S Foo-Ryland
info,player,Portugal,SG Luijke
info,player,Portugal,GS Sequeira
info,player,Portugal,B Maximo
info,player,Portugal,K Sequiera
info,player,Portugal,J de Figueiredo
info,player,Portugal,IK Cheema
info,player,Portugal,I Kaur
info,player,Portugal,Joanna Child
info,player,Portugal,Mariam Waseem
info,player,Portugal,Afsheen Ahmed
info,registry,people,A Rautela,e113c6c7
info,registry,people,AS Gorad,2c8d0953
info,registry,people,Afsheen Ahmed,ebfc9514
info,registry,people,Alina Aslam,fbffb752
info,registry,people,Ayesha Hasan,6a3de477
info,registry,people,B Maximo,27d95005
info,registry,people,Bijeyata Kumari,a5fc18a7
info,registry,people,GS Sequeira,949d1cae
info,registry,people,I Kaur,58da4880
info,registry,people,IK Cheema,01abe2db
info,registry,people,J de Figueiredo,8d35b7da
info,registry,people,Joanna Child,5bdaa121
info,registry,people,K Sequiera,29269e98
info,registry,people,Lopamudra,ff4509d5
info,registry,people,Mariam Waseem,09653658
info,registry,people,Mirab Razwan,498031f9
info,registry,people,Nayab Razwan,f12e21a0
info,registry,people,P Agrawal,bb1fcd51
info,registry,people,R Immadi,baeae6dd
info,registry,people,S Foo-Ryland,5ba89b11
info,registry,people,SG Luijke,c0a34f79
info,registry,people,VB Viyala,228a747d
ball,1,0.1,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,0,0,,,,,,"",""
ball,1,0.2,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,0,0,,,,,,"",""
ball,1,0.3,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,4,0,,,,,,"",""
ball,1,0.4,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,0,0,,,,,,"",""
ball,1,0.5,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,0,1,1,,,,,"",""
ball,1,0.6,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,0,0,,,,,,"",""
ball,1,0.7,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,1,0,,,,,,"",""
ball,1,1.1,Norway,AS Gorad,Ayesha Hasan,IK Cheema,0,0,,,,,,"",""
ball,1,1.2,Norway,AS Gorad,Ayesha Hasan,IK Cheema,0,0,,,,,,"",""
ball,1,1.3,Norway,AS Gorad,Ayesha Hasan,IK Cheema,0,0,,,,,,"",""
ball,1,1.4,Norway,AS Gorad,Ayesha Hasan,IK Cheema,0,0,,,,,,"",""
ball,1,1.5,Norway,AS Gorad,Ayesha Hasan,IK Cheema,0,0,,,,,,"",""
ball,1,1.6,Norway,AS Gorad,Ayesha Hasan,IK Cheema,0,0,,,,,,"",""
ball,1,2.1,Norway,Ayesha Hasan,AS Gorad,J de Figueiredo,0,0,,,,,,"",""
ball,1,2.2,Norway,Ayesha Hasan,AS Gorad,J de Figueiredo,0,0,,,,,,"",""
ball,1,2.3,Norway,Ayesha Hasan,AS Gorad,J de Figueiredo,2,0,,,,,,"",""
ball,1,2.4,Norway,Ayesha Hasan,AS Gorad,J de Figueiredo,1,0,,,,,,"",""
ball,1,2.5,Norway,AS Gorad,Ayesha Hasan,J de Figueiredo,0,1,,,,1,,"",""
ball,1,2.6,Norway,Ayesha Hasan,AS Gorad,J de Figueiredo,0,0,,,,,,"",""
