version,1.7.0
info,balls_per_over,6
info,team,Sierra Leone
info,team,Ivory Coast
info,gender,male
info,season,2024/25
info,date,2024/11/23
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C
info,match_number,2
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Sierra Leone
info,toss_decision,bat
info,player_of_match,G Ngegba
info,umpire,A Louw
info,umpire,A Jacobs
info,reserve_umpire,Kehinde Olanbiwonnu
info,match_referee,O Chirombe
info,winner,Sierra Leone
info,winner_runs,168
info,player,Sierra Leone,A Kainessie
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,Y Jalloh
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,S Conteh
info,player,Ivory Coast,OK Mohamed
info,player,Ivory Coast,KY Wilfried
info,player,Ivory Coast,MC Alex
info,player,Ivory Coast,KMA Aziz
info,player,Ivory Coast,D Issiaka
info,player,Ivory Coast,M Ibrahim
info,player,Ivory Coast,K Nagnama
info,player,Ivory Coast,DKJ Claude
info,player,Ivory Coast,QF Djakaridja
info,player,Ivory Coast,LKW Ezechiel
info,player,Ivory Coast,PK Dimitri
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Jacobs,70d117de
info,registry,people,A Kainessie,c7acf05f
info,registry,people,A Louw,5eecae5d
info,registry,people,A Turay,11a22126
info,registry,people,C Bah,7213d757
info,registry,people,D Issiaka,933b30c9
info,registry,people,DKJ Claude,096601c5
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,J Bangura,d7acab5d
info,registry,people,K Nagnama,6770bccd
info,registry,people,KMA Aziz,e8cfd743
info,registry,people,KY Wilfried,5e72608f
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,L Lamin,5a970aab
info,registry,people,LKW Ezechiel,f80bd415
info,registry,people,M Ibrahim,253bc9d8
info,registry,people,MC Alex,3a200eb2
info,registry,people,O Chirombe,6345307f
info,registry,people,OK Mohamed,3cb42681
info,registry,people,PK Dimitri,7e665859
info,registry,people,QF Djakaridja,9ae09b37
info,registry,people,R Coker,3239c8a9
info,registry,people,S Conteh,8f70fff7
info,registry,people,Y Jalloh,7fe9a7e6
ball,1,0.1,Sierra Leone,A Kainessie,A Turay,KMA Aziz,0,2,2,,,,,"",""
ball,1,0.2,Sierra Leone,A Turay,A Kainessie,KMA Aziz,0,2,2,,,,,"",""
ball,1,0.3,Sierra Leone,A Kainessie,A Turay,KMA Aziz,1,0,,,,,,"",""
ball,1,0.4,Sierra Leone,A Turay,A Kainessie,KMA Aziz,0,0,,,,,,"",""
ball,1,0.5,Sierra Leone,A Turay,A Kainessie,KMA Aziz,0,0,,,,,,"",""
ball,1,0.6,Sierra Leone,A Turay,A Kainessie,KMA Aziz,4,0,,,,,,"",""
ball,1,0.7,Sierra Leone,A Turay,A Kainessie,KMA Aziz,4,0,,,,,,"",""
ball,1,0.8,Sierra Leone,A Turay,A Kainessie,KMA Aziz,0,0,,,,,,bowled,A Turay
ball,1,1.1,Sierra Leone,A Kainessie,Y Jalloh,PK Dimitri,4,0,,,,,,"",""
ball,1,1.2,Sierra Leone,A Kainessie,Y Jalloh,PK Dimitri,2,0,,,,,,"",""
ball,1,1.3,Sierra Leone,A Kainessie,Y Jalloh,PK Dimitri,0,1,1,,,,,"",""
ball,1,1.4,Sierra Leone,A Kainessie,Y Jalloh,PK Dimitri,1,0,,,,,,"",""
ball,1,1.5,Sierra Leone,Y Jalloh,A Kainessie,PK Dimitri,0,0,,,,,,"",""
ball,1,1.6,Sierra Leone,Y Jalloh,A Kainessie,PK Dimitri,0,1,,,1,,,"",""
ball,1,1.7,Sierra Leone,A Kainessie,Y Jalloh,PK Dimitri,0,0,,,,,,"",""
ball,1,2.1,Sierra Leone,Y Jalloh,A Kainessie,MC Alex,2,0,,,,,,"",""
ball,1,2.2,Sierra Leone,Y Jalloh,A Kainessie,MC Alex,0,0,,,,,,"",""
ball,1,2.3,Sierra Leone,Y Jalloh,A Kainessie,MC Alex,0,0,,,,,,"",""
ball,1,2.4,Sierra Leone,Y Jalloh,A Kainessie,MC Alex,1,0,,,,,,"",""
ball,1,2.5,Sierra Leone,A Kainessie,Y Jalloh,MC Alex,1,0,,,,,,"",""
ball,1,2.6,Sierra Leone,Y Jalloh,A Kainessie,MC Alex,1,0,,,,,,"",""
ball,1,3.1,Sierra Leone,Y Jalloh,A Kainessie,LKW Ezechiel,0,0,,,,,,"",""
ball,1,3.2,Sierra Leone,Y Jalloh,A Kainessie,LKW Ezechiel,1,0,,,,,,"",""
ball,1,3.3,Sierra Leone,A Kainessie,Y Jalloh,LKW Ezechiel,0,0,,,,,,"",""
