version,1.7.0
info,balls_per_over,6
info,team,Germany
info,team,Jersey
info,gender,female
info,season,2024
info,date,2024/07/26
info,event,Germany Women's T20I Tri-Series
info,match_number,2
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Germany
info,toss_decision,bat
info,player_of_match,JE Ronalds
info,umpire,K Arun Kumar
info,umpire,J Flannery
info,reserve_umpire,N Dhanawade
info,winner,Germany
info,winner_runs,28
info,player,Germany,JE Ronalds
info,player,Germany,A Bierwisch
info,player,Germany,S Kolcharam
info,player,Germany,A Doddaballapur
info,player,Germany,S Sadarangani
info,player,Germany,K Vijayaraghavan
info,player,Germany,A Kohli
info,player,Germany,Rameesha Shahid
info,player,Germany,EC Bargna
info,player,Germany,MS Beresford
info,player,Germany,ST Frohnmayer
info,player,Jersey,A Aikenhead
info,player,Jersey,A Merritt
info,player,Jersey,C Miles
info,player,Jersey,T Smith
info,player,Jersey,R Bowley
info,player,Jersey,L Greig
info,player,Jersey,G Wetherall
info,player,Jersey,CM Greechan
info,player,Jersey,E Gouge
info,player,Jersey,M Maguire
info,player,Jersey,F Tanguy
info,registry,people,A Aikenhead,007f121f
info,registry,people,A Bierwisch,b51d654f
info,registry,people,A Doddaballapur,fe4f5d2b
info,registry,people,A Kohli,eb9082b2
info,registry,people,A Merritt,4c87bd01
info,registry,people,C Miles,80f16d29
info,registry,people,CM Greechan,569bbcbb
info,registry,people,E Gouge,e01e17ee
info,registry,people,EC Bargna,9908d470
info,registry,people,F Tanguy,c46400b7
info,registry,people,G Wetherall,5c77d7cb
info,registry,people,J Flannery,22431c5a
info,registry,people,JE Ronalds,d4f98302
info,registry,people,K Arun Kumar,8d34b308
info,registry,people,K Vijayaraghavan,048da365
info,registry,people,L Greig,0e3e8ce3
info,registry,people,M Maguire,0441a1f5
info,registry,people,MS Beresford,26eb73f9
info,registry,people,N Dhanawade,bc68912b
info,registry,people,R Bowley,a42406e2
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,S Kolcharam,761c929e
info,registry,people,S Sadarangani,acd030a0
info,registry,people,ST Frohnmayer,7e8bcfc1
info,registry,people,T Smith,f24ffaab
ball,1,0.1,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,0.2,Germany,JE Ronalds,A Bierwisch,CM Greechan,2,0,,,,,,"",""
ball,1,0.3,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,0.4,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,1,1,,,,,"",""
ball,1,0.5,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,2,,,2,,,"",""
ball,1,0.6,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,1,1,,,,,"",""
ball,1,0.7,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,1,,,,1,,"",""
ball,1,0.8,Germany,A Bierwisch,JE Ronalds,CM Greechan,0,0,,,,,,"",""
ball,1,1.1,Germany,JE Ronalds,A Bierwisch,A Merritt,0,0,,,,,,"",""
ball,1,1.2,Germany,JE Ronalds,A Bierwisch,A Merritt,0,0,,,,,,"",""
ball,1,1.3,Germany,JE Ronalds,A Bierwisch,A Merritt,1,0,,,,,,"",""
ball,1,1.4,Germany,A Bierwisch,JE Ronalds,A Merritt,0,0,,,,,,"",""
ball,1,1.5,Germany,A Bierwisch,JE Ronalds,A Merritt,0,0,,,,,,"",""
ball,1,1.6,Germany,A Bierwisch,JE Ronalds,A Merritt,1,0,,,,,,"",""
ball,1,2.1,Germany,A Bierwisch,JE Ronalds,CM Greechan,1,0,,,,,,"",""
ball,1,2.2,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,2.3,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,2.4,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,2.5,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,2.6,Germany,JE Ronalds,A Bierwisch,CM Greechan,0,0,,,,,,"",""
ball,1,3.1,Germany,A Bierwisch,JE Ronalds,A Merritt,0,0,,,,,,"",""
ball,1,3.2,Germany,A Bierwisch,JE Ronalds,A Merritt,0,0,,,,,,"",""
