version,1.7.0
info,balls_per_over,6
info,team,Philippines
info,team,Vanuatu
info,gender,male
info,season,2023
info,date,2023/07/29
info,event,ICC Men's T20 World Cup East Asia-Pacific Qualifier
info,match_number,11
info,venue,"Amini Park, Port Moresby"
info,city,Port Moresby
info,toss_winner,Philippines
info,toss_decision,bat
info,player_of_match,KDA Lukies
info,umpire,A Kapa
info,umpire,CA Polosak
info,reserve_umpire,SB Haig
info,match_referee,WC Labrooy
info,winner,Vanuatu
info,winner_wickets,3
info,player,Philippines,AS Samra
info,player,Philippines,GR Russ
info,player,Philippines,J Alegra
info,player,Philippines,DC Smith
info,player,Philippines,JEA Doctora
info,player,Philippines,G Chohan
info,player,Philippines,ASF Sirah
info,player,Philippines,Kapil Kumar
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,KDA Lukies
info,player,Philippines,LJ Myott
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,C Tommy
info,player,Vanuatu,A Mansale
info,player,Vanuatu,J Rasu
info,player,Vanuatu,R Tari
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,W Wotu
info,player,Vanuatu,J Vira
info,player,Vanuatu,SH Obed
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,D Wotu
info,registry,people,A Kapa,7c9c0f18
info,registry,people,A Mansale,a22b4f3f
info,registry,people,AS Samra,bf976fb0
info,registry,people,ASF Sirah,06bcade5
info,registry,people,C Tommy,c6d4cff0
info,registry,people,CA Polosak,26a360d2
info,registry,people,D Wotu,9585854d
info,registry,people,DC Smith,a968d39b
info,registry,people,G Chohan,b978780e
info,registry,people,GR Russ,1f28fdfd
info,registry,people,Huzaifa Mohammed,65a29a30
info,registry,people,J Alegra,ac6be7ed
info,registry,people,J Rasu,1021b6e5
info,registry,people,J Vira,2090e94d
info,registry,people,JEA Doctora,43449b1e
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,KDA Lukies,14af45c4
info,registry,people,Kapil Kumar,d4e70d7c
info,registry,people,LJ Myott,3f9d95f9
info,registry,people,N Nipiko,c498c510
info,registry,people,R Tari,c4d19735
info,registry,people,SB Haig,811655b3
info,registry,people,SH Obed,f49c401e
info,registry,people,W Nalisa,673be48f
info,registry,people,W Wotu,6b25ef46
info,registry,people,WC Labrooy,29d4e29b
ball,1,0.1,Philippines,AS Samra,GR Russ,N Nipiko,0,0,,,,,,"",""
ball,1,0.2,Philippines,AS Samra,GR Russ,N Nipiko,4,0,,,,,,"",""
ball,1,0.3,Philippines,AS Samra,GR Russ,N Nipiko,0,0,,,,,,"",""
ball,1,0.4,Philippines,AS Samra,GR Russ,N Nipiko,0,0,,,,,,"",""
ball,1,0.5,Philippines,AS Samra,GR Russ,N Nipiko,0,0,,,,,,"",""
ball,1,0.6,Philippines,AS Samra,GR Russ,N Nipiko,2,0,,,,,,"",""
ball,1,1.1,Philippines,GR Russ,AS Samra,J Rasu,0,1,1,,,,,"",""
ball,1,1.2,Philippines,GR Russ,AS Samra,J Rasu,0,0,,,,,,"",""
ball,1,1.3,Philippines,GR Russ,AS Samra,J Rasu,2,0,,,,,,"",""
ball,1,1.4,Philippines,GR Russ,AS Samra,J Rasu,0,0,,,,,,"",""
ball,1,1.5,Philippines,GR Russ,AS Samra,J Rasu,0,0,,,,,,"",""
ball,1,1.6,Philippines,GR Russ,AS Samra,J Rasu,0,0,,,,,,"",""
ball,1,1.7,Philippines,GR Russ,AS Samra,J Rasu,1,0,,,,,,"",""
ball,1,2.1,Philippines,GR Russ,AS Samra,D Wotu,0,0,,,,,,"",""
ball,1,2.2,Philippines,GR Russ,AS Samra,D Wotu,0,0,,,,,,"",""
ball,1,2.3,Philippines,GR Russ,AS Samra,D Wotu,1,0,,,,,,"",""
ball,1,2.4,Philippines,AS Samra,GR Russ,D Wotu,1,0,,,,,,"",""
ball,1,2.5,Philippines,GR Russ,AS Samra,D Wotu,1,0,,,,,,"",""
ball,1,2.6,Philippines,AS Samra,GR Russ,D Wotu,0,0,,,,,,"",""
ball,1,3.1,Philippines,GR Russ,AS Samra,J Rasu,4,0,,,,,,"",""
ball,1,3.2,Philippines,GR Russ,AS Samra,J Rasu,1,0,,,,,,run out,AS Samra
ball,1,3.3,Philippines,GR Russ,J Alegra,J Rasu,0,0,,,,,,"",""
ball,1,3.4,Philippines,GR Russ,J Alegra,J Rasu,0,0,,,,,,"",""
ball,1,3.5,Philippines,GR Russ,J Alegra,J Rasu,0,0,,,,,,"",""
ball,1,3.6,Philippines,GR Russ,J Alegra,J Rasu,1,0,,,,,,"",""
