version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,Rwanda
info,gender,female
info,season,2023/24
info,date,2023/12/14
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,11
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,M Gorases
info,umpire,P Sizara
info,umpire,S Kintu
info,reserve_umpire,Patric Makumbi
info,match_referee,O Chirombe
info,winner,Namibia
info,winner_runs,11
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,M Gorases
info,player,Namibia,E Van Zyl
info,player,Namibia,SN Shihepo
info,player,Namibia,JA Diergaardt
info,player,Namibia,KA Green
info,player,Namibia,M Mwatile
info,player,Namibia,I van Zyl
info,player,Namibia,V Hamunyela
info,player,Namibia,N Benjamin
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,H Ishimwe
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,C Uwase
info,player,Rwanda,MJ Tumukunde
info,player,Rwanda,B Murekatete
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,Rosine Irera
info,player,Rwanda,J Nyirankundineza
info,player,Rwanda,I Muhawenimana
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Uwase,808bb510
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,I Muhawenimana,2f37396f
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,J Nyirankundineza,7e7d2fe5
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,MJ Tumukunde,026b815f
info,registry,people,N Benjamin,58317766
info,registry,people,O Chirombe,6345307f
info,registry,people,P Sizara,5d45bb7f
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Kintu,ff387f93
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,V Hamunyela,d758a366
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,4,0,,,,,,"",""
ball,1,0.2,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,0,0,,,,,,"",""
ball,1,0.3,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,0,0,,,,,,"",""
ball,1,0.4,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,1,0,,,,,,"",""
ball,1,0.5,Namibia,Yasmeen Khan,SA Wittmann,Rosine Irera,0,0,,,,,,"",""
ball,1,0.6,Namibia,Yasmeen Khan,SA Wittmann,Rosine Irera,0,0,,,,,,"",""
ball,1,1.1,Namibia,SA Wittmann,Yasmeen Khan,MJ Tumukunde,0,0,,,,,,"",""
ball,1,1.2,Namibia,SA Wittmann,Yasmeen Khan,MJ Tumukunde,1,0,,,,,,"",""
ball,1,1.3,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,1.4,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,1.5,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,1.6,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,2.1,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,0,0,,,,,,"",""
ball,1,2.2,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,1,0,,,,,,"",""
ball,1,2.3,Namibia,Yasmeen Khan,SA Wittmann,Rosine Irera,1,0,,,,,,"",""
ball,1,2.4,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,2,0,,,,,,"",""
ball,1,2.5,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,0,0,,,,,,"",""
ball,1,2.6,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,0,0,,,,,,"",""
ball,1,3.1,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,2,0,,,,,,"",""
ball,1,3.2,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,3.3,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,3.4,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,6,0,,,,,,"",""
ball,1,3.5,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,3.6,Namibia,Yasmeen Khan,SA Wittmann,MJ Tumukunde,0,0,,,,,,"",""
ball,1,4.1,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,1,0,,,,,,"",""
ball,1,4.2,Namibia,Yasmeen Khan,SA Wittmann,Rosine Irera,0,0,,,,,,"",""
ball,1,4.3,Namibia,Yasmeen Khan,SA Wittmann,Rosine Irera,1,0,,,,,,"",""
ball,1,4.4,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,4,0,,,,,,"",""
ball,1,4.5,Namibia,SA Wittmann,Yasmeen Khan,Rosine Irera,0,0,,,,,,"",""
