version,1.6.0
info,balls_per_over,6
info,team,Belgium
info,team,Luxembourg
info,gender,male
info,season,2020
info,date,2020/08/29
info,event,Luxembourg Twenty20 Tri-Series
info,match_number,3
info,venue,Pierre Werner Cricket Ground
info,city,Walferdange
info,toss_winner,Belgium
info,toss_decision,bat
info,winner,Belgium
info,winner_runs,37
info,player,Belgium,S Jamil
info,player,Belgium,Muhammad Muneeb
info,player,Belgium,Mamoon Latif
info,player,Belgium,Wahidullah Usmani
info,player,Belgium,Shaheryar Butt
info,player,Belgium,Sazzad Hosen
info,player,Belgium,Saber Zakhil
info,player,Belgium,Murid Ekrami
info,player,Belgium,Ashiqullah Said
info,player,Belgium,Khalid Ahmadi
info,player,Belgium,NSK Mehta
info,player,Luxembourg,J Barker
info,player,Luxembourg,S Browne
info,player,Luxembourg,J Mees
info,player,Luxembourg,V Vijh
info,player,Luxembourg,T Whiteman
info,player,Luxembourg,S Kushretha
info,player,Luxembourg,R Heyns
info,player,Luxembourg,M Dixit
info,player,Luxembourg,WJ Cope
info,player,Luxembourg,M Cope
info,player,Luxembourg,P Malav
info,registry,people,Ashiqullah Said,407d13cc
info,registry,people,J Barker,c18cecbe
info,registry,people,J Mees,ab1445ea
info,registry,people,Khalid Ahmadi,cf0b9a0d
info,registry,people,M Cope,c83c594d
info,registry,people,M Dixit,d85d52c2
info,registry,people,Mamoon Latif,8d78d0d0
info,registry,people,Muhammad Muneeb,5338b9f5
info,registry,people,Murid Ekrami,76b19864
info,registry,people,NSK Mehta,d516a95f
info,registry,people,P Malav,02b078b1
info,registry,people,R Heyns,8708c072
info,registry,people,S Browne,71847f28
info,registry,people,S Jamil,3d6617c6
info,registry,people,S Kushretha,4e3fd330
info,registry,people,Saber Zakhil,036dcf9b
info,registry,people,Sazzad Hosen,4dd6a707
info,registry,people,Shaheryar Butt,b6bad765
info,registry,people,T Whiteman,472455a3
info,registry,people,V Vijh,b857468a
info,registry,people,WJ Cope,fb34b0ec
info,registry,people,Wahidullah Usmani,6d27e42d
ball,1,0.1,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,0.2,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,0.3,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,0.4,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,0.5,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,0.6,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,4,0,,,,,,"",""
ball,1,1.1,Belgium,Muhammad Muneeb,S Jamil,S Kushretha,4,0,,,,,,"",""
ball,1,1.2,Belgium,Muhammad Muneeb,S Jamil,S Kushretha,0,0,,,,,,"",""
ball,1,1.3,Belgium,Muhammad Muneeb,S Jamil,S Kushretha,1,0,,,,,,"",""
ball,1,1.4,Belgium,S Jamil,Muhammad Muneeb,S Kushretha,0,0,,,,,,"",""
ball,1,1.5,Belgium,S Jamil,Muhammad Muneeb,S Kushretha,0,0,,,,,,"",""
ball,1,1.6,Belgium,S Jamil,Muhammad Muneeb,S Kushretha,1,0,,,,,,"",""
ball,1,2.1,Belgium,S Jamil,Muhammad Muneeb,WJ Cope,0,0,,,,,,caught,S Jamil
ball,1,2.2,Belgium,Mamoon Latif,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,2.3,Belgium,Mamoon Latif,Muhammad Muneeb,WJ Cope,0,1,1,,,,,"",""
ball,1,2.4,Belgium,Mamoon Latif,Muhammad Muneeb,WJ Cope,1,0,,,,,,"",""
ball,1,2.5,Belgium,Muhammad Muneeb,Mamoon Latif,WJ Cope,1,0,,,,,,"",""
ball,1,2.6,Belgium,Mamoon Latif,Muhammad Muneeb,WJ Cope,0,0,,,,,,"",""
ball,1,2.7,Belgium,Mamoon Latif,Muhammad Muneeb,WJ Cope,2,0,,,,,,"",""
ball,1,3.1,Belgium,Muhammad Muneeb,Mamoon Latif,S Kushretha,0,0,,,,,,caught,Muhammad Muneeb
ball,1,3.2,Belgium,Wahidullah Usmani,Mamoon Latif,S Kushretha,0,0,,,,,,"",""
ball,1,3.3,Belgium,Wahidullah Usmani,Mamoon Latif,S Kushretha,1,0,,,,,,"",""
ball,1,3.4,Belgium,Mamoon Latif,Wahidullah Usmani,S Kushretha,4,0,,,,,,"",""
ball,1,3.5,Belgium,Mamoon Latif,Wahidullah Usmani,S Kushretha,0,0,,,,,,"",""
ball,1,3.6,Belgium,Mamoon Latif,Wahidullah Usmani,S Kushretha,1,0,,,,,,"",""
ball,1,4.1,Belgium,Mamoon Latif,Wahidullah Usmani,WJ Cope,1,0,,,,,,"",""
ball,1,4.2,Belgium,Wahidullah Usmani,Mamoon Latif,WJ Cope,1,0,,,,,,"",""
ball,1,4.3,Belgium,Mamoon Latif,Wahidullah Usmani,WJ Cope,1,0,,,,,,"",""
ball,1,4.4,Belgium,Wahidullah Usmani,Mamoon Latif,WJ Cope,1,0,,,,,,"",""
ball,1,4.5,Belgium,Mamoon Latif,Wahidullah Usmani,WJ Cope,1,0,,,,,,"",""
ball,1,4.6,Belgium,Wahidullah Usmani,Mamoon Latif,WJ Cope,0,0,,,,,,"",""
