version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,United Arab Emirates
info,gender,female
info,season,2023
info,date,2023/09/01
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,9
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,KKN Egodage
info,player_of_match,KKN Egodage
info,umpire,N Perera
info,umpire,Sarika Prasad
info,reserve_umpire,VK Jha
info,match_referee,M Nayyar
info,winner,United Arab Emirates
info,winner_wickets,7
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Wan Julia
info,player,Malaysia,Wan Nor Zulaika
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,J Intan
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Nur Arianna Natsya
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,S Kotte
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Chaya Mughal,77b26349
info,registry,people,ER Oza,fdc6b34d
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,J Intan,2dfdd316
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,M Nayyar,b7bccddb
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,N Perera,129709f9
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,VK Jha,5d46eb72
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Wan Nor Zulaika,ae99724d
ball,1,0.1,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,I Nandakumar,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,I Nandakumar,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,I Nandakumar,4,0,,,,,,"",""
ball,1,0.4,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,I Nandakumar,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,I Nandakumar,4,0,,,,,,"",""
ball,1,0.6,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,I Nandakumar,0,0,,,,,,"",""
ball,1,1.1,Malaysia,WA Duraisingam,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,caught,WA Duraisingam
ball,1,1.2,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.3,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,"",""
ball,1,2.1,Malaysia,Ainna Hamizah Hashim,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Ainna Hamizah Hashim,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Ainna Hamizah Hashim,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,2.4,Malaysia,Ainna Hamizah Hashim,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Ainna Hamizah Hashim,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Ainna Hamizah Hashim,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,0,0,,,,,,"",""
ball,1,3.2,Malaysia,Mas Elysa,Ainna Hamizah Hashim,Chaya Mughal,1,0,,,,,,"",""
ball,1,3.3,Malaysia,Ainna Hamizah Hashim,Mas Elysa,Chaya Mughal,0,0,,,,,,bowled,Ainna Hamizah Hashim
ball,1,3.4,Malaysia,Wan Julia,Mas Elysa,Chaya Mughal,0,0,,,,,,"",""
ball,1,3.5,Malaysia,Wan Julia,Mas Elysa,Chaya Mughal,1,0,,,,,,"",""
ball,1,3.6,Malaysia,Mas Elysa,Wan Julia,Chaya Mughal,0,0,,,,,,"",""
ball,1,4.1,Malaysia,Wan Julia,Mas Elysa,S Kotte,0,0,,,,,,"",""
ball,1,4.2,Malaysia,Wan Julia,Mas Elysa,S Kotte,1,0,,,,,,"",""
