version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2024/03/10
info,event,Nepal tour of Hong Kong
info,match_number,1
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Nepal
info,toss_decision,field
info,umpire,John Prakash
info,umpire,SJ D'Cruz
info,reserve_umpire,Niaz Ali
info,match_referee,G Sankaranarayanan
info,outcome,no result
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Nepal,RK Paudel
info,player,Nepal,K Bhurtel
info,player,Nepal,B Bhandari
info,player,Nepal,Karan KC
info,player,Nepal,B Yadav
info,player,Nepal,Aarif Sheikh
info,player,Nepal,S Jora
info,player,Nepal,Gulsan Jha
info,player,Nepal,A Bohara
info,player,Nepal,Pratis GC
info,player,Nepal,Lokesh Bam
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,B Bhandari,82342b13
info,registry,people,B Yadav,ef07f354
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,John Prakash,b5f3d429
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Lokesh Bam,75c8a26b
info,registry,people,M Coetzee,3f149080
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Niaz Ali,e33a357d
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Pratis GC,c1077ba3
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
ball,1,0.1,Hong Kong,M Coetzee,Nizakat Khan,Karan KC,0,0,,,,,,caught,M Coetzee
ball,1,0.2,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,0,0,,,,,,"",""
ball,1,0.3,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,0,0,,,,,,"",""
ball,1,0.4,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,0,0,,,,,,"",""
ball,1,0.5,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,1,0,,,,,,"",""
ball,1,0.6,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,4,0,,,,,,"",""
ball,1,1.1,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,0,0,,,,,,"",""
ball,1,1.2,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,2,0,,,,,,"",""
ball,1,1.3,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,4,0,,,,,,"",""
ball,1,1.4,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,1,0,,,,,,"",""
ball,1,1.5,Hong Kong,Nizakat Khan,Anshuman Rath,Pratis GC,0,0,,,,,,"",""
ball,1,1.6,Hong Kong,Nizakat Khan,Anshuman Rath,Pratis GC,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,2,0,,,,,,"",""
ball,1,2.2,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,6,0,,,,,,"",""
ball,1,2.3,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,1,0,,,,,,"",""
ball,1,2.4,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,2.5,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,1,0,,,,,,"",""
ball,1,2.6,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,3.1,Hong Kong,Nizakat Khan,Anshuman Rath,Gulsan Jha,1,0,,,,,,"",""
ball,1,3.2,Hong Kong,Anshuman Rath,Nizakat Khan,Gulsan Jha,0,0,,,,,,"",""
ball,1,3.3,Hong Kong,Anshuman Rath,Nizakat Khan,Gulsan Jha,4,0,,,,,,"",""
ball,1,3.4,Hong Kong,Anshuman Rath,Nizakat Khan,Gulsan Jha,4,0,,,,,,"",""
ball,1,3.5,Hong Kong,Anshuman Rath,Nizakat Khan,Gulsan Jha,0,0,,,,,,"",""
ball,1,3.6,Hong Kong,Anshuman Rath,Nizakat Khan,Gulsan Jha,1,0,,,,,,"",""
ball,1,4.1,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,1,0,,,,,,"",""
ball,1,4.2,Hong Kong,Nizakat Khan,Anshuman Rath,Pratis GC,0,0,,,,,,"",""
ball,1,4.3,Hong Kong,Nizakat Khan,Anshuman Rath,Pratis GC,1,0,,,,,,"",""
ball,1,4.4,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,0,1,1,,,,,"",""
ball,1,4.5,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,4,0,,,,,,"",""
ball,1,4.6,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,1,0,,,,,,"",""
ball,1,4.7,Hong Kong,Nizakat Khan,Anshuman Rath,Pratis GC,1,0,,,,,,"",""
ball,1,5.1,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,0,0,,,,,,"",""
ball,1,5.2,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,0,0,,,,,,"",""
ball,1,5.3,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,0,0,,,,,,"",""
ball,1,5.4,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,0,0,,,,,,"",""
ball,1,5.5,Hong Kong,Nizakat Khan,Anshuman Rath,Karan KC,1,0,,,,,,"",""
ball,1,5.6,Hong Kong,Anshuman Rath,Nizakat Khan,Karan KC,1,0,,,,,,"",""
ball,1,6.1,Hong Kong,Anshuman Rath,Nizakat Khan,Pratis GC,1,0,,,,,,"",""
ball,1,6.2,Hong Kong,Nizakat Khan,Anshuman Rath,Pratis GC,4,0,,,,,,"",""
