version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,United Arab Emirates
info,gender,male
info,season,2023/24
info,date,2023/10/30
info,event,ICC Men’s T20 World Cup Asia Qualifier Final
info,match_number,1
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Ali Naseer
info,umpire,BB Pradhan
info,umpire,Sarika Prasad
info,reserve_umpire,V Kalidas
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_wickets,5
info,player,Bahrain,Umer Imtiaz
info,player,Bahrain,Imran Ali Butt
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Sachin Kumar
info,player,Bahrain,Ali Dawood
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,A Sharma
info,player,United Arab Emirates,V Aravind
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,KP Meiyappan
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Zahoor Khan
info,registry,people,A Sharafu,06cad4f0
info,registry,people,A Sharma,5661ef90
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ali Dawood,596982e6
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,Basil Hameed,adbf0400
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Ali Butt,5d60560f
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,KP Meiyappan,b91f2a31
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Sachin Kumar,b76b2d25
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Umer Imtiaz,7b729851
info,registry,people,V Aravind,cddafe26
info,registry,people,V Kalidas,42d76418
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahoor Khan,f0e293b0
ball,1,0.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.4,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.5,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.6,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,1,0,,,,,,"",""
ball,1,1.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,1.4,Bahrain,Imran Ali Butt,Umer Imtiaz,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.5,Bahrain,Imran Ali Butt,Umer Imtiaz,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,1.6,Bahrain,Imran Ali Butt,Umer Imtiaz,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,2.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.3,Bahrain,Umer Imtiaz,Imran Ali Butt,Junaid Siddique,0,1,,,,1,,"",""
ball,1,2.4,Bahrain,Imran Ali Butt,Umer Imtiaz,Junaid Siddique,2,0,,,,,,"",""
ball,1,2.5,Bahrain,Imran Ali Butt,Umer Imtiaz,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.6,Bahrain,Imran Ali Butt,Umer Imtiaz,Junaid Siddique,0,0,,,,,,"",""
ball,1,3.1,Bahrain,Umer Imtiaz,Imran Ali Butt,Aayan Afzal Khan,4,0,,,,,,"",""
ball,1,3.2,Bahrain,Umer Imtiaz,Imran Ali Butt,Aayan Afzal Khan,0,0,,,,,,caught,Umer Imtiaz
ball,1,3.3,Bahrain,Imran Anwar,Imran Ali Butt,Aayan Afzal Khan,0,0,,,,,,"",""
