version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Maldives
info,gender,male
info,season,2024/25
info,date,2024/10/19
info,event,Bhutan Quadrangular T20I Series
info,match_number,2
info,venue,Gelephu International Cricket Ground
info,city,Gelephu
info,toss_winner,Indonesia
info,toss_decision,bat
info,player_of_match,Shaof Hassan
info,umpire,ON Pradhan
info,umpire,U Dorji
info,reserve_umpire,AK Rai
info,tv_umpire,Dorji
info,match_referee,Sarika Prasad
info,winner,Maldives
info,winner_runs,23
info,method,D/L
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,F Banunaek
info,player,Indonesia,FFJ Heo
info,player,Indonesia,GA Priandana
info,player,Indonesia,J Dzulfikar
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,KD Kesuma
info,player,Indonesia,GD Arta
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,RM Koda
info,player,Maldives,Azyan Farhath
info,player,Maldives,Ismail Ali
info,player,Maldives,Shaof Hassan
info,player,Maldives,Mohamed Azzam
info,player,Maldives,Ibrahim Hassan
info,player,Maldives,Hassan Rasheed
info,player,Maldives,Ibrahim Nashath
info,player,Maldives,L Shafeeg
info,player,Maldives,Shunan Ali
info,player,Maldives,Ameel Mauroof
info,player,Maldives,Ibrahim Rizan
info,registry,people,AK Rai,1d70834a
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Ameel Mauroof,1579d497
info,registry,people,Anjar Tadarus,72275237
info,registry,people,Azyan Farhath,3e06e7ac
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,Dorji,a6b688ef
info,registry,people,F Banunaek,3c8faed4
info,registry,people,FFJ Heo,c73c75f9
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,Hassan Rasheed,1ca51098
info,registry,people,IKEG Artawan,190957d2
info,registry,people,Ibrahim Hassan,4add4c98
info,registry,people,Ibrahim Nashath,98514dce
info,registry,people,Ibrahim Rizan,7267e3cd
info,registry,people,Ismail Ali,5117fa55
info,registry,people,J Dzulfikar,05ea0342
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,L Shafeeg,ed82d9a5
info,registry,people,Mohamed Azzam,e43c9818
info,registry,people,ON Pradhan,d41a08d6
info,registry,people,RM Koda,f0a45427
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shaof Hassan,f6e160d7
info,registry,people,Shunan Ali,3b2ca392
info,registry,people,U Dorji,12bba2d4
ball,1,0.1,Indonesia,Ahmad Ramdoni,Anjar Tadarus,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,0.2,Indonesia,Ahmad Ramdoni,Anjar Tadarus,Ibrahim Hassan,4,0,,,,,,"",""
ball,1,0.3,Indonesia,Ahmad Ramdoni,Anjar Tadarus,Ibrahim Hassan,4,0,,,,,,"",""
ball,1,0.4,Indonesia,Ahmad Ramdoni,Anjar Tadarus,Ibrahim Hassan,2,0,,,,,,"",""
ball,1,0.5,Indonesia,Ahmad Ramdoni,Anjar Tadarus,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,0.6,Indonesia,Ahmad Ramdoni,Anjar Tadarus,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,1.1,Indonesia,Anjar Tadarus,Ahmad Ramdoni,L Shafeeg,0,0,,,,,,"",""
ball,1,1.2,Indonesia,Anjar Tadarus,Ahmad Ramdoni,L Shafeeg,0,1,1,,,,,"",""
ball,1,1.3,Indonesia,Anjar Tadarus,Ahmad Ramdoni,L Shafeeg,4,0,,,,,,"",""
ball,1,1.4,Indonesia,Anjar Tadarus,Ahmad Ramdoni,L Shafeeg,0,0,,,,,,caught,Anjar Tadarus
ball,1,1.5,Indonesia,F Banunaek,Ahmad Ramdoni,L Shafeeg,0,0,,,,,,"",""
ball,1,1.6,Indonesia,F Banunaek,Ahmad Ramdoni,L Shafeeg,0,0,,,,,,"",""
ball,1,1.7,Indonesia,F Banunaek,Ahmad Ramdoni,L Shafeeg,0,0,,,,,,"",""
ball,1,2.1,Indonesia,Ahmad Ramdoni,F Banunaek,Ibrahim Hassan,1,0,,,,,,"",""
ball,1,2.2,Indonesia,F Banunaek,Ahmad Ramdoni,Ibrahim Hassan,0,0,,,,,,caught,F Banunaek
ball,1,2.3,Indonesia,FFJ Heo,Ahmad Ramdoni,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,2.4,Indonesia,FFJ Heo,Ahmad Ramdoni,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,2.5,Indonesia,FFJ Heo,Ahmad Ramdoni,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,2.6,Indonesia,FFJ Heo,Ahmad Ramdoni,Ibrahim Hassan,0,0,,,,,,"",""
ball,1,3.1,Indonesia,Ahmad Ramdoni,FFJ Heo,L Shafeeg,0,0,,,,,,"",""
ball,1,3.2,Indonesia,Ahmad Ramdoni,FFJ Heo,L Shafeeg,1,0,,,,,,"",""
