version,1.7.0
info,balls_per_over,6
info,team,Malawi
info,team,Rwanda
info,gender,male
info,season,2024/25
info,date,2024/10/13
info,event,Rwanda tour of Malawi
info,match_number,5
info,venue,"TCA Oval, Blantyre"
info,city,Blantyre
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,O Manishimwe
info,umpire,BP Jele
info,umpire,Osman Mhango
info,match_referee,D Odhiambo
info,winner,Rwanda
info,winner_wickets,6
info,player,Malawi,D Kansonkho
info,player,Malawi,G Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,A Limdawala
info,player,Malawi,MA Baig
info,player,Malawi,SZ Vayani
info,player,Malawi,P Zuze
info,player,Malawi,D Jakiel
info,player,Malawi,M Choamba
info,player,Malawi,B Balala
info,player,Malawi,K Thuchila
info,player,Rwanda,O Manishimwe
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,D Gumyusenge
info,player,Rwanda,Yves Cyusa
info,player,Rwanda,C Rububagumya
info,player,Rwanda,I Mugisha
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,I Ntirenganya
info,player,Rwanda,E Rukiriza
info,player,Rwanda,E Kubwimana
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,B Balala,a2f8e873
info,registry,people,BP Jele,7bb1331e
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Gumyusenge,eeb78e0a
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,D Odhiambo,45994517
info,registry,people,E Kubwimana,bfc7799f
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,I Mugisha,d3eedb51
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,K Thuchila,af42d9f2
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,Osman Mhango,fa4ec243
info,registry,people,P Zuze,04420914
info,registry,people,SZ Vayani,a4afc486
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Yves Cyusa,b5aa28ce
ball,1,0.1,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,1,0,,,,,,"",""
ball,1,0.2,Malawi,G Kansonkho,D Kansonkho,I Ntirenganya,1,0,,,,,,"",""
ball,1,0.3,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,0,1,1,,,,,"",""
ball,1,0.4,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,0,1,1,,,,,"",""
ball,1,0.5,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,0.6,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,0.7,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,0.8,Malawi,D Kansonkho,G Kansonkho,I Ntirenganya,0,1,,,,1,,"",""
ball,1,1.1,Malawi,D Kansonkho,G Kansonkho,Muhammad Nadir,1,0,,,,,,"",""
ball,1,1.2,Malawi,G Kansonkho,D Kansonkho,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.3,Malawi,G Kansonkho,D Kansonkho,Muhammad Nadir,4,0,,,,,,"",""
ball,1,1.4,Malawi,G Kansonkho,D Kansonkho,Muhammad Nadir,4,0,,,,,,"",""
ball,1,1.5,Malawi,G Kansonkho,D Kansonkho,Muhammad Nadir,4,0,,,,,,"",""
ball,1,1.6,Malawi,G Kansonkho,D Kansonkho,Muhammad Nadir,1,0,,,,,,"",""
ball,1,2.1,Malawi,G Kansonkho,D Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,2.2,Malawi,G Kansonkho,D Kansonkho,I Ntirenganya,0,0,,,,,,bowled,G Kansonkho
ball,1,2.3,Malawi,Sami Sohail,D Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,2.4,Malawi,Sami Sohail,D Kansonkho,I Ntirenganya,0,1,1,,,,,"",""
ball,1,2.5,Malawi,Sami Sohail,D Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,2.6,Malawi,Sami Sohail,D Kansonkho,I Ntirenganya,0,0,,,,,,"",""
ball,1,2.7,Malawi,Sami Sohail,D Kansonkho,I Ntirenganya,1,0,,,,,,"",""
ball,1,3.1,Malawi,Sami Sohail,D Kansonkho,Muhammad Nadir,1,0,,,,,,"",""
ball,1,3.2,Malawi,D Kansonkho,Sami Sohail,Muhammad Nadir,0,0,,,,,,caught,D Kansonkho
ball,1,3.3,Malawi,A Limdawala,Sami Sohail,Muhammad Nadir,0,0,,,,,,"",""
ball,1,3.4,Malawi,A Limdawala,Sami Sohail,Muhammad Nadir,1,0,,,,,,"",""
ball,1,3.5,Malawi,Sami Sohail,A Limdawala,Muhammad Nadir,1,0,,,,,,"",""
ball,1,3.6,Malawi,A Limdawala,Sami Sohail,Muhammad Nadir,0,0,,,,,,"",""
ball,1,4.1,Malawi,Sami Sohail,A Limdawala,I Ntirenganya,0,0,,,,,,"",""
ball,1,4.2,Malawi,Sami Sohail,A Limdawala,I Ntirenganya,0,0,,,,,,"",""
ball,1,4.3,Malawi,Sami Sohail,A Limdawala,I Ntirenganya,4,0,,,,,,"",""
