version,1.7.0
info,balls_per_over,6
info,team,Cook Islands
info,team,Philippines
info,gender,female
info,season,2025
info,date,2025/04/11
info,event,Kartini Cup
info,match_number,3
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Cook Islands
info,toss_decision,bat
info,player_of_match,ET Williams
info,umpire,Yeri Rosongna
info,umpire,Yousuf Wadu
info,winner,Cook Islands
info,winner_runs,38
info,player,Cook Islands,A Katoa
info,player,Cook Islands,GES Sullivan
info,player,Cook Islands,ZP Ikiua
info,player,Cook Islands,S Vaia
info,player,Cook Islands,ET Williams
info,player,Cook Islands,TC Mataora
info,player,Cook Islands,RV Auora
info,player,Cook Islands,Lily Lamb
info,player,Cook Islands,T Elikana
info,player,Cook Islands,S Samuels
info,player,Cook Islands,R Bowers-Fleming
info,player,Philippines,ABY Smith
info,player,Philippines,JKD Andreano
info,player,Philippines,AR Valdez
info,player,Philippines,KK Donovan
info,player,Philippines,R Castillo
info,player,Philippines,AS Miranda
info,player,Philippines,Angela Busa
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,Ma Luz Barcelona
info,player,Philippines,JR Medianesta
info,player,Philippines,Karri Gullem Keen
info,registry,people,A Katoa,34e7e35c
info,registry,people,ABY Smith,fcb4448f
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Miranda,283e47fa
info,registry,people,Angela Busa,cbef5af4
info,registry,people,ET Williams,90410756
info,registry,people,GES Sullivan,165b9097
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,Lily Lamb,69fc75bb
info,registry,people,Ma Luz Barcelona,b36c42ac
info,registry,people,R Bowers-Fleming,0eb829be
info,registry,people,R Castillo,716ba9ef
info,registry,people,RV Auora,672cee0a
info,registry,people,S Samuels,d852095e
info,registry,people,S Vaia,78103121
info,registry,people,T Elikana,2bea8bda
info,registry,people,TC Mataora,6059bb14
info,registry,people,Yeri Rosongna,161c019d
info,registry,people,Yousuf Wadu,cf41005c
info,registry,people,ZP Ikiua,3bd86723
ball,1,0.1,Cook Islands,A Katoa,GES Sullivan,KK Donovan,0,0,,,,,,"",""
ball,1,0.2,Cook Islands,A Katoa,GES Sullivan,KK Donovan,0,0,,,,,,"",""
ball,1,0.3,Cook Islands,A Katoa,GES Sullivan,KK Donovan,0,0,,,,,,"",""
ball,1,0.4,Cook Islands,A Katoa,GES Sullivan,KK Donovan,0,0,,,,,,"",""
ball,1,0.5,Cook Islands,A Katoa,GES Sullivan,KK Donovan,0,0,,,,,,"",""
ball,1,0.6,Cook Islands,A Katoa,GES Sullivan,KK Donovan,0,0,,,,,,"",""
ball,1,1.1,Cook Islands,GES Sullivan,A Katoa,Karri Gullem Keen,0,0,,,,,,"",""
ball,1,1.2,Cook Islands,GES Sullivan,A Katoa,Karri Gullem Keen,0,0,,,,,,"",""
ball,1,1.3,Cook Islands,GES Sullivan,A Katoa,Karri Gullem Keen,1,0,,,,,,"",""
ball,1,1.4,Cook Islands,A Katoa,GES Sullivan,Karri Gullem Keen,0,0,,,,,,"",""
ball,1,1.5,Cook Islands,A Katoa,GES Sullivan,Karri Gullem Keen,0,1,1,,,,,"",""
ball,1,1.6,Cook Islands,A Katoa,GES Sullivan,Karri Gullem Keen,2,0,,,,,,"",""
ball,1,1.7,Cook Islands,A Katoa,GES Sullivan,Karri Gullem Keen,2,0,,,,,,"",""
ball,1,2.1,Cook Islands,GES Sullivan,A Katoa,KK Donovan,0,0,,,,,,bowled,GES Sullivan
ball,1,2.2,Cook Islands,ZP Ikiua,A Katoa,KK Donovan,0,0,,,,,,"",""
ball,1,2.3,Cook Islands,ZP Ikiua,A Katoa,KK Donovan,1,0,,,,,,"",""
ball,1,2.4,Cook Islands,A Katoa,ZP Ikiua,KK Donovan,0,0,,,,,,"",""
ball,1,2.5,Cook Islands,A Katoa,ZP Ikiua,KK Donovan,0,0,,,,,,"",""
ball,1,2.6,Cook Islands,A Katoa,ZP Ikiua,KK Donovan,1,0,,,,,,"",""
ball,1,3.1,Cook Islands,A Katoa,ZP Ikiua,Karri Gullem Keen,0,0,,,,,,"",""
ball,1,3.2,Cook Islands,A Katoa,ZP Ikiua,Karri Gullem Keen,0,0,,,,,,"",""
