version,1.7.0
info,balls_per_over,6
info,team,Romania
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/08/20
info,event,Continental Cup
info,venue,"Moara Vlasiei Cricket Ground, Ilfov County"
info,city,Ilfov County
info,toss_winner,Malta
info,toss_decision,field
info,player_of_match,R Satheesan
info,umpire,A Elliott
info,umpire,MM French
info,reserve_umpire,I Doekhie
info,match_referee,K Chavan
info,winner,Romania
info,winner_runs,6
info,player,Romania,R Satheesan
info,player,Romania,Rohit Kumar
info,player,Romania,V Saini
info,player,Romania,S Periyalwar
info,player,Romania,S Nadigotla
info,player,Romania,Ijaz Hussain
info,player,Romania,M Koli
info,player,Romania,S Vashisht
info,player,Romania,R Athapaththu
info,player,Romania,M Prasanna
info,player,Romania,Sukhkaran Sahi
info,player,Malta,Zeeshan Khan
info,player,Malta,Imran Ameer
info,player,Malta,B Arora
info,player,Malta,DR Patankar
info,player,Malta,Jaspal Singh
info,player,Malta,VP Thamotharam
info,player,Malta,E Mathew
info,player,Malta,Waqas Ahmad
info,player,Malta,Fanyan Mughal
info,player,Malta,C Sudarsanan
info,player,Malta,Washeem Abbas
info,registry,people,A Elliott,f48d5563
info,registry,people,B Arora,39e9f0c9
info,registry,people,C Sudarsanan,391a825b
info,registry,people,DR Patankar,e661915c
info,registry,people,E Mathew,e00acf74
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,I Doekhie,b37e3c48
info,registry,people,Ijaz Hussain,dc1dd6c4
info,registry,people,Imran Ameer,b8e65260
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,K Chavan,7ca4ac4f
info,registry,people,M Koli,eb0f2802
info,registry,people,M Prasanna,1b8c2b54
info,registry,people,MM French,b52f7ad9
info,registry,people,R Athapaththu,3465e307
info,registry,people,R Satheesan,1125ebe4
info,registry,people,Rohit Kumar,43462314
info,registry,people,S Nadigotla,b78b3ffd
info,registry,people,S Periyalwar,d207e4fb
info,registry,people,S Vashisht,20ac8219
info,registry,people,Sukhkaran Sahi,1e43a8c8
info,registry,people,V Saini,0fa81719
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Waqas Ahmad,82623a3a
info,registry,people,Washeem Abbas,6de4e430
info,registry,people,Zeeshan Khan,3f9b1a96
ball,1,0.1,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,0,,,,,,"",""
ball,1,0.2,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,0,,,,,,"",""
ball,1,0.3,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,0,,,,,,"",""
ball,1,0.4,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,1,1,,,,,"",""
ball,1,0.5,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,4,0,,,,,,"",""
ball,1,0.6,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,6,0,,,,,,"",""
ball,1,0.7,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,0,,,,,,"",""
ball,1,1.1,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,0,0,,,,,,"",""
ball,1,1.2,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,0,0,,,,,,"",""
ball,1,1.3,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,4,0,,,,,,"",""
ball,1,1.4,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,0,0,,,,,,"",""
ball,1,1.5,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,0,0,,,,,,"",""
ball,1,1.6,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,4,0,,,,,,"",""
ball,1,2.1,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,1,1,,,,,"",""
ball,1,2.2,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,0,,,,,,"",""
ball,1,2.3,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,1,0,,,,,,"",""
ball,1,2.4,Romania,Rohit Kumar,R Satheesan,Washeem Abbas,0,1,1,,,,,"",""
ball,1,2.5,Romania,Rohit Kumar,R Satheesan,Washeem Abbas,0,0,,,,,,"",""
ball,1,2.6,Romania,Rohit Kumar,R Satheesan,Washeem Abbas,6,0,,,,,,"",""
ball,1,2.7,Romania,Rohit Kumar,R Satheesan,Washeem Abbas,0,1,1,,,,,"",""
ball,1,2.8,Romania,Rohit Kumar,R Satheesan,Washeem Abbas,1,0,,,,,,"",""
ball,1,2.9,Romania,R Satheesan,Rohit Kumar,Washeem Abbas,0,0,,,,,,"",""
ball,1,3.1,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,0,0,,,,,,"",""
ball,1,3.2,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,4,0,,,,,,"",""
ball,1,3.3,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,2,0,,,,,,"",""
ball,1,3.4,Romania,Rohit Kumar,R Satheesan,Waqas Ahmad,1,0,,,,,,"",""
ball,1,3.5,Romania,R Satheesan,Rohit Kumar,Waqas Ahmad,0,1,1,,,,,"",""
ball,1,3.6,Romania,R Satheesan,Rohit Kumar,Waqas Ahmad,6,0,,,,,,"",""
ball,1,3.7,Romania,R Satheesan,Rohit Kumar,Waqas Ahmad,6,0,,,,,,"",""
ball,1,4.1,Romania,Rohit Kumar,R Satheesan,Imran Ameer,0,0,,,,,,"",""
ball,1,4.2,Romania,Rohit Kumar,R Satheesan,Imran Ameer,4,0,,,,,,"",""
ball,1,4.3,Romania,Rohit Kumar,R Satheesan,Imran Ameer,1,0,,,,,,"",""
ball,1,4.4,Romania,R Satheesan,Rohit Kumar,Imran Ameer,0,0,,,,,,"",""
ball,1,4.5,Romania,R Satheesan,Rohit Kumar,Imran Ameer,4,0,,,,,,"",""
ball,1,4.6,Romania,R Satheesan,Rohit Kumar,Imran Ameer,4,0,,,,,,"",""
ball,1,5.1,Romania,Rohit Kumar,R Satheesan,Fanyan Mughal,0,0,,,,,,caught,Rohit Kumar
ball,1,5.2,Romania,V Saini,R Satheesan,Fanyan Mughal,0,0,,,,,,caught,V Saini
ball,1,5.3,Romania,S Periyalwar,R Satheesan,Fanyan Mughal,1,0,,,,,,"",""
ball,1,5.4,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,0,0,,,,,,"",""
ball,1,5.5,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,0,0,,,,,,"",""
ball,1,5.6,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,4,0,,,,,,"",""
ball,1,6.1,Romania,S Periyalwar,R Satheesan,B Arora,1,0,,,,,,"",""
ball,1,6.2,Romania,R Satheesan,S Periyalwar,B Arora,0,0,,,,,,"",""
ball,1,6.3,Romania,R Satheesan,S Periyalwar,B Arora,1,0,,,,,,"",""
ball,1,6.4,Romania,S Periyalwar,R Satheesan,B Arora,0,0,,,,,,"",""
ball,1,6.5,Romania,S Periyalwar,R Satheesan,B Arora,1,0,,,,,,"",""
ball,1,6.6,Romania,R Satheesan,S Periyalwar,B Arora,1,0,,,,,,"",""
ball,1,7.1,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,0,0,,,,,,"",""
ball,1,7.2,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,0,0,,,,,,"",""
ball,1,7.3,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,1,0,,,,,,"",""
ball,1,7.4,Romania,S Periyalwar,R Satheesan,Fanyan Mughal,1,0,,,,,,"",""
ball,1,7.5,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,0,0,,,,,,"",""
ball,1,7.6,Romania,R Satheesan,S Periyalwar,Fanyan Mughal,0,0,,,,,,run out,S Periyalwar
