version,1.7.0
info,balls_per_over,6
info,team,Uganda
info,team,Hong Kong
info,gender,female
info,season,2024/25
info,date,2025/03/12
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,8
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,Shanzeen Shahzad
info,umpire,AY Harris
info,umpire,S Kintu
info,reserve_umpire,S Athuola
info,winner,Hong Kong
info,winner_wickets,4
info,player,Uganda,J Mbabazi
info,player,Uganda,I Nakisuuyi
info,player,Uganda,E Iloku
info,player,Uganda,R Musamali
info,player,Uganda,S Nampiina
info,player,Uganda,P Alako
info,player,Uganda,M Ariokot
info,player,Uganda,I Mutoni
info,player,Uganda,PE Kulume
info,player,Uganda,C Aweko
info,player,Uganda,S Akiteng
info,player,Hong Kong,NT Miles
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,WK Lai
info,player,Hong Kong,K Mahekdeep
info,player,Hong Kong,Joyleen Kaur
info,registry,people,AY Harris,90d95b82
info,registry,people,C Aweko,01c1b96c
info,registry,people,E Iloku,f1fa1c6b
info,registry,people,I Mutoni,284604cf
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,Joyleen Kaur,8ea44a61
info,registry,people,K Mahekdeep,d13c1b74
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Ariokot,c328bc6c
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,NT Miles,d27d0835
info,registry,people,P Alako,fcf37e14
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Athuola,7c94cfd1
info,registry,people,S Kintu,ff387f93
info,registry,people,S Nampiina,91d9aa26
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.2,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.3,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,2,0,,,,,,"",""
ball,1,0.4,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,4,0,,,,,,"",""
ball,1,0.5,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.6,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,0,0,,,,,,"",""
ball,1,1.1,Uganda,I Nakisuuyi,J Mbabazi,M Wai Siu,0,0,,,,,,"",""
ball,1,1.2,Uganda,I Nakisuuyi,J Mbabazi,M Wai Siu,4,0,,,,,,"",""
ball,1,1.3,Uganda,I Nakisuuyi,J Mbabazi,M Wai Siu,0,0,,,,,,"",""
ball,1,1.4,Uganda,I Nakisuuyi,J Mbabazi,M Wai Siu,0,0,,,,,,"",""
ball,1,1.5,Uganda,I Nakisuuyi,J Mbabazi,M Wai Siu,1,0,,,,,,"",""
ball,1,1.6,Uganda,J Mbabazi,I Nakisuuyi,M Wai Siu,1,0,,,,,,"",""
ball,1,2.1,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.2,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,1,0,,,,,,"",""
ball,1,2.3,Uganda,I Nakisuuyi,J Mbabazi,Iqra Sahar,0,1,1,,,,,"",""
ball,1,2.4,Uganda,I Nakisuuyi,J Mbabazi,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.5,Uganda,I Nakisuuyi,J Mbabazi,Iqra Sahar,1,0,,,,,,"",""
ball,1,2.6,Uganda,J Mbabazi,I Nakisuuyi,Iqra Sahar,1,0,,,,,,"",""
ball,1,2.7,Uganda,I Nakisuuyi,J Mbabazi,Iqra Sahar,0,0,,,,,,"",""
ball,1,3.1,Uganda,J Mbabazi,I Nakisuuyi,M Wai Siu,0,0,,,,,,"",""
ball,1,3.2,Uganda,J Mbabazi,I Nakisuuyi,M Wai Siu,0,1,1,,,,,"",""
