version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,Australia
info,gender,male
info,season,2024/25
info,date,2024/11/18
info,event,Pakistan tour of Australia
info,match_number,3
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,MP Stoinis
info,umpire,SJ Nogajski
info,umpire,SAJ Craig
info,reserve_umpire,PJ Gillespie
info,tv_umpire,DM Koch
info,match_referee,DC Boon
info,winner,Australia
info,winner_wickets,7
info,player,Pakistan,Sahibzada Farhan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Haseebullah Khan
info,player,Pakistan,Usman Khan
info,player,Pakistan,Agha Salman
info,player,Pakistan,Irfan Khan
info,player,Pakistan,Abbas Afridi
info,player,Pakistan,Jahandad Khan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Sufiyan Muqeem
info,player,Australia,MW Short
info,player,Australia,J Fraser-McGurk
info,player,Australia,JP Inglis
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,GJ Maxwell
info,player,Australia,AM Hardie
info,player,Australia,XC Bartlett
info,player,Australia,NT Ellis
info,player,Australia,SH Johnson
info,player,Australia,A Zampa
info,registry,people,A Zampa,14f96089
info,registry,people,AM Hardie,d405c0d5
info,registry,people,Abbas Afridi,2cec2a92
info,registry,people,Agha Salman,89c16049
info,registry,people,Babar Azam,8a75e999
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DM Koch,6d10c034
info,registry,people,GJ Maxwell,b681e71e
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Haseebullah Khan,5691931a
info,registry,people,Irfan Khan,ee95065d
info,registry,people,J Fraser-McGurk,9b6e1b3f
info,registry,people,JP Inglis,989889ff
info,registry,people,Jahandad Khan,22d73540
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MW Short,a90e53ec
info,registry,people,NT Ellis,9eb1455b
info,registry,people,PJ Gillespie,3e253a50
info,registry,people,SAJ Craig,689f2eed
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Sufiyan Muqeem,4277234d
info,registry,people,TH David,f1f99156
info,registry,people,Usman Khan,bafb9238
info,registry,people,XC Bartlett,3b53243a
ball,1,0.1,Pakistan,Sahibzada Farhan,Babar Azam,XC Bartlett,0,0,,,,,,"",""
ball,1,0.2,Pakistan,Sahibzada Farhan,Babar Azam,XC Bartlett,3,0,,,,,,"",""
ball,1,0.3,Pakistan,Babar Azam,Sahibzada Farhan,XC Bartlett,4,0,,,,,,"",""
ball,1,0.4,Pakistan,Babar Azam,Sahibzada Farhan,XC Bartlett,1,0,,,,,,"",""
ball,1,0.5,Pakistan,Sahibzada Farhan,Babar Azam,XC Bartlett,2,0,,,,,,"",""
ball,1,0.6,Pakistan,Sahibzada Farhan,Babar Azam,XC Bartlett,0,0,,,,,,"",""
ball,1,1.1,Pakistan,Babar Azam,Sahibzada Farhan,SH Johnson,3,0,,,,,,"",""
ball,1,1.2,Pakistan,Sahibzada Farhan,Babar Azam,SH Johnson,0,0,,,,,,"",""
ball,1,1.3,Pakistan,Sahibzada Farhan,Babar Azam,SH Johnson,4,0,,,,,,"",""
ball,1,1.4,Pakistan,Sahibzada Farhan,Babar Azam,SH Johnson,0,0,,,,,,caught,Sahibzada Farhan
ball,1,1.5,Pakistan,Haseebullah Khan,Babar Azam,SH Johnson,0,0,,,,,,"",""
ball,1,1.6,Pakistan,Haseebullah Khan,Babar Azam,SH Johnson,1,0,,,,,,"",""
ball,1,2.1,Pakistan,Haseebullah Khan,Babar Azam,XC Bartlett,4,0,,,,,,"",""
ball,1,2.2,Pakistan,Haseebullah Khan,Babar Azam,XC Bartlett,0,0,,,,,,"",""
ball,1,2.3,Pakistan,Haseebullah Khan,Babar Azam,XC Bartlett,0,0,,,,,,"",""
ball,1,2.4,Pakistan,Haseebullah Khan,Babar Azam,XC Bartlett,0,0,,,,,,"",""
ball,1,2.5,Pakistan,Haseebullah Khan,Babar Azam,XC Bartlett,1,0,,,,,,"",""
ball,1,2.6,Pakistan,Babar Azam,Haseebullah Khan,XC Bartlett,1,0,,,,,,"",""
ball,1,3.1,Pakistan,Babar Azam,Haseebullah Khan,SH Johnson,0,0,,,,,,"",""
ball,1,3.2,Pakistan,Babar Azam,Haseebullah Khan,SH Johnson,1,0,,,,,,"",""
ball,1,3.3,Pakistan,Haseebullah Khan,Babar Azam,SH Johnson,0,0,,,,,,"",""
ball,1,3.4,Pakistan,Haseebullah Khan,Babar Azam,SH Johnson,0,0,,,,,,"",""
