version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Australia
info,gender,male
info,season,2025/26
info,date,2025/10/01
info,event,Australia tour of New Zealand
info,match_number,1
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,Australia
info,toss_decision,field
info,player_of_match,MR Marsh
info,umpire,CM Brown
info,umpire,SB Haig
info,reserve_umpire,C Black
info,tv_umpire,WR Knights
info,match_referee,Prakash Bhatt
info,winner,Australia
info,winner_wickets,6
info,player,New Zealand,TL Seifert
info,player,New Zealand,DP Conway
info,player,New Zealand,TB Robinson
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,BJ Jacobs
info,player,New Zealand,MG Bracewell
info,player,New Zealand,ZGF Foulkes
info,player,New Zealand,KA Jamieson
info,player,New Zealand,MJ Henry
info,player,New Zealand,JA Duffy
info,player,Australia,MR Marsh
info,player,Australia,TM Head
info,player,Australia,MW Short
info,player,Australia,TH David
info,player,Australia,AT Carey
info,player,Australia,MP Stoinis
info,player,Australia,MJ Owen
info,player,Australia,BJ Dwarshuis
info,player,Australia,XC Bartlett
info,player,Australia,A Zampa
info,player,Australia,JR Hazlewood
info,registry,people,A Zampa,14f96089
info,registry,people,AT Carey,69d03465
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,BJ Jacobs,972f217b
info,registry,people,C Black,75b42f71
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JR Hazlewood,03806cf8
info,registry,people,KA Jamieson,68c56d09
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MS Chapman,7fa12533
info,registry,people,MW Short,a90e53ec
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,SB Haig,811655b3
info,registry,people,TB Robinson,5d664346
info,registry,people,TH David,f1f99156
info,registry,people,TL Seifert,4663bd23
info,registry,people,TM Head,12b610c2
info,registry,people,WR Knights,63cbf8d8
info,registry,people,XC Bartlett,3b53243a
info,registry,people,ZGF Foulkes,30f92334
ball,1,0.1,New Zealand,TL Seifert,DP Conway,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.2,New Zealand,TL Seifert,DP Conway,JR Hazlewood,4,0,,,,,,"",""
ball,1,0.3,New Zealand,TL Seifert,DP Conway,JR Hazlewood,0,0,,,,,,caught,TL Seifert
ball,1,0.4,New Zealand,TB Robinson,DP Conway,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.5,New Zealand,TB Robinson,DP Conway,JR Hazlewood,0,0,,,,,,"",""
ball,1,0.6,New Zealand,TB Robinson,DP Conway,JR Hazlewood,0,0,,,,,,"",""
ball,1,1.1,New Zealand,DP Conway,TB Robinson,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,1.2,New Zealand,TB Robinson,DP Conway,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,1.3,New Zealand,DP Conway,TB Robinson,BJ Dwarshuis,0,0,,,,,,bowled,DP Conway
ball,1,1.4,New Zealand,MS Chapman,TB Robinson,BJ Dwarshuis,0,0,,,,,,caught,MS Chapman
ball,1,1.5,New Zealand,DJ Mitchell,TB Robinson,BJ Dwarshuis,0,0,,,,,,"",""
ball,1,1.6,New Zealand,DJ Mitchell,TB Robinson,BJ Dwarshuis,2,0,,,,,,"",""
ball,1,2.1,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,1,0,,,,,,"",""
ball,1,2.2,New Zealand,DJ Mitchell,TB Robinson,JR Hazlewood,4,0,,,,,,"",""
ball,1,2.3,New Zealand,DJ Mitchell,TB Robinson,JR Hazlewood,0,0,,,,,,"",""
ball,1,2.4,New Zealand,DJ Mitchell,TB Robinson,JR Hazlewood,1,0,,,,,,"",""
ball,1,2.5,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,1,0,,,,,,"",""
ball,1,2.6,New Zealand,DJ Mitchell,TB Robinson,JR Hazlewood,0,0,,,,,,"",""
ball,1,3.1,New Zealand,TB Robinson,DJ Mitchell,BJ Dwarshuis,0,0,,,,,,"",""
ball,1,3.2,New Zealand,TB Robinson,DJ Mitchell,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,3.3,New Zealand,DJ Mitchell,TB Robinson,BJ Dwarshuis,4,0,,,,,,"",""
ball,1,3.4,New Zealand,DJ Mitchell,TB Robinson,BJ Dwarshuis,2,0,,,,,,"",""
ball,1,3.5,New Zealand,DJ Mitchell,TB Robinson,BJ Dwarshuis,6,0,,,,,,"",""
ball,1,3.6,New Zealand,DJ Mitchell,TB Robinson,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,4.1,New Zealand,DJ Mitchell,TB Robinson,JR Hazlewood,1,0,,,,,,"",""
ball,1,4.2,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,2,0,,,,,,"",""
ball,1,4.3,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,0,0,,,,,,"",""
ball,1,4.4,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,0,0,,,,,,"",""
ball,1,4.5,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,2,0,,,,,,"",""
ball,1,4.6,New Zealand,TB Robinson,DJ Mitchell,JR Hazlewood,0,0,,,,,,"",""
ball,1,5.1,New Zealand,DJ Mitchell,TB Robinson,MP Stoinis,1,0,,,,,,"",""
ball,1,5.2,New Zealand,TB Robinson,DJ Mitchell,MP Stoinis,2,0,,,,,,"",""
ball,1,5.3,New Zealand,TB Robinson,DJ Mitchell,MP Stoinis,6,0,,,,,,"",""
ball,1,5.4,New Zealand,TB Robinson,DJ Mitchell,MP Stoinis,2,0,,,,,,"",""
ball,1,5.5,New Zealand,TB Robinson,DJ Mitchell,MP Stoinis,4,0,,,,,,"",""
ball,1,5.6,New Zealand,TB Robinson,DJ Mitchell,MP Stoinis,0,0,,,,,,"",""
ball,1,6.1,New Zealand,DJ Mitchell,TB Robinson,XC Bartlett,1,0,,,,,,"",""
ball,1,6.2,New Zealand,TB Robinson,DJ Mitchell,XC Bartlett,1,0,,,,,,"",""
ball,1,6.3,New Zealand,DJ Mitchell,TB Robinson,XC Bartlett,1,0,,,,,,"",""
ball,1,6.4,New Zealand,TB Robinson,DJ Mitchell,XC Bartlett,6,0,,,,,,"",""
ball,1,6.5,New Zealand,TB Robinson,DJ Mitchell,XC Bartlett,4,0,,,,,,"",""
ball,1,6.6,New Zealand,TB Robinson,DJ Mitchell,XC Bartlett,0,1,1,,,,,"",""
ball,1,6.7,New Zealand,TB Robinson,DJ Mitchell,XC Bartlett,1,0,,,,,,"",""
ball,1,7.1,New Zealand,TB Robinson,DJ Mitchell,A Zampa,6,0,,,,,,"",""
ball,1,7.2,New Zealand,TB Robinson,DJ Mitchell,A Zampa,0,0,,,,,,"",""
ball,1,7.3,New Zealand,TB Robinson,DJ Mitchell,A Zampa,0,0,,,,,,"",""
ball,1,7.4,New Zealand,TB Robinson,DJ Mitchell,A Zampa,1,0,,,,,,"",""
ball,1,7.5,New Zealand,DJ Mitchell,TB Robinson,A Zampa,1,0,,,,,,"",""
ball,1,7.6,New Zealand,TB Robinson,DJ Mitchell,A Zampa,1,0,,,,,,"",""
ball,1,8.1,New Zealand,TB Robinson,DJ Mitchell,MW Short,2,0,,,,,,"",""
ball,1,8.2,New Zealand,TB Robinson,DJ Mitchell,MW Short,4,0,,,,,,"",""
ball,1,8.3,New Zealand,TB Robinson,DJ Mitchell,MW Short,1,0,,,,,,"",""
ball,1,8.4,New Zealand,DJ Mitchell,TB Robinson,MW Short,1,0,,,,,,"",""
