version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Zimbabwe
info,gender,female
info,season,2024
info,date,2024/04/27
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,7
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,J Nkomo
info,umpire,LDVV Silva
info,umpire,K Klaaste
info,reserve_umpire,L McCabe
info,match_referee,SM Bartlett
info,winner,Zimbabwe
info,winner_wickets,8
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,S Kotte
info,player,Zimbabwe,SM Mayers
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,A Mazvishaya
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,L Mabhero
info,registry,people,A Mazvishaya,09a58e2d
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,ER Oza,fdc6b34d
info,registry,people,F Chipare,c0dc015b
info,registry,people,H Hotchandani,f537d39c
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Klaaste,6cc1d918
info,registry,people,K Ndlovu,8d25271a
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,L Mabhero,37f9eb59
info,registry,people,L McCabe,1dbc4a64
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,SM Bartlett,7ba18406
info,registry,people,SM Mayers,91d9613e
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
ball,1,0.1,United Arab Emirates,ER Oza,Theertha Satish,J Nkomo,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,Theertha Satish,J Nkomo,1,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,Theertha Satish,ER Oza,J Nkomo,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,Theertha Satish,ER Oza,J Nkomo,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,Theertha Satish,ER Oza,J Nkomo,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,Theertha Satish,ER Oza,J Nkomo,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,ER Oza,Theertha Satish,P Marange,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,ER Oza,Theertha Satish,P Marange,2,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,ER Oza,Theertha Satish,P Marange,0,1,1,,,,,"",""
ball,1,1.4,United Arab Emirates,ER Oza,Theertha Satish,P Marange,4,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,ER Oza,Theertha Satish,P Marange,0,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,ER Oza,Theertha Satish,P Marange,1,0,,,,,,"",""
ball,1,1.7,United Arab Emirates,Theertha Satish,ER Oza,P Marange,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,ER Oza,Theertha Satish,J Nkomo,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,ER Oza,Theertha Satish,J Nkomo,1,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Theertha Satish,ER Oza,J Nkomo,4,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Theertha Satish,ER Oza,J Nkomo,0,0,,,,,,caught,Theertha Satish
ball,1,2.5,United Arab Emirates,Khushi Sharma,ER Oza,J Nkomo,0,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Khushi Sharma,ER Oza,J Nkomo,0,0,,,,,,lbw,Khushi Sharma
ball,1,3.1,United Arab Emirates,ER Oza,KKN Egodage,L Mabhero,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,ER Oza,KKN Egodage,L Mabhero,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,ER Oza,KKN Egodage,L Mabhero,0,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,ER Oza,KKN Egodage,L Mabhero,0,0,,,,,,"",""
ball,1,3.5,United Arab Emirates,ER Oza,KKN Egodage,L Mabhero,0,0,,,,,,"",""
