version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Saudi Arabia
info,gender,male
info,season,2024/25
info,date,2024/11/26
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,16
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Zain Ul Abidin
info,umpire,Ahmed Shah Durrani
info,umpire,Izatullah Safi
info,reserve_umpire,BB Pradhan
info,match_referee,Ali Naqvi
info,winner,Saudi Arabia
info,winner_wickets,5
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,N Salekar
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,J Coetzee
info,player,Thailand,AV Lazarus
info,player,Thailand,S Rungrueang
info,player,Thailand,S Desungnoen
info,player,Thailand,N Nuntarach
info,player,Thailand,N Senamontree
info,player,Thailand,Sarawut Maliwan
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,S Sankar
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Abdul Wahid
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Ahmad Raza
info,player,Saudi Arabia,Saud Syed Iqbal Ahmad
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Abdul Wahid,40aea524
info,registry,people,Ahmad Raza,6bfa638b
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,BB Pradhan,8603d942
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,J Coetzee,3ad06915
info,registry,people,Manan Ali,d0b643e1
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Salekar,54403333
info,registry,people,N Senamontree,44e00a4c
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,S Sankar,69997d9d
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,Saud Syed Iqbal Ahmad,c1685e0e
info,registry,people,Usman Khalid,314f0889
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Y Saranonnakkun,9c93c0a3
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,0.2,Thailand,AP Yadav,C Chatphaisan,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,0.3,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,1,1,,,,,"",""
ball,1,0.4,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,0.5,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.6,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,0.7,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,1.1,Thailand,AP Yadav,C Chatphaisan,Ahmad Raza,0,0,,,,,,"",""
ball,1,1.2,Thailand,AP Yadav,C Chatphaisan,Ahmad Raza,1,0,,,,,,"",""
ball,1,1.3,Thailand,C Chatphaisan,AP Yadav,Ahmad Raza,0,0,,,,,,"",""
ball,1,1.4,Thailand,C Chatphaisan,AP Yadav,Ahmad Raza,1,0,,,,,,"",""
ball,1,1.5,Thailand,AP Yadav,C Chatphaisan,Ahmad Raza,0,0,,,,,,"",""
ball,1,1.6,Thailand,AP Yadav,C Chatphaisan,Ahmad Raza,4,0,,,,,,"",""
ball,1,2.1,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,2.2,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.3,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.4,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.5,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,2,0,,,,,,"",""
ball,1,2.6,Thailand,C Chatphaisan,AP Yadav,Ishtiaq Ahmad,0,0,,,,,,caught,C Chatphaisan
ball,1,3.1,Thailand,AP Yadav,N Salekar,Ahmad Raza,0,0,,,,,,"",""
ball,1,3.2,Thailand,AP Yadav,N Salekar,Ahmad Raza,4,0,,,,,,"",""
ball,1,3.3,Thailand,AP Yadav,N Salekar,Ahmad Raza,1,0,,,,,,"",""
ball,1,3.4,Thailand,N Salekar,AP Yadav,Ahmad Raza,0,0,,,,,,"",""
ball,1,3.5,Thailand,N Salekar,AP Yadav,Ahmad Raza,0,0,,,,,,"",""
ball,1,3.6,Thailand,N Salekar,AP Yadav,Ahmad Raza,0,1,1,,,,,"",""
ball,1,3.7,Thailand,N Salekar,AP Yadav,Ahmad Raza,2,0,,,,,,"",""
ball,1,4.1,Thailand,AP Yadav,N Salekar,Usman Khalid,0,0,,,,,,"",""
ball,1,4.2,Thailand,AP Yadav,N Salekar,Usman Khalid,4,0,,,,,,"",""
ball,1,4.3,Thailand,AP Yadav,N Salekar,Usman Khalid,1,0,,,,,,"",""
ball,1,4.4,Thailand,N Salekar,AP Yadav,Usman Khalid,0,0,,,,,,"",""
ball,1,4.5,Thailand,N Salekar,AP Yadav,Usman Khalid,1,0,,,,,,"",""
ball,1,4.6,Thailand,AP Yadav,N Salekar,Usman Khalid,0,0,,,,,,"",""
ball,1,5.1,Thailand,N Salekar,AP Yadav,Zain Ul Abidin,0,1,1,,,,,"",""
ball,1,5.2,Thailand,N Salekar,AP Yadav,Zain Ul Abidin,0,0,,,,,,stumped,N Salekar
ball,1,5.3,Thailand,Y Saranonnakkun,AP Yadav,Zain Ul Abidin,0,1,1,,,,,"",""
ball,1,5.4,Thailand,Y Saranonnakkun,AP Yadav,Zain Ul Abidin,0,0,,,,,,"",""
ball,1,5.5,Thailand,Y Saranonnakkun,AP Yadav,Zain Ul Abidin,1,0,,,,,,"",""
ball,1,5.6,Thailand,AP Yadav,Y Saranonnakkun,Zain Ul Abidin,4,0,,,,,,"",""
ball,1,5.7,Thailand,AP Yadav,Y Saranonnakkun,Zain Ul Abidin,1,0,,,,,,"",""
