version,1.7.0
info,balls_per_over,6
info,team,Cameroon
info,team,Sierra Leone
info,gender,male
info,season,2022/23
info,date,2022/12/02
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,7
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Sierra Leone
info,toss_decision,field
info,player_of_match,A Turay
info,umpire,Gasana Christian
info,umpire,Stephen Harris
info,reserve_umpire,Habib Enesi
info,match_referee,SA Fritz
info,winner,Sierra Leone
info,winner_wickets,1
info,player,Cameroon,BN Toube
info,player,Cameroon,I Tchakou
info,player,Cameroon,JB Abega
info,player,Cameroon,RGA Amah
info,player,Cameroon,P Abanda
info,player,Cameroon,AN Toube
info,player,Cameroon,DB Loic
info,player,Cameroon,AN Aminou
info,player,Cameroon,AR Balla
info,player,Cameroon,AB Mengoumou
info,player,Cameroon,CB Ondoa
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,Zahid Khan
info,player,Sierra Leone,I Kamara
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,S Williams
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Turay,11a22126
info,registry,people,AB Mengoumou,8ad3d034
info,registry,people,AN Aminou,6d9d2de7
info,registry,people,AN Toube,7f929ebe
info,registry,people,AR Balla,4b83e65a
info,registry,people,BN Toube,75f3aa00
info,registry,people,C Bah,7213d757
info,registry,people,CB Ondoa,b3179e21
info,registry,people,DB Loic,01679383
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Kamara,38702fb5
info,registry,people,I Tchakou,4d2b96b4
info,registry,people,J Bangura,d7acab5d
info,registry,people,JB Abega,b7abb123
info,registry,people,L Lamin,5a970aab
info,registry,people,P Abanda,90a8dfec
info,registry,people,R Coker,3239c8a9
info,registry,people,RGA Amah,90f9aedf
info,registry,people,S Williams,7ae1aad9
info,registry,people,SA Fritz,d15e60c8
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,Zahid Khan,bf896894
ball,1,0.1,Cameroon,BN Toube,I Tchakou,I Kamara,0,0,,,,,,"",""
ball,1,0.2,Cameroon,BN Toube,I Tchakou,I Kamara,0,0,,,,,,"",""
ball,1,0.3,Cameroon,BN Toube,I Tchakou,I Kamara,2,0,,,,,,"",""
ball,1,0.4,Cameroon,BN Toube,I Tchakou,I Kamara,0,0,,,,,,"",""
ball,1,0.5,Cameroon,BN Toube,I Tchakou,I Kamara,1,0,,,,,,"",""
ball,1,0.6,Cameroon,I Tchakou,BN Toube,I Kamara,0,0,,,,,,"",""
ball,1,1.1,Cameroon,BN Toube,I Tchakou,S Williams,1,0,,,,,,"",""
ball,1,1.2,Cameroon,I Tchakou,BN Toube,S Williams,0,0,,,,,,"",""
ball,1,1.3,Cameroon,I Tchakou,BN Toube,S Williams,4,0,,,,,,"",""
ball,1,1.4,Cameroon,I Tchakou,BN Toube,S Williams,0,1,,1,,,,"",""
ball,1,1.5,Cameroon,I Tchakou,BN Toube,S Williams,0,0,,,,,,"",""
ball,1,1.6,Cameroon,I Tchakou,BN Toube,S Williams,3,0,,,,,,"",""
ball,1,1.7,Cameroon,BN Toube,I Tchakou,S Williams,1,0,,,,,,"",""
ball,1,2.1,Cameroon,BN Toube,I Tchakou,I Kamara,1,0,,,,,,"",""
ball,1,2.2,Cameroon,I Tchakou,BN Toube,I Kamara,4,0,,,,,,"",""
ball,1,2.3,Cameroon,I Tchakou,BN Toube,I Kamara,1,0,,,,,,"",""
ball,1,2.4,Cameroon,BN Toube,I Tchakou,I Kamara,2,0,,,,,,"",""
ball,1,2.5,Cameroon,BN Toube,I Tchakou,I Kamara,6,0,,,,,,"",""
ball,1,2.6,Cameroon,BN Toube,I Tchakou,I Kamara,4,0,,,,,,"",""
ball,1,3.1,Cameroon,I Tchakou,BN Toube,G Ngegba,2,0,,,,,,"",""
ball,1,3.2,Cameroon,I Tchakou,BN Toube,G Ngegba,1,0,,,,,,"",""
ball,1,3.3,Cameroon,BN Toube,I Tchakou,G Ngegba,0,0,,,,,,"",""
ball,1,3.4,Cameroon,BN Toube,I Tchakou,G Ngegba,0,0,,,,,,"",""
ball,1,3.5,Cameroon,BN Toube,I Tchakou,G Ngegba,1,0,,,,,,"",""
ball,1,3.6,Cameroon,I Tchakou,BN Toube,G Ngegba,0,0,,,,,,"",""
