version,1.7.0
info,balls_per_over,6
info,team,Japan
info,team,Singapore
info,gender,male
info,season,2023/24
info,date,2024/02/11
info,event,Asian Cricket Council Men's Challenger Cup
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Singapore
info,toss_decision,field
info,player_of_match,Aritra Dutta
info,umpire,IGS Arsa
info,umpire,Osama Saad Alnadwi
info,reserve_umpire,MV Krishnakumar
info,tv_umpire,Hardeep Jadeja
info,match_referee,G Sankaranarayanan
info,winner,Singapore
info,winner_wickets,8
info,player,Japan,L Yamamoto-Lake
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,W Miyauchi
info,player,Japan,S Ravichandran
info,player,Japan,I Takahashi
info,player,Japan,R Drake
info,player,Japan,P Kumbhare
info,player,Japan,R Sakurano-Thomas
info,player,Japan,D Suzuki
info,player,Japan,M Taniyama
info,player,Japan,A Patmore
info,player,Singapore,R Gaznavi
info,player,Singapore,Aritra Dutta
info,player,Singapore,S Chandramohan
info,player,Singapore,AE Paraam
info,player,Singapore,AR Puri
info,player,Singapore,R Kalimuthu
info,player,Singapore,A Kaul
info,player,Singapore,H Bharadwaj
info,player,Singapore,S Banamali
info,player,Singapore,Aman Desai
info,player,Singapore,R Sharma
info,registry,people,A Kaul,53d0b0dc
info,registry,people,A Patmore,85119526
info,registry,people,AE Paraam,b56f5b6f
info,registry,people,AR Puri,1f490b28
info,registry,people,Aman Desai,c10fd8f9
info,registry,people,Aritra Dutta,f3a5c378
info,registry,people,D Suzuki,64c81abf
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,H Bharadwaj,2e89652e
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,I Takahashi,c988daa1
info,registry,people,IGS Arsa,68d52634
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Taniyama,cbd91942
info,registry,people,MV Krishnakumar,b99e3162
info,registry,people,Osama Saad Alnadwi,a7e2fb32
info,registry,people,P Kumbhare,ef503cfe
info,registry,people,R Drake,57b3c398
info,registry,people,R Gaznavi,0079f139
info,registry,people,R Kalimuthu,5892ac75
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,R Sharma,2278c4ca
info,registry,people,S Banamali,4d9dfc7f
info,registry,people,S Chandramohan,2a6ccc1c
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,W Miyauchi,fef40097
ball,1,0.1,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,R Kalimuthu,1,1,,1,,,,"",""
ball,1,0.2,Japan,K Kadowaki-Fleming,L Yamamoto-Lake,R Kalimuthu,1,0,,,,,,"",""
ball,1,0.3,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,R Kalimuthu,0,0,,,,,,caught,L Yamamoto-Lake
ball,1,0.4,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,0,1,1,,,,,"",""
ball,1,0.5,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,0,0,,,,,,"",""
ball,1,0.6,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,0,0,,,,,,"",""
ball,1,0.7,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,0,0,,,,,,"",""
ball,1,0.8,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.1,Japan,K Kadowaki-Fleming,W Miyauchi,S Banamali,0,0,,,,,,"",""
ball,1,1.2,Japan,K Kadowaki-Fleming,W Miyauchi,S Banamali,6,0,,,,,,"",""
ball,1,1.3,Japan,K Kadowaki-Fleming,W Miyauchi,S Banamali,1,0,,,,,,"",""
ball,1,1.4,Japan,W Miyauchi,K Kadowaki-Fleming,S Banamali,1,0,,,,,,"",""
ball,1,1.5,Japan,K Kadowaki-Fleming,W Miyauchi,S Banamali,1,0,,,,,,"",""
ball,1,1.6,Japan,W Miyauchi,K Kadowaki-Fleming,S Banamali,4,0,,,,,,"",""
ball,1,2.1,Japan,K Kadowaki-Fleming,W Miyauchi,R Kalimuthu,0,0,,,,,,"",""
ball,1,2.2,Japan,K Kadowaki-Fleming,W Miyauchi,R Kalimuthu,0,0,,,,,,"",""
ball,1,2.3,Japan,K Kadowaki-Fleming,W Miyauchi,R Kalimuthu,4,0,,,,,,"",""
ball,1,2.4,Japan,K Kadowaki-Fleming,W Miyauchi,R Kalimuthu,1,0,,,,,,"",""
ball,1,2.5,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,0,0,,,,,,"",""
ball,1,2.6,Japan,W Miyauchi,K Kadowaki-Fleming,R Kalimuthu,1,0,,,,,,"",""
ball,1,3.1,Japan,W Miyauchi,K Kadowaki-Fleming,AR Puri,0,0,,,,,,"",""
