version,1.7.0
info,balls_per_over,6
info,team,Panama
info,team,Brazil
info,gender,male
info,season,2024/25
info,date,2024/12/12
info,event,ICC Men's T20 World Cup Sub Regional Americas Qualifier
info,match_number,21
info,venue,"Belgrano Athletic Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Panama
info,toss_decision,bat
info,player_of_match,Yasar Haroon
info,umpire,AR Maddela
info,umpire,R Shah
info,reserve_umpire,Jermaine Lindo
info,match_referee,Phil Whitticase
info,winner,Brazil
info,winner_wickets,6
info,player,Panama,YI Kachhalia
info,player,Panama,Breeze Ahir
info,player,Panama,Irfan Hafejee
info,player,Panama,Khandubhai Ahir
info,player,Panama,A Natubhai Ahir
info,player,Panama,Yusuf Ebrahim
info,player,Panama,RDB Ahir
info,player,Panama,Mahmud Jasat
info,player,Panama,AM Patel
info,player,Panama,DK Dahyabhai Ahir
info,player,Panama,Sanjay Kumar Ahir
info,player,Brazil,W Maximo
info,player,Brazil,LH Rodrigues
info,player,Brazil,G Caisley
info,player,Brazil,LF Muller
info,player,Brazil,Kawsar Khan
info,player,Brazil,Yasar Haroon
info,player,Brazil,G Oliveira
info,player,Brazil,IC Simao
info,player,Brazil,R Avery
info,player,Brazil,L Maximo
info,player,Brazil,MFI Assuncao
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,AM Patel,a09323d8
info,registry,people,AR Maddela,5c861579
info,registry,people,Breeze Ahir,da09ca26
info,registry,people,DK Dahyabhai Ahir,ce9ee68f
info,registry,people,G Caisley,0f06d3cd
info,registry,people,G Oliveira,b4c52f5f
info,registry,people,IC Simao,dcc76384
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,Kawsar Khan,a14b3bc0
info,registry,people,Khandubhai Ahir,bbf5da29
info,registry,people,L Maximo,58c0c30c
info,registry,people,LF Muller,f6411545
info,registry,people,LH Rodrigues,57c95c3c
info,registry,people,MFI Assuncao,d8e48e1b
info,registry,people,Mahmud Jasat,97e36a0f
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Avery,094ebfb6
info,registry,people,R Shah,3424e050
info,registry,people,RDB Ahir,2f6f44bb
info,registry,people,Sanjay Kumar Ahir,d11e0c76
info,registry,people,W Maximo,e41dee27
info,registry,people,YI Kachhalia,61650adb
info,registry,people,Yasar Haroon,5a8dc41e
info,registry,people,Yusuf Ebrahim,2d5c6e88
ball,1,0.1,Panama,YI Kachhalia,Breeze Ahir,Kawsar Khan,0,0,,,,,,"",""
ball,1,0.2,Panama,YI Kachhalia,Breeze Ahir,Kawsar Khan,0,0,,,,,,bowled,YI Kachhalia
ball,1,0.3,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,0,0,,,,,,"",""
ball,1,0.4,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,0,0,,,,,,"",""
ball,1,0.5,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,0,0,,,,,,"",""
ball,1,0.6,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,4,0,,,,,,"",""
ball,1,1.1,Panama,Breeze Ahir,Irfan Hafejee,LH Rodrigues,0,0,,,,,,"",""
ball,1,1.2,Panama,Breeze Ahir,Irfan Hafejee,LH Rodrigues,0,1,1,,,,,"",""
ball,1,1.3,Panama,Breeze Ahir,Irfan Hafejee,LH Rodrigues,2,0,,,,,,"",""
ball,1,1.4,Panama,Breeze Ahir,Irfan Hafejee,LH Rodrigues,1,0,,,,,,"",""
ball,1,1.5,Panama,Irfan Hafejee,Breeze Ahir,LH Rodrigues,1,0,,,,,,"",""
ball,1,1.6,Panama,Breeze Ahir,Irfan Hafejee,LH Rodrigues,0,0,,,,,,"",""
ball,1,1.7,Panama,Breeze Ahir,Irfan Hafejee,LH Rodrigues,4,0,,,,,,"",""
ball,1,2.1,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,0,0,,,,,,"",""
ball,1,2.2,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,4,0,,,,,,"",""
ball,1,2.3,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,0,0,,,,,,"",""
ball,1,2.4,Panama,Irfan Hafejee,Breeze Ahir,Kawsar Khan,0,2,2,,,,,"",""
ball,1,2.5,Panama,Breeze Ahir,Irfan Hafejee,Kawsar Khan,2,0,,,,,,"",""
ball,1,2.6,Panama,Breeze Ahir,Irfan Hafejee,Kawsar Khan,0,0,,,,,,bowled,Breeze Ahir
ball,1,2.7,Panama,Khandubhai Ahir,Irfan Hafejee,Kawsar Khan,0,0,,,,,,"",""
ball,1,3.1,Panama,Irfan Hafejee,Khandubhai Ahir,LH Rodrigues,0,4,,,,4,,"",""
ball,1,3.2,Panama,Irfan Hafejee,Khandubhai Ahir,LH Rodrigues,0,0,,,,,,"",""
