version,1.7.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Bahrain
info,gender,male
info,season,2022/23
info,date,2022/11/21
info,event,Desert Cup T20I Series
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Saad Khan
info,umpire,Azad KR
info,umpire,Vinod Babu
info,tv_umpire,Anantha Rajamani
info,match_referee,Jeevan Amana
info,winner,Saudi Arabia
info,winner_runs,32
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Kashif Siddique
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Saad Khan
info,player,Saudi Arabia,Irshad Mubbashar
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Bahrain,DK Mathias
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Muhammad Safdar
info,player,Bahrain,Imran Khan
info,player,Bahrain,Abdul Majid
info,player,Bahrain,Rizwan Butt
info,registry,people,Abdul Majid,384cebed
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Anantha Rajamani,6c4ca034
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,Azad KR,d620b86a
info,registry,people,DK Mathias,bec5cab9
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Irshad Mubbashar,58edb974
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Jeevan Amana,327abda5
info,registry,people,Kashif Siddique,2513b4fe
info,registry,people,Muhammad Safdar,f208fe04
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Saad Khan,28e0f645
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Zain Ul Abidin,b93b87ae
ball,1,0.1,Saudi Arabia,Faisal Khan,Kashif Siddique,Rizwan Butt,0,0,,,,,,"",""
ball,1,0.2,Saudi Arabia,Faisal Khan,Kashif Siddique,Rizwan Butt,0,0,,,,,,"",""
ball,1,0.3,Saudi Arabia,Faisal Khan,Kashif Siddique,Rizwan Butt,0,0,,,,,,caught,Faisal Khan
ball,1,0.4,Saudi Arabia,Abdul Waheed,Kashif Siddique,Rizwan Butt,1,0,,,,,,"",""
ball,1,0.5,Saudi Arabia,Kashif Siddique,Abdul Waheed,Rizwan Butt,0,0,,,,,,caught,Kashif Siddique
ball,1,0.6,Saudi Arabia,Saad Khan,Abdul Waheed,Rizwan Butt,1,0,,,,,,"",""
ball,1,1.1,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,0,0,,,,,,"",""
ball,1,1.2,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,0,0,,,,,,"",""
ball,1,1.3,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,0,0,,,,,,"",""
ball,1,1.4,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,1,0,,,,,,"",""
ball,1,1.5,Saudi Arabia,Abdul Waheed,Saad Khan,Imran Khan,0,0,,,,,,"",""
ball,1,1.6,Saudi Arabia,Abdul Waheed,Saad Khan,Imran Khan,1,0,,,,,,"",""
ball,1,2.1,Saudi Arabia,Abdul Waheed,Saad Khan,Rizwan Butt,4,0,,,,,,"",""
ball,1,2.2,Saudi Arabia,Abdul Waheed,Saad Khan,Rizwan Butt,1,0,,,,,,"",""
ball,1,2.3,Saudi Arabia,Saad Khan,Abdul Waheed,Rizwan Butt,1,0,,,,,,"",""
ball,1,2.4,Saudi Arabia,Abdul Waheed,Saad Khan,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.5,Saudi Arabia,Abdul Waheed,Saad Khan,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.6,Saudi Arabia,Abdul Waheed,Saad Khan,Rizwan Butt,1,0,,,,,,"",""
ball,1,3.1,Saudi Arabia,Abdul Waheed,Saad Khan,S Veerapathiran,1,0,,,,,,"",""
ball,1,3.2,Saudi Arabia,Saad Khan,Abdul Waheed,S Veerapathiran,0,0,,,,,,"",""
ball,1,3.3,Saudi Arabia,Saad Khan,Abdul Waheed,S Veerapathiran,0,0,,,,,,"",""
ball,1,3.4,Saudi Arabia,Saad Khan,Abdul Waheed,S Veerapathiran,0,0,,,,,,"",""
ball,1,3.5,Saudi Arabia,Saad Khan,Abdul Waheed,S Veerapathiran,2,0,,,,,,"",""
ball,1,3.6,Saudi Arabia,Saad Khan,Abdul Waheed,S Veerapathiran,0,0,,,,,,"",""
ball,1,4.1,Saudi Arabia,Abdul Waheed,Saad Khan,Imran Khan,0,0,,,,,,"",""
ball,1,4.2,Saudi Arabia,Abdul Waheed,Saad Khan,Imran Khan,0,1,1,,,,,"",""
ball,1,4.3,Saudi Arabia,Abdul Waheed,Saad Khan,Imran Khan,0,0,,,,,,"",""
ball,1,4.4,Saudi Arabia,Abdul Waheed,Saad Khan,Imran Khan,1,0,,,,,,"",""
ball,1,4.5,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,4,0,,,,,,"",""
ball,1,4.6,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,0,0,,,,,,"",""
ball,1,4.7,Saudi Arabia,Saad Khan,Abdul Waheed,Imran Khan,0,0,,,,,,"",""
