version,1.7.0
info,balls_per_over,6
info,team,Fiji
info,team,France
info,gender,female
info,season,2024/25
info,date,2025/03/13
info,event,The Pacific-France Women Championship
info,match_number,6
info,venue,"N'Du Stadium, Noumea, New Caledonia"
info,city,Noumea
info,toss_winner,Fiji
info,toss_decision,bat
info,player_of_match,I Waqavakatoga
info,winner,Fiji
info,winner_runs,56
info,player,Fiji,I Waqavakatoga
info,player,Fiji,J Rokoro
info,player,Fiji,M Biu
info,player,Fiji,S Vuni
info,player,Fiji,AK Gonerara
info,player,Fiji,MT Waqanisau
info,player,Fiji,S Sigaiwasa
info,player,Fiji,KV Vakuruivalu
info,player,Fiji,A Levaci
info,player,Fiji,E Laini
info,player,Fiji,AR Poulter
info,player,France,L Fainicka
info,player,France,NJ Qaeze
info,player,France,A Konhu
info,player,France,K Moingoto
info,player,France,L Wahmowe
info,player,France,N Kaqea
info,player,France,N Ihmeling
info,player,France,V Kai
info,player,France,G Jaine
info,player,France,H Wenehoua
info,player,France,V Nehoume
info,registry,people,A Konhu,c7071bf6
info,registry,people,A Levaci,6ff1d14f
info,registry,people,AK Gonerara,141ee9a0
info,registry,people,AR Poulter,2304ae3d
info,registry,people,E Laini,7519a81d
info,registry,people,G Jaine,be7a4419
info,registry,people,H Wenehoua,edf72654
info,registry,people,I Waqavakatoga,31d220f5
info,registry,people,J Rokoro,80b1465d
info,registry,people,K Moingoto,4325e7ae
info,registry,people,KV Vakuruivalu,98db3666
info,registry,people,L Fainicka,d69196e9
info,registry,people,L Wahmowe,c0f5447e
info,registry,people,M Biu,c386183b
info,registry,people,MT Waqanisau,dc86b56a
info,registry,people,N Ihmeling,621c0753
info,registry,people,N Kaqea,46eff2dc
info,registry,people,NJ Qaeze,d4992df7
info,registry,people,S Sigaiwasa,b1414505
info,registry,people,S Vuni,951e08f0
info,registry,people,V Kai,d7d8f0ed
info,registry,people,V Nehoume,24bc8d75
ball,1,0.1,Fiji,I Waqavakatoga,J Rokoro,V Kai,0,0,,,,,,"",""
ball,1,0.2,Fiji,I Waqavakatoga,J Rokoro,V Kai,0,0,,,,,,"",""
ball,1,0.3,Fiji,I Waqavakatoga,J Rokoro,V Kai,0,0,,,,,,"",""
ball,1,0.4,Fiji,I Waqavakatoga,J Rokoro,V Kai,0,0,,,,,,"",""
ball,1,0.5,Fiji,I Waqavakatoga,J Rokoro,V Kai,2,0,,,,,,"",""
ball,1,0.6,Fiji,I Waqavakatoga,J Rokoro,V Kai,0,0,,,,,,"",""
ball,1,1.1,Fiji,J Rokoro,I Waqavakatoga,L Wahmowe,0,0,,,,,,lbw,J Rokoro
ball,1,1.2,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,0,,,,,,"",""
ball,1,1.3,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,0,,,,,,"",""
ball,1,1.4,Fiji,M Biu,I Waqavakatoga,L Wahmowe,4,0,,,,,,"",""
ball,1,1.5,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,0,,,,,,"",""
ball,1,1.6,Fiji,M Biu,I Waqavakatoga,L Wahmowe,2,0,,,,,,"",""
ball,1,2.1,Fiji,I Waqavakatoga,M Biu,V Kai,1,0,,,,,,"",""
ball,1,2.2,Fiji,M Biu,I Waqavakatoga,V Kai,2,0,,,,,,"",""
ball,1,2.3,Fiji,M Biu,I Waqavakatoga,V Kai,0,0,,,,,,"",""
ball,1,2.4,Fiji,M Biu,I Waqavakatoga,V Kai,0,0,,,,,,"",""
ball,1,2.5,Fiji,M Biu,I Waqavakatoga,V Kai,0,0,,,,,,"",""
ball,1,2.6,Fiji,M Biu,I Waqavakatoga,V Kai,4,0,,,,,,"",""
ball,1,3.1,Fiji,I Waqavakatoga,M Biu,L Wahmowe,0,0,,,,,,"",""
ball,1,3.2,Fiji,I Waqavakatoga,M Biu,L Wahmowe,2,0,,,,,,"",""
ball,1,3.3,Fiji,I Waqavakatoga,M Biu,L Wahmowe,1,0,,,,,,"",""
ball,1,3.4,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,0,,,,,,"",""
ball,1,3.5,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,2,2,,,,,"",""
ball,1,3.6,Fiji,I Waqavakatoga,M Biu,L Wahmowe,0,0,,,,,,"",""
ball,1,3.7,Fiji,I Waqavakatoga,M Biu,L Wahmowe,0,0,,,,,,"",""
ball,1,4.1,Fiji,M Biu,I Waqavakatoga,V Kai,0,0,,,,,,"",""
ball,1,4.2,Fiji,M Biu,I Waqavakatoga,V Kai,0,1,1,,,,,"",""
ball,1,4.3,Fiji,M Biu,I Waqavakatoga,V Kai,0,1,,1,,,,"",""
ball,1,4.4,Fiji,M Biu,I Waqavakatoga,V Kai,3,0,,,,,,"",""
ball,1,4.5,Fiji,I Waqavakatoga,M Biu,V Kai,2,0,,,,,,"",""
ball,1,4.6,Fiji,I Waqavakatoga,M Biu,V Kai,1,0,,,,,,"",""
ball,1,4.7,Fiji,M Biu,I Waqavakatoga,V Kai,1,0,,,,,,"",""
ball,1,4.8,Fiji,I Waqavakatoga,M Biu,V Kai,0,0,,,,,,"",""
ball,1,5.1,Fiji,M Biu,I Waqavakatoga,L Wahmowe,1,0,,,,,,"",""
ball,1,5.2,Fiji,I Waqavakatoga,M Biu,L Wahmowe,0,0,,,,,,"",""
ball,1,5.3,Fiji,I Waqavakatoga,M Biu,L Wahmowe,0,1,1,,,,,"",""
ball,1,5.4,Fiji,I Waqavakatoga,M Biu,L Wahmowe,1,0,,,,,,"",""
ball,1,5.5,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,1,1,,,,,"",""
ball,1,5.6,Fiji,M Biu,I Waqavakatoga,L Wahmowe,0,0,,,,,,caught,M Biu
ball,1,5.7,Fiji,S Vuni,I Waqavakatoga,L Wahmowe,0,0,,,,,,"",""
ball,1,5.8,Fiji,S Vuni,I Waqavakatoga,L Wahmowe,2,0,,,,,,"",""
ball,1,6.1,Fiji,I Waqavakatoga,S Vuni,K Moingoto,0,0,,,,,,"",""
ball,1,6.2,Fiji,I Waqavakatoga,S Vuni,K Moingoto,0,0,,,,,,"",""
ball,1,6.3,Fiji,I Waqavakatoga,S Vuni,K Moingoto,0,0,,,,,,caught,I Waqavakatoga
ball,1,6.4,Fiji,AK Gonerara,S Vuni,K Moingoto,0,0,,,,,,"",""
ball,1,6.5,Fiji,AK Gonerara,S Vuni,K Moingoto,0,0,,,,,,"",""
ball,1,6.6,Fiji,AK Gonerara,S Vuni,K Moingoto,0,0,,,,,,"",""
ball,1,7.1,Fiji,S Vuni,AK Gonerara,A Konhu,2,0,,,,,,"",""
ball,1,7.2,Fiji,S Vuni,AK Gonerara,A Konhu,1,0,,,,,,"",""
ball,1,7.3,Fiji,AK Gonerara,S Vuni,A Konhu,0,0,,,,,,"",""
ball,1,7.4,Fiji,AK Gonerara,S Vuni,A Konhu,0,1,1,,,,,"",""
ball,1,7.5,Fiji,AK Gonerara,S Vuni,A Konhu,1,0,,,,,,"",""
ball,1,7.6,Fiji,S Vuni,AK Gonerara,A Konhu,0,1,1,,,,,"",""
ball,1,7.7,Fiji,S Vuni,AK Gonerara,A Konhu,2,0,,,,,,"",""
ball,1,7.8,Fiji,S Vuni,AK Gonerara,A Konhu,0,0,,,,,,"",""
ball,1,8.1,Fiji,AK Gonerara,S Vuni,K Moingoto,0,0,,,,,,"",""
ball,1,8.2,Fiji,AK Gonerara,S Vuni,K Moingoto,0,2,2,,,,,"",""
ball,1,8.3,Fiji,S Vuni,AK Gonerara,K Moingoto,1,0,,,,,,"",""
ball,1,8.4,Fiji,AK Gonerara,S Vuni,K Moingoto,2,0,,,,,,"",""
ball,1,8.5,Fiji,AK Gonerara,S Vuni,K Moingoto,0,1,1,,,,,"",""
