version,1.7.0
info,balls_per_over,6
info,team,Australia
info,team,South Africa
info,gender,female
info,season,2022/23
info,date,2023/02/26
info,event,ICC Women's T20 World Cup
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,BL Mooney
info,umpire,JM Williams
info,umpire,Kim Cotton
info,reserve_umpire,N Perera
info,tv_umpire,S Redfern
info,match_referee,GS Lakshmi
info,winner,Australia
info,winner_runs,19
info,player,Australia,AJ Healy
info,player,Australia,BL Mooney
info,player,Australia,A Gardner
info,player,Australia,GM Harris
info,player,Australia,MM Lanning
info,player,Australia,EA Perry
info,player,Australia,G Wareham
info,player,Australia,TM McGrath
info,player,Australia,JL Jonassen
info,player,Australia,ML Schutt
info,player,Australia,D Brown
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,N de Klerk
info,player,South Africa,A Bosch
info,player,South Africa,S Jafta
info,player,South Africa,S Ismail
info,player,South Africa,A Khaka
info,player,South Africa,N Mlaba
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Gardner,bc969efb
info,registry,people,A Khaka,0d518f89
info,registry,people,AJ Healy,321644de
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CL Tryon,4d4605e6
info,registry,people,D Brown,2e81be88
info,registry,people,EA Perry,be150fc8
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,JL Jonassen,0475a86b
info,registry,people,JM Williams,b61d9d70
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ML Schutt,17608a6f
info,registry,people,MM Lanning,27e003ce
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,S Ismail,108c4c09
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Redfern,5b038989
info,registry,people,T Brits,06659caa
info,registry,people,TM McGrath,ca5acfa4
ball,1,0.1,Australia,AJ Healy,BL Mooney,N Mlaba,0,0,,,,,,"",""
ball,1,0.2,Australia,AJ Healy,BL Mooney,N Mlaba,4,0,,,,,,"",""
ball,1,0.3,Australia,AJ Healy,BL Mooney,N Mlaba,0,0,,,,,,"",""
ball,1,0.4,Australia,AJ Healy,BL Mooney,N Mlaba,0,0,,,,,,"",""
ball,1,0.5,Australia,AJ Healy,BL Mooney,N Mlaba,0,0,,,,,,"",""
ball,1,0.6,Australia,AJ Healy,BL Mooney,N Mlaba,1,0,,,,,,"",""
ball,1,1.1,Australia,AJ Healy,BL Mooney,S Ismail,0,0,,,,,,"",""
ball,1,1.2,Australia,AJ Healy,BL Mooney,S Ismail,4,0,,,,,,"",""
ball,1,1.3,Australia,AJ Healy,BL Mooney,S Ismail,0,0,,,,,,"",""
ball,1,1.4,Australia,AJ Healy,BL Mooney,S Ismail,1,0,,,,,,"",""
ball,1,1.5,Australia,BL Mooney,AJ Healy,S Ismail,1,0,,,,,,"",""
ball,1,1.6,Australia,AJ Healy,BL Mooney,S Ismail,0,1,,,,1,,"",""
ball,1,2.1,Australia,AJ Healy,BL Mooney,M Kapp,0,1,1,,,,,"",""
ball,1,2.2,Australia,AJ Healy,BL Mooney,M Kapp,1,0,,,,,,"",""
ball,1,2.3,Australia,BL Mooney,AJ Healy,M Kapp,0,0,,,,,,"",""
ball,1,2.4,Australia,BL Mooney,AJ Healy,M Kapp,0,0,,,,,,"",""
ball,1,2.5,Australia,BL Mooney,AJ Healy,M Kapp,0,0,,,,,,"",""
ball,1,2.6,Australia,BL Mooney,AJ Healy,M Kapp,4,0,,,,,,"",""
ball,1,2.7,Australia,BL Mooney,AJ Healy,M Kapp,0,0,,,,,,"",""
ball,1,3.1,Australia,AJ Healy,BL Mooney,A Khaka,0,0,,,,,,"",""
ball,1,3.2,Australia,AJ Healy,BL Mooney,A Khaka,1,0,,,,,,"",""
ball,1,3.3,Australia,BL Mooney,AJ Healy,A Khaka,0,0,,,,,,"",""
ball,1,3.4,Australia,BL Mooney,AJ Healy,A Khaka,1,0,,,,,,"",""
