version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,India
info,gender,male
info,season,2022/23
info,date,2022/11/22
info,event,India tour of New Zealand
info,match_number,3
info,venue,"McLean Park, Napier"
info,city,Napier
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,Mohammed Siraj
info,umpire,CM Brown
info,umpire,CB Gaffaney
info,reserve_umpire,Kim Cotton
info,tv_umpire,WR Knights
info,match_referee,JJ Crowe
info,outcome,tie
info,method,D/L
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,MS Chapman
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,player,India,Ishan Kishan
info,player,India,RR Pant
info,player,India,SA Yadav
info,player,India,SS Iyer
info,player,India,HH Pandya
info,player,India,DJ Hooda
info,player,India,HV Patel
info,player,India,B Kumar
info,player,India,Arshdeep Singh
info,player,India,Mohammed Siraj
info,player,India,YS Chahal
info,registry,people,AF Milne,350bb1b1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HH Pandya,dbe50b21
info,registry,people,HV Patel,f986ca1a
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,RR Pant,919a3be2
info,registry,people,SA Yadav,271f83cd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,TG Southee,13c35c9e
info,registry,people,WR Knights,63cbf8d8
info,registry,people,YS Chahal,57ee1fde
ball,1,0.1,New Zealand,FH Allen,DP Conway,B Kumar,3,0,,,,,,"",""
ball,1,0.2,New Zealand,DP Conway,FH Allen,B Kumar,0,0,,,,,,"",""
ball,1,0.3,New Zealand,DP Conway,FH Allen,B Kumar,0,0,,,,,,"",""
ball,1,0.4,New Zealand,DP Conway,FH Allen,B Kumar,0,0,,,,,,"",""
ball,1,0.5,New Zealand,DP Conway,FH Allen,B Kumar,0,0,,,,,,"",""
ball,1,0.6,New Zealand,DP Conway,FH Allen,B Kumar,0,1,1,,,,,"",""
ball,1,0.7,New Zealand,DP Conway,FH Allen,B Kumar,0,0,,,,,,"",""
ball,1,1.1,New Zealand,FH Allen,DP Conway,Arshdeep Singh,0,1,1,,,,,"",""
ball,1,1.2,New Zealand,FH Allen,DP Conway,Arshdeep Singh,0,4,,,,4,,"",""
ball,1,1.3,New Zealand,FH Allen,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.4,New Zealand,FH Allen,DP Conway,Arshdeep Singh,0,0,,,,,,lbw,FH Allen
ball,1,1.5,New Zealand,MS Chapman,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.6,New Zealand,MS Chapman,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,1.7,New Zealand,MS Chapman,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.1,New Zealand,DP Conway,MS Chapman,B Kumar,0,0,,,,,,"",""
ball,1,2.2,New Zealand,DP Conway,MS Chapman,B Kumar,0,0,,,,,,"",""
ball,1,2.3,New Zealand,DP Conway,MS Chapman,B Kumar,2,0,,,,,,"",""
ball,1,2.4,New Zealand,DP Conway,MS Chapman,B Kumar,0,0,,,,,,"",""
ball,1,2.5,New Zealand,DP Conway,MS Chapman,B Kumar,0,0,,,,,,"",""
ball,1,2.6,New Zealand,DP Conway,MS Chapman,B Kumar,0,0,,,,,,"",""
ball,1,3.1,New Zealand,MS Chapman,DP Conway,Arshdeep Singh,4,0,,,,,,"",""
ball,1,3.2,New Zealand,MS Chapman,DP Conway,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.3,New Zealand,MS Chapman,DP Conway,Arshdeep Singh,1,0,,,,,,"",""
ball,1,3.4,New Zealand,DP Conway,MS Chapman,Arshdeep Singh,4,0,,,,,,"",""
ball,1,3.5,New Zealand,DP Conway,MS Chapman,Arshdeep Singh,6,0,,,,,,"",""
ball,1,3.6,New Zealand,DP Conway,MS Chapman,Arshdeep Singh,4,0,,,,,,"",""
ball,1,4.1,New Zealand,MS Chapman,DP Conway,B Kumar,0,0,,,,,,"",""
ball,1,4.2,New Zealand,MS Chapman,DP Conway,B Kumar,2,0,,,,,,"",""
ball,1,4.3,New Zealand,MS Chapman,DP Conway,B Kumar,0,1,1,,,,,"",""
ball,1,4.4,New Zealand,MS Chapman,DP Conway,B Kumar,4,0,,,,,,"",""
ball,1,4.5,New Zealand,MS Chapman,DP Conway,B Kumar,1,0,,,,,,"",""
ball,1,4.6,New Zealand,DP Conway,MS Chapman,B Kumar,0,0,,,,,,"",""
ball,1,4.7,New Zealand,DP Conway,MS Chapman,B Kumar,6,0,,,,,,"",""
ball,1,5.1,New Zealand,MS Chapman,DP Conway,Mohammed Siraj,0,0,,,,,,"",""
ball,1,5.2,New Zealand,MS Chapman,DP Conway,Mohammed Siraj,0,0,,,,,,caught,MS Chapman
ball,1,5.3,New Zealand,GD Phillips,DP Conway,Mohammed Siraj,1,0,,,,,,"",""
ball,1,5.4,New Zealand,DP Conway,GD Phillips,Mohammed Siraj,1,0,,,,,,"",""
ball,1,5.5,New Zealand,GD Phillips,DP Conway,Mohammed Siraj,0,0,,,,,,"",""
ball,1,5.6,New Zealand,GD Phillips,DP Conway,Mohammed Siraj,0,0,,,,,,"",""
ball,1,6.1,New Zealand,DP Conway,GD Phillips,DJ Hooda,1,0,,,,,,"",""
ball,1,6.2,New Zealand,GD Phillips,DP Conway,DJ Hooda,0,0,,,,,,"",""
ball,1,6.3,New Zealand,GD Phillips,DP Conway,DJ Hooda,0,0,,,,,,"",""
ball,1,6.4,New Zealand,GD Phillips,DP Conway,DJ Hooda,1,0,,,,,,"",""
ball,1,6.5,New Zealand,DP Conway,GD Phillips,DJ Hooda,1,0,,,,,,"",""
